period,cusip,shrs,value_thousands,n_holders
2022-03-31,922280102,102802506.0000,22342052.0000,380
2022-03-31,98401F105,58568547.0000,9699782.0000,275
2022-03-31,896288107,58390054.0000,16478970.0000,337
2022-03-31,51509F105,11938372.0000,700353.0000,168
2022-03-31,02005N100,295520371.0000,140500026.0000,885
2022-03-31,74967R106,12336536.0000,1064784.0000,262
2022-03-31,00461U105,59392875.0000,2870009.0000,172
2022-03-31,01748H107,11618198.0000,1441265.0000,194
2022-03-31,23284F105,53666246.0000,158067.0000,155
2022-03-31,26443V101,9100467.0000,257002.0000,165
2022-03-31,29460X109,9424537.0000,528779.0000,126
2022-03-31,71377A103,156114732.0000,54585128.0000,480
2022-03-31,05351W103,45273343.0000,26882818.0000,444
2022-03-31,462222100,123033804.0000,18919896.0000,452
2022-03-31,443510607,46469269.0000,31801579.0000,660
2022-03-31,68235C107,54311360.0000,140563.0000,119
2022-03-31,45781M101,76438707.0000,11332573.0000,331
2022-03-31,36164Y101,62808297.0000,4228284.0000,256
2022-03-31,24906P109,208018278.0000,95556948.0000,786
2022-03-31,28106W103,44873493.0000,11995457.0000,343
2022-03-31,90353T100,1397512676.0000,396243326.0000,1578
2022-03-31,04911A107,51766466.0000,6902269.0000,360
2022-03-31,05352A100,566060940.0000,187373229.0000,727
2022-03-31,50050N103,60384571.0000,6762141.0000,462
2022-03-31,21925D109,122822647.0000,69082155.0000,257
2022-03-31,26614N102,364824694.0000,245035968.0000,1792
2022-03-31,22052L104,567173506.0000,235395813.0000,1601
2022-03-31,68236P107,13377263.0000,52838.0000,103
2022-03-31,G0250X107,619973395.0000,78217333.0000,766
2022-03-31,22788C105,152851261.0000,288683162.0000,1461
2022-03-31,02607T109,73963179.0000,4562171.0000,331
2022-03-31,03676B102,247902437.0000,11930998.0000,427
2022-03-31,023576101,12111304.0000,1354229.0000,159
2022-03-31,03837C106,19617522.0000,2837226.0000,93
2022-03-31,05988J103,20591397.0000,2231844.0000,265
2022-03-31,206704108,19960371.0000,163284.0000,103
2022-03-31,42328H109,29168044.0000,98590315.0000,274
2022-03-31,222795502,146336515.0000,56223474.0000,482
2022-03-31,06211J100,1975354.0000,916642.0000,113
2022-03-31,09075P105,13132562.0000,2300182.0000,149
2022-03-31,21900C308,13362809.0000,114763.0000,113
2022-03-31,22053A107,16700349.0000,2558027.0000,128
2022-03-31,150837607,13512098.0000,197936.0000,167
2022-03-31,28852N109,32879635.0000,2447037.0000,214
2022-03-31,30041R108,15659730.0000,1057767.0000,173
2022-03-31,395330103,15860867.0000,94678.0000,132
2022-03-31,362409104,26418189.0000,2549915.0000,82
2022-03-31,40417F109,7179547.0000,87408.0000,83
2022-03-31,43906K100,30704614.0000,74571.0000,101
2022-03-31,45166V106,75648717.0000,668578.0000,172
2022-03-31,46005L101,30572570.0000,1334701.0000,222
2022-03-31,45816D100,3932555.0000,125229.0000,95
2022-03-31,45782B104,49990397.0000,863488.0000,224
2022-03-31,47973J102,12812691.0000,2762425.0000,219
2022-03-31,483497103,24333930.0000,389899.0000,122
2022-03-31,483347100,33419534.0000,58332.0000,88
2022-03-31,501147102,20590330.0000,4163331.0000,205
2022-03-31,10918L103,44878664.0000,3134259.0000,263
2022-03-31,62921N105,47959397.0000,1385421.0000,168
2022-03-31,68401U204,15452693.0000,1063630.0000,226
2022-03-31,68621F102,58050030.0000,929395.0000,226
2022-03-31,810186106,36107171.0000,29102501.0000,779
2022-03-31,21036P108,133185605.0000,283871902.0000,1606
2022-03-31,228903100,33755544.0000,3797518.0000,214
2022-03-31,27579R104,125857359.0000,81306960.0000,616
2022-03-31,775133101,17092069.0000,12454717.0000,361
2022-03-31,902681105,171692134.0000,49725641.0000,806
2022-03-31,49427F108,108209507.0000,70324880.0000,452
2022-03-31,76122Q105,26719529.0000,2920093.0000,246
2022-03-31,343412102,128584479.0000,20684401.0000,492
2022-03-31,129500104,32652949.0000,1841528.0000,292
2022-03-31,37940X102,234108855.0000,216506881.0000,1292
2022-03-31,896818101,62433505.0000,6569379.0000,275
2022-03-31,570535104,10999488.0000,125285169.0000,878
2022-03-31,552690109,137861828.0000,17406004.0000,557
2022-03-31,343498101,157712719.0000,16428196.0000,523
2022-03-31,739276103,56675921.0000,24164627.0000,540
2022-03-31,405024100,51211945.0000,9413836.0000,362
2022-03-31,874054109,110395230.0000,522711978.0000,1003
2022-03-31,23918K108,80501252.0000,58976172.0000,755
2022-03-31,703481101,205850459.0000,101244612.0000,399
2022-03-31,76009N100,48647046.0000,4555411.0000,331
2022-03-31,980745103,51341962.0000,22608590.0000,465
2022-03-31,858912108,90383410.0000,24101374.0000,509
2022-03-31,018581108,45130774.0000,28153227.0000,442
2022-03-31,868873100,12744320.0000,1546393.0000,210
2022-03-31,48020Q107,46952443.0000,44613708.0000,659
2022-03-31,83545G102,22978232.0000,3632901.0000,291
2022-03-31,98956P102,188684901.0000,166043213.0000,1340
2022-03-31,156431108,51865018.0000,11210435.0000,279
2022-03-31,457985208,73979095.0000,18775434.0000,401
2022-03-31,314211103,75329770.0000,8099335.0000,384
2022-03-31,44930G107,20479039.0000,23595482.0000,438
2022-03-31,860372101,24498740.0000,4565267.0000,352
2022-03-31,166764100,1358438127.0000,1633927055.0000,4064
2022-03-31,64125C109,89252060.0000,77923557.0000,650
2022-03-31,74251V102,185292984.0000,119699308.0000,911
2022-03-31,344849104,72835047.0000,16767963.0000,491
2022-03-31,115637100,15989547.0000,11489909.0000,282
2022-03-31,001744101,41857943.0000,12560188.0000,599
2022-03-31,615394202,27671109.0000,7298940.0000,351
2022-03-31,29084Q100,48378215.0000,31123070.0000,584
2022-03-31,00751Y106,61068175.0000,217392066.0000,964
2022-03-31,030420103,150269247.0000,408709100.0000,1616
2022-03-31,52603B107,10424916.0000,6622914.0000,298
2022-03-31,36237H101,44230573.0000,6011208.0000,324
2022-03-31,761525609,4880431.0000,52930.0000,97
2022-03-31,25470F104,190659152.0000,70043957.0000,808
2022-03-31,25470F302,280764015.0000,52684974.0000,729
2022-03-31,233377407,13254301.0000,980472.0000,171
2022-03-31,95058W100,149337300.0000,15662970.0000,491
2022-03-31,917286205,21914030.0000,1251844.0000,247
2022-03-31,419879101,41208291.0000,2377755.0000,283
2022-03-31,651718504,66667357.0000,1011175.0000,165
2022-03-31,573075108,56149215.0000,4878459.0000,287
2022-03-31,128030202,38428619.0000,9444263.0000,329
2022-03-31,257701201,8943937.0000,159156.0000,130
2022-03-31,759351604,63895956.0000,28528471.0000,564
2022-03-31,31946M103,10447067.0000,35202371.0000,513
2022-03-31,302520101,262438249.0000,14372505.0000,518
2022-03-31,780287108,53573987.0000,29119362.0000,557
2022-03-31,18538R103,14801895.0000,1203626.0000,201
2022-03-31,55405W104,14442276.0000,4456764.0000,315
2022-03-31,919794107,268990159.0000,12934680.0000,439
2022-03-31,35471R106,87122200.0000,1545586.0000,259
2022-03-31,92828Q109,6184956.0000,4239141.0000,286
2022-03-31,030371108,24457010.0000,996827.0000,217
2022-03-31,459044103,41825016.0000,5617176.0000,288
2022-03-31,278715206,19730930.0000,2486962.0000,255
2022-03-31,78469C103,20467048.0000,1097812.0000,203
2022-03-31,38526M106,31368002.0000,12568137.0000,425
2022-03-31,029683109,27498139.0000,883547.0000,203
2022-03-31,970646105,2147624.0000,110903.0000,67
2022-03-31,29358P101,48597183.0000,13280102.0000,449
2022-03-31,915271100,21423161.0000,1971250.0000,223
2022-03-31,404609109,24120804.0000,2259250.0000,217
2022-03-31,913259107,11767192.0000,1705738.0000,260
2022-03-31,05508R106,45228377.0000,5810534.0000,405
2022-03-31,036642106,91607921.0000,1473669.0000,248
2022-03-31,03762U105,79880173.0000,5353544.0000,327
2022-03-31,05541T101,207994897.0000,2373793.0000,297
2022-03-31,04010E109,12441259.0000,2327018.0000,204
2022-03-31,049904105,1178207.0000,1806582.0000,198
2022-03-31,87874R100,28908896.0000,5699040.0000,357
2022-03-31,04280A100,70296842.0000,13173443.0000,453
2022-03-31,904311206,173719072.0000,11207300.0000,524
2022-03-31,531229409,94500187.0000,27624891.0000,559
2022-03-31,531229607,181925361.0000,40997208.0000,641
2022-03-31,531229706,8352383.0000,660791.0000,187
2022-03-31,531229870,21117224.0000,5238761.0000,307
2022-03-31,531229888,31251882.0000,2593055.0000,260
2022-03-31,531229854,208904699.0000,109896716.0000,582
2022-03-31,81374A105,9084743.0000,1412191.0000,122
2022-03-31,78409V104,308750174.0000,1383044005.0000,2296
2022-03-31,84857L101,44453690.0000,14663900.0000,412
2022-03-31,65406E102,5682104.0000,1500794.0000,201
2022-03-31,00773U108,63209782.0000,101577.0000,121
2022-03-31,67000B104,33761901.0000,16318331.0000,347
2022-03-31,82982L103,45033366.0000,25599127.0000,517
2022-03-31,45688C107,35483245.0000,12252608.0000,410
2022-03-31,16119P108,112284893.0000,551889940.0000,1361
2022-03-31,45073V108,77141966.0000,19724634.0000,549
2022-03-31,912008109,219737403.0000,31251044.0000,476
2022-03-31,09624H208,7869222.0000,644807.0000,224
2022-03-31,030111207,15299885.0000,346694.0000,140
2022-03-31,04744L106,55698655.0000,64526.0000,159
2022-03-31,032797300,25013132.0000,1248676.0000,204
2022-03-31,05463X106,31634407.0000,1558963.0000,194
2022-03-31,05464T104,18986776.0000,5598493.0000,247
2022-03-31,171077407,20276567.0000,118834.0000,113
2022-03-31,126402106,12163308.0000,4134236.0000,232
2022-03-31,28249U105,30514934.0000,1521923.0000,129
2022-03-31,34960Q109,35575805.0000,275366.0000,103
2022-03-31,32026V104,38600879.0000,5028352.0000,247
2022-03-31,31154R109,20605281.0000,982493.0000,199
2022-03-31,36251C103,42336553.0000,7630144.0000,300
2022-03-31,379463102,7329041.0000,144087.0000,100
2022-03-31,44951W106,17509796.0000,745326.0000,145
2022-03-31,535219109,34001885.0000,1114225.0000,174
2022-03-31,597742105,13213767.0000,2124867.0000,202
2022-03-31,45826J105,64520914.0000,32338729.0000,483
2022-03-31,75615P103,26787143.0000,3683290.0000,213
2022-03-31,05580M108,14147694.0000,2813681.0000,270
2022-03-31,75700L108,56923763.0000,9588821.0000,315
2022-03-31,781846308,5005323.0000,303125.0000,117
2022-03-31,81727U105,114383938.0000,1405271.0000,269
2022-03-31,69753M105,21882230.0000,6967284.0000,274
2022-03-31,74275G107,10040035.0000,64165.0000,53
2022-03-31,70202L102,102130912.0000,9167877.0000,268
2022-03-31,75686R202,1321648.0000,136504.0000,74
2022-03-31,83946P107,4148167.0000,181961.0000,94
2022-03-31,82489T104,31902312.0000,21006407.0000,450
2022-03-31,87808K106,27114270.0000,335320.0000,123
2022-03-31,89377M109,20830054.0000,1503578.0000,171
2022-03-31,90041T108,45485986.0000,3038829.0000,249
2022-03-31,893529107,5422167.0000,982405.0000,149
2022-03-31,98986M103,13395980.0000,642734.0000,188
2022-03-31,02081G201,53076247.0000,1833526.0000,231
2022-03-31,26817Q886,14335010.0000,1236422.0000,174
2022-03-31,39874R101,98861547.0000,7733955.0000,308
2022-03-31,449253103,132564650.0000,27492343.0000,492
2022-03-31,502431109,157381128.0000,189000307.0000,1637
2022-03-31,09260D107,435391137.0000,644860305.0000,2072
2022-03-31,30607B109,24663395.0000,198944.0000,156
2022-03-31,52603A208,85677361.0000,13835375.0000,302
2022-03-31,76156B107,40738382.0000,12265428.0000,334
2022-03-31,10948W103,43006705.0000,2710534.0000,248
2022-03-31,70014A104,17714628.0000,232915.0000,158
2022-03-31,04546L106,19519777.0000,434939.0000,135
2022-03-31,71944F106,49890057.0000,2653857.0000,274
2022-03-31,42225T107,53287381.0000,2827294.0000,291
2022-03-31,98421M106,125273289.0000,17692708.0000,458
2022-03-31,729139105,31613484.0000,365584.0000,137
2022-03-31,45790W108,17407976.0000,71182.0000,70
2022-03-31,64119V303,53760681.0000,8277267.0000,212
2022-03-31,89457R101,14478203.0000,68351.0000,97
2022-03-31,91332U101,222189859.0000,68976162.0000,789
2022-03-31,69526K105,38810329.0000,390361.0000,144
2022-03-31,26484T106,364649026.0000,10607534.0000,281
2022-03-31,73730P108,24181719.0000,108356.0000,93
2022-03-31,05478C105,153457438.0000,68675284.0000,409
2022-03-31,31189V109,4587003.0000,225898.0000,84
2022-03-31,08975P108,51987136.0000,3481643.0000,275
2022-03-31,67181A107,216871596.0000,10766415.0000,311
2022-03-31,47074L105,119070217.0000,24312525.0000,243
2022-03-31,013091103,295122507.0000,24861605.0000,408
2022-03-31,52567D107,33189919.0000,4609564.0000,321
2022-03-31,00508Y102,31532738.0000,28237736.0000,538
2022-03-31,744320102,217039455.0000,397369598.0000,1594
2022-03-31,199908104,34228214.0000,8783234.0000,403
2022-03-31,671044105,15797911.0000,3502998.0000,278
2022-03-31,858155203,77196020.0000,2719771.0000,289
2022-03-31,115236101,201882171.0000,130452771.0000,819
2022-03-31,912909108,193771357.0000,56249324.0000,612
2022-03-31,302941109,34925549.0000,22311703.0000,479
