period_of_report,filing_date,total_value_usd,n_holdings,accession,source_url
2019-06-30,2020-08-13,323610247000,2105,0001374170-20-000033,https://www.sec.gov/Archives/edgar/data/1374170/000137417020000033/primary_doc.xml
2019-09-30,2020-11-13,326537445000,2092,0001374170-20-000036,https://www.sec.gov/Archives/edgar/data/1374170/000137417020000036/primary_doc.xml
2019-12-31,2020-03-03,358377758000,2074,0001374170-20-000022,https://www.sec.gov/Archives/edgar/data/1374170/000137417020000022/primary_doc.xml
2020-03-31,2021-05-07,280612560000,2046,0001374170-21-000031,https://www.sec.gov/Archives/edgar/data/1374170/000137417021000031/primary_doc.xml
2020-06-30,2021-08-13,347337404000,2076,0001374170-21-000042,https://www.sec.gov/Archives/edgar/data/1374170/000137417021000042/primary_doc.xml
2020-09-30,2021-11-12,376428302000,2128,0001374170-21-000048,https://www.sec.gov/Archives/edgar/data/1374170/000137417021000048/primary_doc.xml
2020-12-31,2021-03-02,428278171000,2110,0001374170-21-000028,https://www.sec.gov/Archives/edgar/data/1374170/000137417021000028/primary_doc.xml
2021-03-31,2022-05-09,436791153000,2127,0001374170-22-000025,https://www.sec.gov/Archives/edgar/data/1374170/000137417022000025/primary_doc.xml
2021-06-30,2022-08-15,461303232000,2206,0001374170-22-000029,https://www.sec.gov/Archives/edgar/data/1374170/000137417022000029/primary_doc.xml
2021-09-30,2022-11-14,451975247000,2270,0001374170-22-000035,https://www.sec.gov/Archives/edgar/data/1374170/000137417022000035/primary_doc.xml
2021-12-31,2022-03-09,486356979000,2204,0001374170-22-000020,https://www.sec.gov/Archives/edgar/data/1374170/000137417022000020/primary_doc.xml
2022-03-31,2023-05-12,458760704114,2162,0001374170-23-000034,https://www.sec.gov/Archives/edgar/data/1374170/000137417023000034/primary_doc.xml
2022-06-30,2023-08-14,386830224659,2052,0001374170-23-000040,https://www.sec.gov/Archives/edgar/data/1374170/000137417023000040/primary_doc.xml
2022-09-30,2023-11-13,376129354157,2089,0001374170-23-000043,https://www.sec.gov/Archives/edgar/data/1374170/000137417023000043/primary_doc.xml
2022-12-31,2023-02-14,414862674207,2130,0001374170-23-000006,https://www.sec.gov/Archives/edgar/data/1374170/000137417023000006/primary_doc.xml
2023-03-31,2024-05-15,456933640280,2087,0001374170-24-000035,https://www.sec.gov/Archives/edgar/data/1374170/000137417024000035/primary_doc.xml
2023-06-30,2024-08-14,506721878362,2007,0001374170-24-000039,https://www.sec.gov/Archives/edgar/data/1374170/000137417024000039/primary_doc.xml
2023-09-30,2024-11-13,492802904470,1966,0001374170-24-000072,https://www.sec.gov/Archives/edgar/data/1374170/000137417024000072/primary_doc.xml
2023-12-31,2024-02-09,572290297935,1942,0001374170-24-000018,https://www.sec.gov/Archives/edgar/data/1374170/000137417024000018/primary_doc.xml
2024-03-31,2025-05-14,633630604953,1885,0001374170-25-000050,https://www.sec.gov/Archives/edgar/data/1374170/000137417025000050/primary_doc.xml
2024-06-30,2024-08-14,669352189466,1930,0001374170-24-000038,https://www.sec.gov/Archives/edgar/data/1374170/000137417024000038/primary_doc.xml
2024-09-30,2025-11-12,715900897124,1839,0001374170-25-000102,https://www.sec.gov/Archives/edgar/data/1374170/000137417025000102/primary_doc.xml
2024-12-31,2025-02-12,762050187394,1845,0001374170-25-000027,https://www.sec.gov/Archives/edgar/data/1374170/000137417025000027/primary_doc.xml
2025-03-31,2026-05-11,712472908814,1743,0001374170-26-000021,https://www.sec.gov/Archives/edgar/data/1374170/000137417026000021/primary_doc.xml
2025-06-30,2025-08-13,801148788270,1707,0001374170-25-000079,https://www.sec.gov/Archives/edgar/data/1374170/000137417025000079/primary_doc.xml
2025-09-30,2025-11-13,870104905340,1516,0001374170-25-000104,https://www.sec.gov/Archives/edgar/data/1374170/000137417025000104/primary_doc.xml
2025-12-31,2026-02-10,934755639394,1577,0001374170-26-000012,https://www.sec.gov/Archives/edgar/data/1374170/000137417026000012/primary_doc.xml
2026-03-31,2026-05-11,864690921985,1507,0001374170-26-000023,https://www.sec.gov/Archives/edgar/data/1374170/000137417026000023/primary_doc.xml
2026-06-30,2026-08-12,1003234964718,1617,0001374170-26-000069,https://www.sec.gov/Archives/edgar/data/1374170/000137417026000069/primary_doc.xml
