ticker,issuer,cik,accession_number,source_url,tranche,expiry_date,status_vs_today_2026_09_14,approx_shares_or_pct_released,prospectus_quote
CBRS,Cerebras Systems Inc.,2021728,0001628280-26-035214,https://www.sec.gov/Archives/edgar/data/2021728/000162828026035214/cerebras-424b4.htm,Full Lock-up Period expiry: earlier of Q3-2026 earnings release or 180 days,2026-11-09,upcoming (56d from today),Up to ~171.1 million shares released via early-release exceptions during the period; substantially all remaining lock-up shares (majority of company) released at expiry; ~15.0M of the 171.1M held by Section 16 officers/directors,"""a period ending on the earlier of (i) 6:00 a.m. Eastern Time on the second trading day following our release of earnings for the quarter ending September 30, 2026 or (ii) 180 days after the date of this prospectus...we estimate an aggregate of up to approximately 171.1 million shares will be released"""
MDLN,Medline Inc.,2046386,0001193125-25-323742,https://www.sec.gov/Archives/edgar/data/2046386/000119312525323742/d77351d424b4.htm,"Standard 180-day lock-up (officers, directors, Principal Stockholders, pre-IPO owners - substantially all Common Units)",2026-06-15,EXPIRED (already unlocked as of 2026-09-14),"Substantially all pre-IPO Common Units/shares not sold in the base offering (216,034,482 shares sold; large multiple of that remained restricted pre-expiry)","""for a period of 180 days after the date of this prospectus"" / ""Upon the expiration of the lock-up agreements described above, all of such shares will be eligible for [resale]"""
QNT,Quantinuum Inc.,2110105,0001628280-26-041003,https://www.sec.gov/Archives/edgar/data/2110105/000162828026041003/quantinuum-424b4.htm,"Standard 180-day lock-up (directors, officers, holders of >=1% of capital stock)",2026-12-01,upcoming (78d from today),"Substantially all pre-IPO shares not sold in the 28,000,000-share base offering; existing owners retain ~87.8% of the company per the prospectus's post-offering ownership table","""for a period of 180 days after the date of this prospectus"" (Lock-Up Agreements section)"
FRVO,Fervo Energy Company,1853868,0001628280-26-034849,https://www.sec.gov/Archives/edgar/data/1853868/000162828026034849/fervoenergy-424b4.htm,Standard 180-day lock-up (holders of ~97% of outstanding stock/options),2026-11-09,upcoming (56d from today),"Up to an additional 205,005,185 shares eligible for sale upon expiry, of which 89,126,623 held by directors/officers/affiliates (subject to ongoing Rule 144 volume limits after unlock)","""holders of approximately 97% of our outstanding stock and stock options have agreed...during the period ending 180 days after the date of this prospectus"" / ""up to an additional 205,005,185 shares of our Class A common stock will be eligible for sale in the public market, of which 89,126,623 are held by directors, executive officers and other affiliates"""
JMKE,Jersey Mike's Subs Inc.,2127043,0001193125-26-326453,https://www.sec.gov/Archives/edgar/data/2127043/000119312526326453/project_70_424b4.htm,"Standard 180-day lock-up (officers, directors, Principal Stockholders incl. Blackstone, pre-IPO owners of substantially all Common Units)",2027-01-26,upcoming (134d from today),"Substantially all pre-IPO Common Units not sold in the 43,478,261-share base offering (Blackstone retains majority control per prospectus)","""for a period of 180 days after the date of this prospectus"" (Lock-Up Agreements section)"
BSP,Bending Spoons S.p.A.,2004711,0001104659-26-079884,https://www.sec.gov/Archives/edgar/data/2004711/000110465926079884/tm2613674-14_424b4.htm,"Company/Selling-Shareholder 180-day lock-up, OR earlier release 48h after 2nd quarterly earnings report (if >=125 days elapsed)",2026-12-27,upcoming (104d from today),"318,510,767 ordinary shares eligible for sale upon lock-up expiration (assuming no Class A-to-ordinary conversion)","""318,510,767 ordinary shares will be eligible for sale upon expiration of the lock-up agreements...beginning more than 180 days after the date of this prospectus"" / ""the Restricted Period will expire 48 hours after...our second quarterly earnings report...provided that at least 125 days have elapsed"""
INIO,INNIO N.V.,2109150,0001193125-26-256992,https://www.sec.gov/Archives/edgar/data/2109150/000119312526256992/liberty_-_424b4.htm,"Standard 180-day lock-up (directors, executive officers, substantially all equity holders incl. Advent/AI Alpine)",2026-11-30,upcoming (77d from today),"All remaining shares become eligible for sale beginning day 181; 660,168,888 shares of that pool will be held by affiliates and remain subject to Rule 144 volume limits thereafter","""beginning 181 days after the date of this prospectus...all remaining shares will become eligible for sale in the public market, of which 660,168,888 shares will be held by affiliates"""
PSUS,"Pershing Square USA, Ltd.",2002660,0001140361-26-018104,https://www.sec.gov/Archives/edgar/data/2002660/000114036126018104/ny20064799x11_424b4.htm,"180-day lock-up for parties who indicated interest in the offering (PS Inc., Manager, employees/affiliates)",2026-10-26,upcoming (42d from today),Not separately quantified in the prospectus as a share count; narrower group than typical operating-company lock-ups since PSUS has no pre-IPO public shareholders,"""Certain investors, including PS Inc., employees of PS Inc. and the Manager and their affiliates, who have indicated an interest in purchasing Common Shares in this offering have agreed that for a period of 180 days from the date of this prospectus"""
PSUS,"Pershing Square USA, Ltd.",2002660,0001140361-26-018104,https://www.sec.gov/Archives/edgar/data/2002660/000114036126018104/ny20064799x11_424b4.htm,Company 180-day restriction on issuing new equity securities,2026-10-26,upcoming (42d from today),"N/A (issuer-level covenant, not a shareholder lock-up)","""The Company and PS Inc. have agreed not to offer, sell or register with the SEC any additional equity securities...for a period of 180 days after the date of the Underwriting Agreement"""
PSUS,"Pershing Square USA, Ltd.",2002660,0001140361-26-018104,https://www.sec.gov/Archives/edgar/data/2002660/000114036126018104/ny20064799x11_424b4.htm,Manager's (Pershing Square Capital Management) $100 million tranche - 25-YEAR lock,CONDITIONAL / not a fixed calendar date (see tranche description),depends on future earnings-release date,"$100 million of the Manager's $250 million investment; expiry ~2051 (25yr anniversary of the combined-offering closing date, which is not itself stated in this 424B4)","""PSUS Holdings has also agreed...that it will not sell, transfer or otherwise dispose of $100 million of such Common Shares...prior to the date that is the twenty-five (25) year anniversary of the closing date of the combined offering"""
