ticker,issuer_name,issuer_cik,form_type,filing_date,event_date_or_date_of_event,headline_reporting_person,headline_shares_beneficially_owned,headline_percent_of_class,type_of_reporting_person,n_affiliated_entities_in_this_filing,all_affiliated_entity_names_do_not_sum,likely_pre_ipo_or_insider_note,name_overlap_with_disclosed_cornerstone,accession_number,source_url
CBRS,"Cerebras Systems, Inc.",2021728,SCHEDULE 13D/A,2026-06-26,06/25/2026,Lior Susan,11580218,5.2,IN,9,"Eclipse Continuity Fund I, L.P.; Eclipse Continuity GP I, LLC; Eclipse SPV II GP, LLC; Eclipse SPV II, L.P.; Eclipse SPV XIII GP, LLC; Eclipse SPV XIII, L.P.; Eclipse Ventures Fund I, L.P.; Eclipse Ventures GP I, LLC; Lior Susan",Eclipse Ventures founder / Cerebras director - pre-IPO VC investor,,0001193125-26-285642,https://www.sec.gov/Archives/edgar/data/2021728/000119312526285642/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G,2026-08-13,06/30/2026,"JANE STREET GROUP, LLC",5222522.00,5.1,HC,4,"JANE STREET GROUP, LLC; Jane Street Capital, LLC",,,0001595888-26-000104,https://www.sec.gov/Archives/edgar/data/2021728/000159588826000104/primary_doc.xml
CBRS,"Cerebras Systems, Inc.",2021728,SCHEDULE 13D/A,2026-08-18,08/14/2026,Lior Susan,9555990,4.3,IN,9,"Eclipse Continuity Fund I, L.P.; Eclipse Continuity GP I, LLC; Eclipse SPV II GP, LLC; Eclipse SPV II, L.P.; Eclipse SPV XIII GP, LLC; Eclipse SPV XIII, L.P.; Eclipse Ventures Fund I, L.P.; Eclipse Ventures GP I, LLC; Lior Susan",Eclipse Ventures founder / Cerebras director - pre-IPO VC investor,,0001193125-26-355477,https://www.sec.gov/Archives/edgar/data/2021728/000119312526355477/primary_doc.xml
CBRS,Cerebras Systems Inc.,2021728,SCHEDULE 13G/A,2026-07-22,06/30/2026,JPMORGAN CHASE & CO.,3100807.0,3.3,HC,2,JPMORGAN CHASE & CO.,,,0000019617-26-000274,https://www.sec.gov/Archives/edgar/data/2021728/000001961726000274/primary_doc.xml
FRVO,Fervo Energy Company,1853868,SCHEDULE 13G,2026-08-13,06/30/2026,DEVON ENERGY CORP/DE,35728296,12.5,CO,2,DEVON ENERGY CORP/DE,,,0001193125-26-349396,https://www.sec.gov/Archives/edgar/data/1853868/000119312526349396/primary_doc.xml
FRVO,Fervo Energy Company,1853868,SCHEDULE 13G,2026-08-14,06/30/2026,Dipender Saluja,34227390.00,11.9,IN,16,"Dipender Saluja; Ion Yadigaroglu; TIF Partners, LLC; TIGF II Direct Strategies LLC - Series 5; TIGF II Direct Strategies LLC - Series 7; TIGF Partners II, LLC; Technology Impact Fund, LP; Technology Impact Growth Fund II, LP",Capricorn Investment Group - pre-IPO VC investor (Managing Director),,0001890375-26-000003,https://www.sec.gov/Archives/edgar/data/1853868/000189037526000003/primary_doc.xml
FRVO,Fervo Energy Company,1853868,SCHEDULE 13G,2026-08-14,06/30/2026,"Zachary Bogue (""Bogue"")",18114022.00,6.3,IN,12,"DCVC Climate Select GP, LLC (""DCVC CS GP""); DCVC Climate Select, L.P. (""DCVC CS""); DCVC VI GP, LLC (""DCVC VI GP""); DCVC VI, L.P. (""DCVC VI""); Matthew Ocko (""Ocko""); Zachary Bogue (""Bogue"")",DCVC co-founder - pre-IPO VC investor,,0001104659-26-097085,https://www.sec.gov/Archives/edgar/data/1853868/000110465926097085/primary_doc.xml
INIO,INNIO N.V.,2109150,SCHEDULE 13G,2026-08-13,06/30/2026,"Advent International, L.P.",646500000.00,86.20,PN,10,"AI Alpine (Luxembourg) S.a.r.l.; AI Alpine Parent & Cy S.C.A.; Abu Dhabi Investment Authority; Advent International GP, LLC; Advent International, L.P.",Former PE owner / prospectus 'Principal Shareholder' (AI Alpine),,0001140361-26-032833,https://www.sec.gov/Archives/edgar/data/2109150/000114036126032833/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G,2026-02-13,12/31/2025,Carlyle Group Inc.,215303036.00,24.4,CO,58,"CG Subsidiary Holdings L.L.C.; CP Circle ML Holdco GP, LLC; CP Circle ML-1 Holdco GP, LLC; CP Circle ML-1 Holdco, L.P.; CP Circle ML-2 Holdco, L.P.; CP Circle ML-3 Holdco, L.P.; CP Circle ML-4 Holdco, L.P.; CP Circle ML-5 Holdco, L.P.; CP Circle ML-6 Holdco, L.P.; CP Circle ML-7 Holdco, L.P.; CP Circle UNLV Holdco, L.P.; CPEP Circle Holdings L.P.; CPEP GP, LLC; Carlyle Group Inc.; Carlyle Holdings I GP Inc.; Carlyle Holdings I GP Sub L.L.C.; Carlyle Holdings I L.P.; Carlyle Holdings II GP L.L.C.; Carlyle Holdings II L.L.C.; Carlyle Mozart Coinvestment Holdings, L.P.; Carlyle Mozart Coinvestment UNLV Holdco, L.P.; TC Group Cayman Investment Holdings Sub L.P.; TC Group Cayman Investment Holdings, L.P.; TC Group Sub L.P.; TC Group VII S1, L.L.C.; TC Group VII S1, L.P.; TC Group VII, L.L.C.; TC Group VII, L.P.; TC Group, L.L.C.","PE sponsor (pre-IPO owner, per prospectus)",,0001493152-26-006725,https://www.sec.gov/Archives/edgar/data/2046386/000149315226006725/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G,2026-02-13,12/31/2025,BMA VIII L.L.C.,215303036.00,24.4,OO,20,BCP 8 Holdings Mozart Manager L.L.C.; BCP Mozart Aggregator L.P.; BMA VIII L.L.C.; Blackstone Group Management L.L.C.; Blackstone Holdings I/II GP L.L.C.; Blackstone Holdings II L.P.; Blackstone Inc.; Blackstone Management Associates VIII L.L.C.; Mozart Aggregator II LP; Stephen A. Schwarzman,Blackstone-affiliated PE sponsor entity (pre-IPO owner),,0001193125-26-051523,https://www.sec.gov/Archives/edgar/data/2046386/000119312526051523/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G,2026-02-13,12/31/2025,"Hellman & Friedman Investors X, L.P.",215303036,23.2,PN,18,"H&F Corporate Investors X, Ltd.; HFCP X (Parallel - A), L.P.; Hellman & Friedman Capital Partners X (Parallel), L.P.; Hellman & Friedman Capital Partners X, L.P.; Hellman & Friedman Investors X, L.P.; Mend Investment Holdings GP, LLC; Mend Investment Holdings I, L.P.; Mend Partners GP, LLC; Mend Partners II, L.P.",PE sponsor (pre-IPO owner),,0001193125-26-051918,https://www.sec.gov/Archives/edgar/data/2046386/000119312526051918/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G,2026-02-13,12/31/2025,"Mozart Holdco, Inc.",234308304.00,22.4,CO,2,"Mozart Holdco, Inc.",Pre-IPO holding vehicle,,0001193125-26-051326,https://www.sec.gov/Archives/edgar/data/2046386/000119312526051326/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G/A,2026-05-15,03/31/2026,Carlyle Group Inc.,187083713.00,20.6,CO,58,"CG Subsidiary Holdings L.L.C.; CP Circle ML Holdco GP, LLC; CP Circle ML-1 Holdco GP, LLC; CP Circle ML-1 Holdco, L.P.; CP Circle ML-2 Holdco, L.P.; CP Circle ML-3 Holdco, L.P.; CP Circle ML-4 Holdco, L.P.; CP Circle ML-5 Holdco, L.P.; CP Circle ML-6 Holdco, L.P.; CP Circle ML-7 Holdco, L.P.; CP Circle UNLV Holdco, L.P.; CPEP Circle Holdings, L.P.; CPEP GP, LLC; Carlyle Group Inc.; Carlyle Holdings I GP Inc.; Carlyle Holdings I GP Sub L.L.C.; Carlyle Holdings I L.P.; Carlyle Holdings II GP L.L.C.; Carlyle Holdings II L.L.C.; Carlyle Mozart Coinvestment Holdings, L.P.; Carlyle Mozart Coinvestment UNLV Holdco, L.P.; TC Group Cayman Investment Holdings Sub L.P.; TC Group Cayman Investment Holdings, L.P.; TC Group Sub L.P.; TC Group VII S1, L.L.C.; TC Group VII S1, L.P.; TC Group VII, L.L.C.; TC Group VII, L.P.; TC Group, L.L.C.","PE sponsor (pre-IPO owner, per prospectus)",,0001493152-26-023841,https://www.sec.gov/Archives/edgar/data/2046386/000149315226023841/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G/A,2026-05-01,03/31/2026,BMA VIII L.L.C.,187083713.00,20.6,OO,32,BCP 8 Holdings Mozart Manager L.L.C.; BCP Mozart Aggregator L.P.; BMA VIII L.L.C.; BX Mozart ML-1 Holdco GP L.L.C.; BX Mozart ML-1 Holdco L.P.; BX Mozart ML-2 Holdco GP L.L.C.; BX Mozart ML-2 Holdco L.P.; Blackstone Group Management L.L.C.; Blackstone Holdings I/II GP L.L.C.; Blackstone Holdings II L.P.; Blackstone Inc.; Blackstone Management Associates VIII L.P.; Mozart Aggregator II LP; Mozart Aggregator II UNLV Holdco L.P.; Mozart Aggregator UNLV Holdco L.P.; Stephen A. Schwarzman,Blackstone-affiliated PE sponsor entity (pre-IPO owner),,0001193125-26-201547,https://www.sec.gov/Archives/edgar/data/2046386/000119312526201547/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G/A,2026-05-06,03/31/2026,"Hellman & Friedman Investors X, L.P.",187083713,19.8,PN,18,"H&F Corporate Investors X, Ltd.; HFCP X (Parallel - A), L.P.; Hellman & Friedman Capital Partners X (Parallel), L.P.; Hellman & Friedman Capital Partners X, L.P.; Hellman & Friedman Investors X, L.P.; Mend Investment Holdings GP, LLC; Mend Investment Holdings I, L.P.; Mend Partners GP, LLC; Mend Partners II, L.P.",PE sponsor (pre-IPO owner),,0001193125-26-209831,https://www.sec.gov/Archives/edgar/data/2046386/000119312526209831/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G/A,2026-08-07,06/30/2026,BMA VIII L.L.C.,153327675.00,16.5,OO,32,BCP 8 Holdings Mozart Manager L.L.C.; BCP Mozart Aggregator L.P.; BMA VIII L.L.C.; BX Mozart ML-1 Holdco GP L.L.C.; BX Mozart ML-1 Holdco L.P.; BX Mozart ML-2 Holdco GP L.L.C.; BX Mozart ML-2 Holdco L.P.; Blackstone Group Management L.L.C.; Blackstone Holdings I/II GP L.L.C.; Blackstone Holdings II L.P.; Blackstone Inc.; Blackstone Management Associates VIII L.P.; Mozart Aggregator II LP; Mozart Aggregator II UNLV Holdco L.P.; Mozart Aggregator UNLV Holdco L.P.; Stephen A. Schwarzman,Blackstone-affiliated PE sponsor entity (pre-IPO owner),,0001193125-26-340351,https://www.sec.gov/Archives/edgar/data/2046386/000119312526340351/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G/A,2026-08-11,06/30/2026,"Hellman & Friedman Investors X, L.P.",153327675,16.0,PN,18,"H&F Corporate Investors X, Ltd.; HFCP X (Parallel - A), L.P.; Hellman & Friedman Capital Partners X (Parallel), L.P.; Hellman & Friedman Capital Partners X, L.P.; Hellman & Friedman Investors X, L.P.; Mend Investment Holdings GP, LLC; Mend Investment Holdings I, L.P.; Mend Partners GP, LLC; Mend Partners II, L.P.",PE sponsor (pre-IPO owner),,0001193125-26-345223,https://www.sec.gov/Archives/edgar/data/2046386/000119312526345223/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G,2025-12-29,12/18/2025,GIC Private Limited,118796825,14.64,CO,6,GIC Private Limited; GIC Special Investments Private Limited; Hux Investment Pte. Ltd.,Named prospectus cornerstone investor (Medline) - may also predate IPO,,0001193125-25-335380,https://www.sec.gov/Archives/edgar/data/2046386/000119312525335380/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G,2026-02-11,12/31/2025,Abu Dhabi Investment Authority,47515277.00,5.9,OO,4,Abu Dhabi Investment Authority; Platinum Falcon B 2018 RSC Limited,Sovereign wealth fund - timing vs IPO not established from 13G alone,,0001999371-26-003057,https://www.sec.gov/Archives/edgar/data/2046386/000199937126003057/primary_doc.xml
MDLN,MEDLINE INC,2046386,SCHEDULE 13G,2026-08-06,06/30/2026,FMR LLC,46929203.69,5.5,HC,4,Abigail P. Johnson; FMR LLC,,,0000315066-26-002081,https://www.sec.gov/Archives/edgar/data/2046386/000031506626002081/primary_doc.xml
MDLN,Medline Inc.,2046386,SCHEDULE 13G/A,2026-05-07,03/31/2026,Abu Dhabi Investment Authority,41355340.00,4.9,OO,4,Abu Dhabi Investment Authority; Platinum Falcon B 2018 RSC Limited,Sovereign wealth fund - timing vs IPO not established from 13G alone,,0001104659-26-056629,https://www.sec.gov/Archives/edgar/data/2046386/000110465926056629/primary_doc.xml
PSUS,"Pershing Square USA, Ltd.",2002660,SCHEDULE 13D,2026-05-07,04/30/2026,"Pershing Square PSUS Holdings, LLC",1000000,100,OO,4,"Pershing Square Inc.; Pershing Square Management, LLC; Pershing Square PSUS Holdings, LLC; Pershing Square Partner Group, LLC","Sponsor's nominal pre-effectiveness holding vehicle (100% of only 1,000,000 shares - not the public float)",,0001140361-26-019621,https://www.sec.gov/Archives/edgar/data/2002660/000114036126019621/primary_doc.xml
PSUS,"Pershing Square USA, Ltd.",2002660,SCHEDULE 13G,2026-05-06,04/30/2026,TEACHER RETIREMENT SYSTEM OF TEXAS,10270000.00,10.3,EP,2,TEACHER RETIREMENT SYSTEM OF TEXAS,,Long-only public pension fund - plausible genuine public-offering buyer,0000796848-26-000003,https://www.sec.gov/Archives/edgar/data/2002660/000079684826000003/primary_doc.xml
QNT,Quantinuum Inc.,2110105,SCHEDULE 13G,2026-08-13,06/30/2026,Honeywell International Inc.,124628729.00,79.1,CO,4,Honeywell Holdings International Inc.; Honeywell International Inc.,Former parent / spin-out sponsor - pre-IPO owner,,0001493152-26-037881,https://www.sec.gov/Archives/edgar/data/2110105/000149315226037881/primary_doc.xml
QNT,Quantinuum Inc.,2110105,SCHEDULE 13G,2026-06-22,06/04/2026,Ilyas Khan,83365334.00,72.0,IN,8,CQ Invest I LLC; Cambridge Quantum Holdings Limited; Ilyas Khan; Waseem Shiraz,Quantinuum founder/executive - pre-IPO holder,,0001493152-26-029497,https://www.sec.gov/Archives/edgar/data/2110105/000149315226029497/primary_doc.xml
QNT,Quantinuum Inc.,2110105,SCHEDULE 13G,2026-07-06,06/30/2026,Capital World Investors,4558976.00,13.9,IA,2,Capital World Investors,,,0001422849-26-000109,https://www.sec.gov/Archives/edgar/data/2110105/000142284926000109/primary_doc.xml
QNT,QUANTINUUM INC CLASS A,2110105,SCHEDULE 13G,2026-07-17,06/30/2026,BlackRock Portfolio Management LLC,2259347,6.9,HC,2,BlackRock Portfolio Management LLC,,,0002052113-26-000735,https://www.sec.gov/Archives/edgar/data/2110105/000205211326000735/primary_doc.xml
QNT,Quantinuum Inc.,2110105,SCHEDULE 13G,2026-08-12,06/30/2026,Capital Research Global Investors,1754325.00,5.3,IA,2,Capital Research Global Investors,,Name matches prospectus cornerstone investor in Medline and Fervo deals,0001422848-26-000109,https://www.sec.gov/Archives/edgar/data/2110105/000142284826000109/primary_doc.xml
SPCX,Space Exploration Technologies Corp.,1181412,SCHEDULE 13G,2026-08-13,06/30/2026,Elon R. Musk,6418547515.00,48.4,IN,2,Elon R. Musk,Founder/CEO - pre-IPO holder,,0001104659-26-095936,https://www.sec.gov/Archives/edgar/data/1181412/000110465926095936/primary_doc.xml
SPCX,Space Exploration Technologies Corp.,1181412,SCHEDULE 13G,2026-08-14,06/30/2026,Google LLC,551189500,7.2,OO,6,Alphabet Inc.; Google LLC; XXVI Holdings Inc.,Known pre-IPO strategic investor (Alphabet invested in SpaceX since ~2015),,0001193125-26-352289,https://www.sec.gov/Archives/edgar/data/1181412/000119312526352289/primary_doc.xml
SPCX,Space Exploration Technologies Corp.,1181412,SCHEDULE 13G,2026-08-11,06/30/2026,Antonio J. Gracias,503414530.00,6.5,IN,2,Antonio J. Gracias,Early investor/former board member - pre-IPO holder,,0001213900-26-087780,https://www.sec.gov/Archives/edgar/data/1181412/000121390026087780/primary_doc.xml
SPCX,Space Exploration Technologies Corp.,1181412,SCHEDULE 13G,2026-08-14,06/30/2026,Peter  Thiel,427306025.00,5.5,IN,58,"2025-005 Investments LLC; Barrel Vault LLC; FF GP Holdings, LLC; FF Upper Tier GP, LLC; Founders SPC, LP; I'll Be Seeing You LLC; Lembas II, LP; Peter  Thiel; The Founders Fund Alpha Management, LLC; The Founders Fund Growth II Management, LP; The Founders Fund Growth II, LP; The Founders Fund Growth Management, LLC; The Founders Fund Growth Principals Fund, LP; The Founders Fund Growth, LP; The Founders Fund II Entrepreneurs Fund, LP; The Founders Fund II Management, LLC; The Founders Fund II Principals Fund, LP; The Founders Fund II, LP; The Founders Fund III Entrepreneurs Fund, LP; The Founders Fund III Management, LLC; The Founders Fund III Principals Fund, LP; The Founders Fund III, LP; The Founders Fund IV Management, LLC; The Founders Fund IV Principals Fund, LP; The Founders Fund IV, LP; The Founders Fund V Entrepreneurs Fund, LP; The Founders Fund V Management, LLC; The Founders Fund V Principals Fund, LP; The Founders Fund V, LP",Founders Fund - pre-IPO VC investor,,0001426012-26-000004,https://www.sec.gov/Archives/edgar/data/1181412/000142601226000004/primary_doc.xml
