year,ticker,note
2015,JNPR,no CIK match in company_tickers.json (current tickers only)
2015,JOY,no CIK match in company_tickers.json (current tickers only)
2015,JWN,no CIK match in company_tickers.json (current tickers only)
2015,K,no CIK match in company_tickers.json (current tickers only)
2015,KORS,no CIK match in company_tickers.json (current tickers only)
2015,KRFT,no CIK match in company_tickers.json (current tickers only)
2015,KSU,no CIK match in company_tickers.json (current tickers only)
2015,LEG,no CIK match in company_tickers.json (current tickers only)
2015,LLL,no CIK match in company_tickers.json (current tickers only)
2015,LLTC,no CIK match in company_tickers.json (current tickers only)
2015,LM,no CIK match in company_tickers.json (current tickers only)
2015,LVLT,no CIK match in company_tickers.json (current tickers only)
2015,MJN,no CIK match in company_tickers.json (current tickers only)
2015,MMC,no CIK match in company_tickers.json (current tickers only)
2015,MNK,no CIK match in company_tickers.json (current tickers only)
2015,MON,no CIK match in company_tickers.json (current tickers only)
2015,MRO,no CIK match in company_tickers.json (current tickers only)
2015,MWV,no CIK match in company_tickers.json (current tickers only)
2015,MYL,no CIK match in company_tickers.json (current tickers only)
2015,NBL,no CIK match in company_tickers.json (current tickers only)
2015,NFX,no CIK match in company_tickers.json (current tickers only)
2015,NLSN,no CIK match in company_tickers.json (current tickers only)
2015,PBCT,no CIK match in company_tickers.json (current tickers only)
2015,PCL,no CIK match in company_tickers.json (current tickers only)
2015,PCP,no CIK match in company_tickers.json (current tickers only)
2015,PDCO,no CIK match in company_tickers.json (current tickers only)
2015,PKI,no CIK match in company_tickers.json (current tickers only)
2015,PLL,no CIK match in company_tickers.json (current tickers only)
2015,PX,no CIK match in company_tickers.json (current tickers only)
2015,PXD,no CIK match in company_tickers.json (current tickers only)
2015,RAI,no CIK match in company_tickers.json (current tickers only)
2015,RHT,no CIK match in company_tickers.json (current tickers only)
2015,RTN,no CIK match in company_tickers.json (current tickers only)
2015,SCG,no CIK match in company_tickers.json (current tickers only)
2015,SEE,no CIK match in company_tickers.json (current tickers only)
2015,SIAL,no CIK match in company_tickers.json (current tickers only)
2015,SNI,no CIK match in company_tickers.json (current tickers only)
2015,SPLS,no CIK match in company_tickers.json (current tickers only)
2015,SRCL,no CIK match in company_tickers.json (current tickers only)
2015,STJ,no CIK match in company_tickers.json (current tickers only)
2015,SWN,no CIK match in company_tickers.json (current tickers only)
2015,SYMC,no CIK match in company_tickers.json (current tickers only)
2015,TGNA,no CIK match in company_tickers.json (current tickers only)
2015,TIF,no CIK match in company_tickers.json (current tickers only)
2015,TMK,no CIK match in company_tickers.json (current tickers only)
2015,TSS,no CIK match in company_tickers.json (current tickers only)
2015,TWC,no CIK match in company_tickers.json (current tickers only)
2015,TWX,no CIK match in company_tickers.json (current tickers only)
2015,UTX,no CIK match in company_tickers.json (current tickers only)
2015,VAR,no CIK match in company_tickers.json (current tickers only)
2015,VIAB,no CIK match in company_tickers.json (current tickers only)
2015,WBA,no CIK match in company_tickers.json (current tickers only)
2015,WFM,no CIK match in company_tickers.json (current tickers only)
2015,WYND,no CIK match in company_tickers.json (current tickers only)
2015,XEC,no CIK match in company_tickers.json (current tickers only)
2015,XL,no CIK match in company_tickers.json (current tickers only)
2015,XLNX,no CIK match in company_tickers.json (current tickers only)
2017,ABC,no CIK match in company_tickers.json (current tickers only)
2017,ADS,no CIK match in company_tickers.json (current tickers only)
2017,AET,no CIK match in company_tickers.json (current tickers only)
2017,AGN,no CIK match in company_tickers.json (current tickers only)
2017,ALXN,no CIK match in company_tickers.json (current tickers only)
2017,ANDV,no CIK match in company_tickers.json (current tickers only)
2017,ANSS,no CIK match in company_tickers.json (current tickers only)
2017,ANTM,no CIK match in company_tickers.json (current tickers only)
2017,ARNC,no CIK match in company_tickers.json (current tickers only)
2017,ATVI,no CIK match in company_tickers.json (current tickers only)
2017,AVB,no CIK match in company_tickers.json (current tickers only)
2017,BBBY,no CIK match in company_tickers.json (current tickers only)
2017,BCR,no CIK match in company_tickers.json (current tickers only)
2017,BHGE,no CIK match in company_tickers.json (current tickers only)
2017,BK,no CIK match in company_tickers.json (current tickers only)
2017,BLL,no CIK match in company_tickers.json (current tickers only)
2017,CA,no CIK match in company_tickers.json (current tickers only)
2017,CBS,no CIK match in company_tickers.json (current tickers only)
2017,CELG,no CIK match in company_tickers.json (current tickers only)
2017,CERN,no CIK match in company_tickers.json (current tickers only)
2017,CHK,no CIK match in company_tickers.json (current tickers only)
2017,CMA,no CIK match in company_tickers.json (current tickers only)
2017,COG,no CIK match in company_tickers.json (current tickers only)
2017,COL,no CIK match in company_tickers.json (current tickers only)
2017,CSRA,no CIK match in company_tickers.json (current tickers only)
2017,CTL,no CIK match in company_tickers.json (current tickers only)
2017,CTXS,no CIK match in company_tickers.json (current tickers only)
2017,CXO,no CIK match in company_tickers.json (current tickers only)
2017,DFS,no CIK match in company_tickers.json (current tickers only)
2017,DISCA,no CIK match in company_tickers.json (current tickers only)
2017,DISCK,no CIK match in company_tickers.json (current tickers only)
2017,DISH,no CIK match in company_tickers.json (current tickers only)
2017,EA,no CIK match in company_tickers.json (current tickers only)
2017,EQR,no CIK match in company_tickers.json (current tickers only)
2017,ESRX,no CIK match in company_tickers.json (current tickers only)
2017,ETFC,no CIK match in company_tickers.json (current tickers only)
2017,EVHC,no CIK match in company_tickers.json (current tickers only)
2017,FB,no CIK match in company_tickers.json (current tickers only)
2017,FBHS,no CIK match in company_tickers.json (current tickers only)
2017,FL,no CIK match in company_tickers.json (current tickers only)
2017,FLIR,no CIK match in company_tickers.json (current tickers only)
2017,GGP,no CIK match in company_tickers.json (current tickers only)
2017,GPS,no CIK match in company_tickers.json (current tickers only)
2017,HBI,no CIK match in company_tickers.json (current tickers only)
2017,HCP,no CIK match in company_tickers.json (current tickers only)
2017,HES,no CIK match in company_tickers.json (current tickers only)
2017,HOLX,no CIK match in company_tickers.json (current tickers only)
2017,HRS,no CIK match in company_tickers.json (current tickers only)
2017,INFO,no CIK match in company_tickers.json (current tickers only)
2017,IPG,no CIK match in company_tickers.json (current tickers only)
2017,JEC,no CIK match in company_tickers.json (current tickers only)
2017,JNPR,no CIK match in company_tickers.json (current tickers only)
2017,JWN,no CIK match in company_tickers.json (current tickers only)
2017,K,no CIK match in company_tickers.json (current tickers only)
2017,KORS,no CIK match in company_tickers.json (current tickers only)
2017,KSU,no CIK match in company_tickers.json (current tickers only)
2017,LEG,no CIK match in company_tickers.json (current tickers only)
2017,LLL,no CIK match in company_tickers.json (current tickers only)
2017,LVLT,no CIK match in company_tickers.json (current tickers only)
2017,MMC,no CIK match in company_tickers.json (current tickers only)
2017,MNK,no CIK match in company_tickers.json (current tickers only)
2017,MON,no CIK match in company_tickers.json (current tickers only)
2017,MRO,no CIK match in company_tickers.json (current tickers only)
2017,MYL,no CIK match in company_tickers.json (current tickers only)
2017,NBL,no CIK match in company_tickers.json (current tickers only)
2017,NFX,no CIK match in company_tickers.json (current tickers only)
2017,NLSN,no CIK match in company_tickers.json (current tickers only)
2017,PBCT,no CIK match in company_tickers.json (current tickers only)
2017,PDCO,no CIK match in company_tickers.json (current tickers only)
2017,PKI,no CIK match in company_tickers.json (current tickers only)
2017,PX,no CIK match in company_tickers.json (current tickers only)
2017,PXD,no CIK match in company_tickers.json (current tickers only)
2017,RAI,no CIK match in company_tickers.json (current tickers only)
2017,RE,no CIK match in company_tickers.json (current tickers only)
2017,RHT,no CIK match in company_tickers.json (current tickers only)
2017,RTN,no CIK match in company_tickers.json (current tickers only)
2017,SCG,no CIK match in company_tickers.json (current tickers only)
2017,SEE,no CIK match in company_tickers.json (current tickers only)
2017,SNI,no CIK match in company_tickers.json (current tickers only)
2017,SPLS,no CIK match in company_tickers.json (current tickers only)
2017,SRCL,no CIK match in company_tickers.json (current tickers only)
2017,SYMC,no CIK match in company_tickers.json (current tickers only)
2017,TIF,no CIK match in company_tickers.json (current tickers only)
2017,TMK,no CIK match in company_tickers.json (current tickers only)
2017,TSS,no CIK match in company_tickers.json (current tickers only)
2017,TWX,no CIK match in company_tickers.json (current tickers only)
2017,UTX,no CIK match in company_tickers.json (current tickers only)
2017,VAR,no CIK match in company_tickers.json (current tickers only)
2017,VIAB,no CIK match in company_tickers.json (current tickers only)
2017,WBA,no CIK match in company_tickers.json (current tickers only)
2017,WFM,no CIK match in company_tickers.json (current tickers only)
2017,WLTW,no CIK match in company_tickers.json (current tickers only)
2017,WRK,no CIK match in company_tickers.json (current tickers only)
2017,WYND,no CIK match in company_tickers.json (current tickers only)
2017,XEC,no CIK match in company_tickers.json (current tickers only)
2017,XL,no CIK match in company_tickers.json (current tickers only)
2017,XLNX,no CIK match in company_tickers.json (current tickers only)
2019,ABC,no CIK match in company_tickers.json (current tickers only)
2019,ABMD,no CIK match in company_tickers.json (current tickers only)
2019,ADS,no CIK match in company_tickers.json (current tickers only)
2019,AGN,no CIK match in company_tickers.json (current tickers only)
2019,ALXN,no CIK match in company_tickers.json (current tickers only)
2019,ANSS,no CIK match in company_tickers.json (current tickers only)
2019,ANTM,no CIK match in company_tickers.json (current tickers only)
2019,ARNC,no CIK match in company_tickers.json (current tickers only)
2019,ATVI,no CIK match in company_tickers.json (current tickers only)
2019,AVB,no CIK match in company_tickers.json (current tickers only)
2019,BHGE,no CIK match in company_tickers.json (current tickers only)
2019,BK,no CIK match in company_tickers.json (current tickers only)
2019,BLL,no CIK match in company_tickers.json (current tickers only)
2019,CBS,no CIK match in company_tickers.json (current tickers only)
2019,CELG,no CIK match in company_tickers.json (current tickers only)
2019,CERN,no CIK match in company_tickers.json (current tickers only)
2019,CMA,no CIK match in company_tickers.json (current tickers only)
2019,COG,no CIK match in company_tickers.json (current tickers only)
2019,CTL,no CIK match in company_tickers.json (current tickers only)
2019,CTXS,no CIK match in company_tickers.json (current tickers only)
2019,CXO,no CIK match in company_tickers.json (current tickers only)
2019,DFS,no CIK match in company_tickers.json (current tickers only)
2019,DISCA,no CIK match in company_tickers.json (current tickers only)
2019,DISCK,no CIK match in company_tickers.json (current tickers only)
2019,DISH,no CIK match in company_tickers.json (current tickers only)
2019,DRE,no CIK match in company_tickers.json (current tickers only)
2019,EA,no CIK match in company_tickers.json (current tickers only)
2019,EQR,no CIK match in company_tickers.json (current tickers only)
2019,ETFC,no CIK match in company_tickers.json (current tickers only)
2019,FB,no CIK match in company_tickers.json (current tickers only)
2019,FBHS,no CIK match in company_tickers.json (current tickers only)
2019,FL,no CIK match in company_tickers.json (current tickers only)
2019,FLIR,no CIK match in company_tickers.json (current tickers only)
2019,FLT,no CIK match in company_tickers.json (current tickers only)
2019,FRC,no CIK match in company_tickers.json (current tickers only)
2019,GPS,no CIK match in company_tickers.json (current tickers only)
2019,HBI,no CIK match in company_tickers.json (current tickers only)
2019,HCP,no CIK match in company_tickers.json (current tickers only)
2019,HES,no CIK match in company_tickers.json (current tickers only)
2019,HFC,no CIK match in company_tickers.json (current tickers only)
2019,HOLX,no CIK match in company_tickers.json (current tickers only)
2019,INFO,no CIK match in company_tickers.json (current tickers only)
2019,IPG,no CIK match in company_tickers.json (current tickers only)
2019,JEC,no CIK match in company_tickers.json (current tickers only)
2019,JNPR,no CIK match in company_tickers.json (current tickers only)
2019,JWN,no CIK match in company_tickers.json (current tickers only)
2019,K,no CIK match in company_tickers.json (current tickers only)
2019,KSU,no CIK match in company_tickers.json (current tickers only)
2019,LEG,no CIK match in company_tickers.json (current tickers only)
2019,MMC,no CIK match in company_tickers.json (current tickers only)
2019,MRO,no CIK match in company_tickers.json (current tickers only)
2019,MXIM,no CIK match in company_tickers.json (current tickers only)
2019,MYL,no CIK match in company_tickers.json (current tickers only)
2019,NBL,no CIK match in company_tickers.json (current tickers only)
2019,NLSN,no CIK match in company_tickers.json (current tickers only)
2019,PBCT,no CIK match in company_tickers.json (current tickers only)
2019,PKI,no CIK match in company_tickers.json (current tickers only)
2019,PXD,no CIK match in company_tickers.json (current tickers only)
2019,RE,no CIK match in company_tickers.json (current tickers only)
2019,RHT,no CIK match in company_tickers.json (current tickers only)
2019,RTN,no CIK match in company_tickers.json (current tickers only)
2019,SEE,no CIK match in company_tickers.json (current tickers only)
2019,SIVB,no CIK match in company_tickers.json (current tickers only)
2019,SYMC,no CIK match in company_tickers.json (current tickers only)
2019,TIF,no CIK match in company_tickers.json (current tickers only)
2019,TMK,no CIK match in company_tickers.json (current tickers only)
2019,TSS,no CIK match in company_tickers.json (current tickers only)
2019,TWTR,no CIK match in company_tickers.json (current tickers only)
2019,UTX,no CIK match in company_tickers.json (current tickers only)
2019,VAR,no CIK match in company_tickers.json (current tickers only)
2019,VIAB,no CIK match in company_tickers.json (current tickers only)
2019,WBA,no CIK match in company_tickers.json (current tickers only)
2019,WCG,no CIK match in company_tickers.json (current tickers only)
2019,WLTW,no CIK match in company_tickers.json (current tickers only)
2019,WRK,no CIK match in company_tickers.json (current tickers only)
2019,XEC,no CIK match in company_tickers.json (current tickers only)
2019,XLNX,no CIK match in company_tickers.json (current tickers only)
2021,ABC,no CIK match in company_tickers.json (current tickers only)
2021,ABMD,no CIK match in company_tickers.json (current tickers only)
2021,ALXN,no CIK match in company_tickers.json (current tickers only)
2021,ANSS,no CIK match in company_tickers.json (current tickers only)
2021,ANTM,no CIK match in company_tickers.json (current tickers only)
2021,ATVI,no CIK match in company_tickers.json (current tickers only)
2021,AVB,no CIK match in company_tickers.json (current tickers only)
2021,BK,no CIK match in company_tickers.json (current tickers only)
2021,BLL,no CIK match in company_tickers.json (current tickers only)
2021,CERN,no CIK match in company_tickers.json (current tickers only)
2021,CMA,no CIK match in company_tickers.json (current tickers only)
2021,COG,no CIK match in company_tickers.json (current tickers only)
2021,CTLT,no CIK match in company_tickers.json (current tickers only)
2021,CTXS,no CIK match in company_tickers.json (current tickers only)
2021,DFS,no CIK match in company_tickers.json (current tickers only)
2021,DISCA,no CIK match in company_tickers.json (current tickers only)
2021,DISCK,no CIK match in company_tickers.json (current tickers only)
2021,DISH,no CIK match in company_tickers.json (current tickers only)
2021,DRE,no CIK match in company_tickers.json (current tickers only)
2021,EA,no CIK match in company_tickers.json (current tickers only)
2021,EQR,no CIK match in company_tickers.json (current tickers only)
2021,FB,no CIK match in company_tickers.json (current tickers only)
2021,FBHS,no CIK match in company_tickers.json (current tickers only)
2021,FLT,no CIK match in company_tickers.json (current tickers only)
2021,FRC,no CIK match in company_tickers.json (current tickers only)
2021,GPS,no CIK match in company_tickers.json (current tickers only)
2021,HBI,no CIK match in company_tickers.json (current tickers only)
2021,HES,no CIK match in company_tickers.json (current tickers only)
2021,HOLX,no CIK match in company_tickers.json (current tickers only)
2021,INFO,no CIK match in company_tickers.json (current tickers only)
2021,IPG,no CIK match in company_tickers.json (current tickers only)
2021,JNPR,no CIK match in company_tickers.json (current tickers only)
2021,K,no CIK match in company_tickers.json (current tickers only)
2021,KSU,no CIK match in company_tickers.json (current tickers only)
2021,LEG,no CIK match in company_tickers.json (current tickers only)
2021,MMC,no CIK match in company_tickers.json (current tickers only)
2021,MRO,no CIK match in company_tickers.json (current tickers only)
2021,MXIM,no CIK match in company_tickers.json (current tickers only)
2021,NLOK,no CIK match in company_tickers.json (current tickers only)
2021,NLSN,no CIK match in company_tickers.json (current tickers only)
2021,PBCT,no CIK match in company_tickers.json (current tickers only)
2021,PEAK,no CIK match in company_tickers.json (current tickers only)
2021,PKI,no CIK match in company_tickers.json (current tickers only)
2021,PXD,no CIK match in company_tickers.json (current tickers only)
2021,RE,no CIK match in company_tickers.json (current tickers only)
2021,SEE,no CIK match in company_tickers.json (current tickers only)
2021,SIVB,no CIK match in company_tickers.json (current tickers only)
2021,TWTR,no CIK match in company_tickers.json (current tickers only)
2021,VIAC,no CIK match in company_tickers.json (current tickers only)
2021,WBA,no CIK match in company_tickers.json (current tickers only)
2021,WLTW,no CIK match in company_tickers.json (current tickers only)
2021,WRK,no CIK match in company_tickers.json (current tickers only)
2021,XLNX,no CIK match in company_tickers.json (current tickers only)
2023,ABC,no CIK match in company_tickers.json (current tickers only)
2023,ANSS,no CIK match in company_tickers.json (current tickers only)
2023,ATVI,no CIK match in company_tickers.json (current tickers only)
2023,AVB,no CIK match in company_tickers.json (current tickers only)
2023,BK,no CIK match in company_tickers.json (current tickers only)
2023,CDAY,no CIK match in company_tickers.json (current tickers only)
2023,CMA,no CIK match in company_tickers.json (current tickers only)
2023,CTLT,no CIK match in company_tickers.json (current tickers only)
2023,CTRA,no CIK match in company_tickers.json (current tickers only)
2023,DFS,no CIK match in company_tickers.json (current tickers only)
2023,EA,no CIK match in company_tickers.json (current tickers only)
2023,EQR,no CIK match in company_tickers.json (current tickers only)
2023,FI,no CIK match in company_tickers.json (current tickers only)
2023,FLT,no CIK match in company_tickers.json (current tickers only)
2023,HES,no CIK match in company_tickers.json (current tickers only)
2023,HOLX,no CIK match in company_tickers.json (current tickers only)
2023,IPG,no CIK match in company_tickers.json (current tickers only)
2023,JNPR,no CIK match in company_tickers.json (current tickers only)
2023,K,no CIK match in company_tickers.json (current tickers only)
2023,MMC,no CIK match in company_tickers.json (current tickers only)
2023,MRO,no CIK match in company_tickers.json (current tickers only)
2023,PEAK,no CIK match in company_tickers.json (current tickers only)
2023,PXD,no CIK match in company_tickers.json (current tickers only)
2023,RE,no CIK match in company_tickers.json (current tickers only)
2023,SEE,no CIK match in company_tickers.json (current tickers only)
2023,WBA,no CIK match in company_tickers.json (current tickers only)
2023,WRK,no CIK match in company_tickers.json (current tickers only)
2025,ANSS,no CIK match in company_tickers.json (current tickers only)
2025,AVB,no CIK match in company_tickers.json (current tickers only)
2025,BK,no CIK match in company_tickers.json (current tickers only)
2025,CTRA,no CIK match in company_tickers.json (current tickers only)
2025,DAY,no CIK match in company_tickers.json (current tickers only)
2025,EA,no CIK match in company_tickers.json (current tickers only)
2025,EQR,no CIK match in company_tickers.json (current tickers only)
2025,FI,no CIK match in company_tickers.json (current tickers only)
2025,HES,no CIK match in company_tickers.json (current tickers only)
2025,HOLX,no CIK match in company_tickers.json (current tickers only)
2025,IPG,no CIK match in company_tickers.json (current tickers only)
2025,JNPR,no CIK match in company_tickers.json (current tickers only)
2025,K,no CIK match in company_tickers.json (current tickers only)
2025,MMC,no CIK match in company_tickers.json (current tickers only)
2025,WBA,no CIK match in company_tickers.json (current tickers only)
