date,spy_ret,payment_yield,cash_usd,n_payers,py_quintile,vix_lag,dow,month
2015-06-02,-0.000992611,0.0001131811,2317841931.39,4,5,13.970000267,1,6
2015-06-03,0.0026494964,4.3079e-06,88134107.23,1,1,14.2399997711,2,6
2015-06-04,-0.008446552,5.7555e-06,118062391.85,2,1,13.6599998474,3,6
2015-06-05,-0.001713228,6.97359e-05,1418406223.91,9,4,14.7100000381,4,6
2015-06-08,-0.006149633,0.0001176429,2388719404.35,7,5,14.2100000381,0,6
2015-06-09,-0.0001438928,1.56423e-05,315661746.45,5,2,15.2899999619,1,6
2015-06-10,0.0119932839,3.34341e-05,674600677.69,4,3,14.470000267,2,6
2015-06-11,0.0032235503,0.0001154524,2357427019.82,2,5,13.220000267,3,6
2015-06-12,-0.0076549182,1.16082e-05,237792522.22,3,2,12.8500003815,4,6
2015-06-15,-0.0042854813,0.0001062894,2160655750.47,16,5,13.779999733,0,6
2015-06-16,0.0054516732,3.9153e-06,79249988.2,1,1,15.3900003433,1,6
2015-06-17,0.0016171051,2.43022e-05,494580694.4,2,3,14.8100004196,2,6
2015-06-18,0.010399366,1.0157e-06,20703407.46,1,1,14.5,3,6
2015-06-19,-0.0092583947,5.63172e-05,1159920148.9,8,4,13.1899995804,4,6
2015-06-22,0.0051231054,1.3479e-06,27504037.16,1,1,13.9600000381,0,6
2015-06-23,0.0007078857,3.1937e-05,655029186.42,3,3,12.7399997711,1,6
2015-06-24,-0.0072627492,3.81627e-05,783272823.76,3,3,12.1099996567,2,6
2015-06-25,-0.0030403771,8.7184e-06,177642105.06,1,2,13.2600002289,3,6
2015-06-26,-0.0001905713,0.0001003417,2038294318.11,12,5,14.0100002289,4,6
2015-06-29,-0.0209703984,0.0002835772,5759358030.52,16,5,14.0200004578,0,6
2015-06-30,0.002093311,8.56786e-05,1703612070.97,12,4,18.8500003815,1,6
2015-07-01,0.0080155154,2.36046e-05,470331740.55,5,3,18.2299995422,2,7
2015-07-02,-0.0009156744,1.43597e-05,288416408.25,1,2,16.0900001526,3,7
2015-07-06,-0.0028459618,8.00501e-05,1606341824.58,3,4,16.7900009155,0,7
2015-07-07,0.0062887144,3.22979e-05,646267403.02,1,3,17.0100002289,1,7
2015-07-10,0.0125915174,1.009e-06,20012042.96,1,1,19.9699993134,4,7
2015-07-13,0.0110372498,4.50192e-05,904127725.35,3,3,16.8299999237,0,7
2015-07-14,0.0043380292,0.0001611601,3272327840.38,18,5,13.8999996185,1,7
2015-07-15,-0.0003322198,2.08187e-05,424554277.42,5,2,13.3699998856,2,7
2015-07-17,0.0008478223,3.05574e-05,627945733.1,6,3,12.1099996567,4,7
2015-07-20,0.0005176987,1.27974e-05,263206243.36,2,2,11.9499998093,0,7
2015-07-21,-0.0039512505,1.5051e-06,30971560.31,1,1,12.25,1,7
2015-07-22,-0.0017945921,6.06121e-05,1242334918.51,2,4,12.220000267,2,7
2015-07-23,-0.0056299497,1.7535e-06,35876527.22,1,1,12.1199998856,3,7
2015-07-24,-0.0103720276,2.48606e-05,505777083.9,4,3,12.6400003433,4,7
2015-07-27,-0.00581734,3.5274e-06,71019851.25,2,1,13.7399997711,0,7
2015-07-31,-0.0015179172,9.19693e-05,1876768833.41,6,5,12.1300001144,4,7
2015-08-03,-0.0033729535,2.0625e-05,420244380.29,2,2,12.1199998856,0,8
2015-08-06,-0.0081877525,6.91e-08,1404464.49,1,1,12.5100002289,3,8
2015-08-07,-0.0019198903,1.26037e-05,254182624.58,3,2,13.7700004578,4,8
2015-08-10,0.0125992326,0.0001048826,2111146620.61,3,5,13.3900003433,0,8
2015-08-13,-0.0012444692,9.28634e-05,1877933759.3,1,5,13.6099996567,3,8
2015-08-14,0.0036422625,4.4661e-06,90202585.17,2,1,13.4899997711,4,8
2015-08-17,0.0055868502,0.00011042,2238318382.9,16,5,12.8299999237,0,8
2015-08-18,-0.0028966267,5.7694e-06,117604025.96,1,1,13.0200004578,1,8
2015-08-20,-0.020881365,1.00336e-05,202322669.36,2,2,15.25,3,8
2015-08-21,-0.0301024629,1.36056e-05,268621826.44,2,2,19.1399993896,4,8
2015-08-24,-0.0421068683,0.000103668,1985146856.36,7,5,28.0300006866,0,8
2015-08-25,-0.0117677875,4.77818e-05,876451715.99,5,4,40.7400016785,1,8
2015-08-27,0.0247351506,2.2985e-06,43264247.15,1,1,30.3199996948,3,8
2015-08-28,5.01556e-05,1.19364e-05,230234679.37,3,2,26.1000003815,4,8
2015-08-31,-0.0080790878,0.0001099786,2121425595.85,8,5,26.0499992371,0,8
2015-09-01,-0.0298476954,8.45067e-05,1616916502.75,4,4,28.4300003052,1,9
2015-09-02,0.0189810675,4.748e-06,88134107.23,1,1,31.3999996185,2,9
2015-09-04,-0.0151368278,0.0001649732,3122676212.22,8,5,25.6100006104,4,9
2015-09-08,0.025131089,0.0002275613,4242169122.57,11,5,27.7999992371,1,9
2015-09-09,-0.0133718254,1.01627e-05,194212743.13,1,2,24.8999996185,2,9
2015-09-10,0.0054418238,0.0001608091,3032027697.51,6,5,26.2299995422,3,9
2015-09-11,0.0045442908,1.8679e-05,354106677.0,4,2,24.3700008392,4,9
2015-09-14,-0.0037105366,4.374e-05,832966321.07,11,3,23.2000007629,0,9
2015-09-15,0.0124994249,9.26538e-05,1757912169.83,13,5,24.25,1,9
2015-09-16,0.0086666628,1.32887e-05,255277159.19,2,2,22.5400009155,2,9
2015-09-17,-0.0022479617,1.83688e-05,355924316.19,2,2,21.3500003815,3,9
2015-09-18,-0.0214289234,6.71437e-05,1298088536.81,5,4,21.1399993896,4,9
2015-09-21,0.0051676121,1.79801e-05,340160849.97,4,2,22.2800006866,0,9
2015-09-22,-0.0129797565,2.28455e-05,434440827.25,4,3,20.1399993896,1,9
2015-09-23,-0.0015986672,2.79268e-05,524176034.86,1,3,22.4400005341,2,9
2015-09-24,-0.0036157654,9.076e-06,170080551.2,1,2,22.1299991608,3,9
2015-09-25,-0.0002591384,2.59032e-05,483661231.45,6,3,23.4699993134,4,9
2015-09-28,-0.0250972852,4.13753e-05,772353830.69,5,3,23.6200008392,0,9
2015-09-29,0.0005850785,0.0003242924,5901651219.61,18,5,27.6299991608,1,9
2015-09-30,0.0186583556,7.02782e-05,1279709725.48,6,4,26.8299999237,2,9
2015-10-01,0.0026091947,2.05004e-05,380260429.43,3,2,24.5,3,10
2015-10-02,0.0149377767,7.22938e-05,1344472503.88,10,4,22.5499992371,4,10
2015-10-05,0.0177948781,8.84841e-05,1670151248.34,3,4,20.9400005341,0,10
2015-10-06,-0.0034262505,3.40078e-05,653324137.22,4,3,19.5400009155,1,10
2015-10-09,0.0005963675,1.20384e-05,234462689.27,2,2,17.4200000763,4,10
2015-10-13,-0.0063021251,1.4783e-06,28836251.65,1,1,16.1700000763,1,10
2015-10-14,-0.004794041,1.11363e-05,215859512.53,1,2,17.6700000763,2,10
2015-10-15,0.0153545733,2.20086e-05,424554277.42,5,3,18.0300006866,3,10
2015-10-16,0.0045465685,0.0002488261,4873658365.3,18,5,16.0499992371,4,10
2015-10-19,0.0004919115,1.81009e-05,356146466.88,3,2,15.0500001907,0,10
2015-10-20,-0.001278431,7.21266e-05,1419835100.89,4,4,14.9799995422,1,10
2015-10-21,-0.006203508,4.96349e-05,975829405.5,4,4,15.75,2,10
2015-10-22,0.016893675,2.7395e-06,53524081.3,1,1,16.7000007629,3,10
2015-10-23,0.0109617074,1.2167e-06,24172893.92,1,1,14.4499998093,4,10
2015-10-26,-0.0024576865,2.6632e-06,53492868.83,1,1,14.4600000381,0,10
2015-10-27,-0.0019323377,2.14091e-05,428967165.81,1,3,15.2899999619,1,10
2015-10-28,0.0113745923,2.0496e-05,409878083.09,1,2,15.4300003052,2,10
2015-11-02,0.0118309373,4.89144e-05,984485548.98,3,4,15.0699996948,0,11
2015-11-06,-0.0005234386,8.0047e-06,162829408.36,2,1,15.0500001907,4,11
2015-11-09,-0.0093315155,4.54523e-05,924088753.45,3,3,14.3299999237,0,11
2015-11-10,0.0023067845,5.44828e-05,1097351100.84,2,4,16.5200004578,1,11
2015-11-12,-0.0139598011,9.33908e-05,1877933759.3,1,5,16.0599994659,3,11
2015-11-13,-0.0112282908,8.2001e-06,162588955.95,2,1,18.3700008392,4,11
2015-11-16,0.0152068823,0.0001425945,2795563446.34,14,5,20.0799999237,0,11
2015-11-19,-0.000862323,7.4609e-06,150741855.23,1,1,16.8500003815,3,11
2015-11-20,0.0036441836,1.03824e-05,209585740.62,4,2,16.9899997711,4,11
2015-11-23,-0.001146578,5.28691e-05,1071144026.56,7,4,15.470000267,0,11
2015-11-24,0.0013392585,0.0001052807,2130573121.27,9,5,15.6199998856,1,11
2015-11-27,0.0011465232,0.0001890931,3831264867.74,7,5,15.1899995804,4,11
2015-11-30,-0.0041515324,0.0001411341,2862834986.44,10,5,15.1199998856,0,11
2015-12-01,0.009535628,7.34958e-05,1484636896.31,4,4,16.1299991608,1,12
2015-12-02,-0.0102050217,8.0539e-06,164241947.71,2,1,14.6700000763,2,12
2015-12-04,0.0195029157,0.0001635895,3255784430.26,9,5,18.1100006104,4,12
2015-12-07,-0.0060585299,5.00285e-05,1015093294.64,6,4,14.8100004196,0,12
2015-12-08,-0.0067195062,0.0001050843,2119274962.47,5,5,15.8400001526,1,12
2015-12-10,0.0025810791,0.0001768336,3514747459.98,8,5,19.6100006104,3,12
2015-12-11,-0.0193811159,3.88194e-05,773566203.49,3,3,19.3400001526,4,12
2015-12-14,0.0050524519,4.1298e-06,80700750.34,2,1,24.3899993896,0,12
2015-12-15,0.0104978065,0.0001750619,3438186664.83,17,5,22.7299995422,1,12
2015-12-16,0.0146320052,1.37525e-05,272931539.45,3,2,20.9500007629,2,12
2015-12-17,-0.0152381781,1.63048e-05,328319772.91,1,2,17.8600006104,3,12
2015-12-18,-0.0236258729,7.71484e-05,1529818908.15,6,4,18.9400005341,4,12
2015-12-21,0.0082491444,7.4778e-06,144778830.61,1,1,20.7000007629,0,12
2015-12-28,-0.0022850349,9.17777e-05,1827195441.2,9,5,15.7399997711,0,12
2015-12-29,0.0106719317,0.0001510654,3000678271.37,16,5,16.9099998474,1,12
2015-12-30,-0.0070877592,4.28556e-05,860344228.09,4,3,16.0799999237,2,12
2015-12-31,-0.0100033877,4.3632e-06,86971978.85,2,1,17.2900009155,3,12
2016-01-04,-0.0139794522,0.0001665308,3286274332.84,8,5,18.2099990845,0,1
2016-01-05,0.0016913557,6.21537e-05,1209379067.2,4,4,20.7000007629,1,1
2016-01-06,-0.0126141899,3.50327e-05,682814632.84,2,3,19.3400001526,2,1
2016-01-07,-0.0239915708,4.95932e-05,954416439.43,1,4,20.5900001526,3,1
2016-01-08,-0.0109765774,0.0001233175,2316296413.31,3,5,24.9899997711,4,1
2016-01-11,0.0009900086,5.9509e-06,110550528.6,2,1,27.0100002289,0,1
2016-01-12,0.0080683101,5.54074e-05,1030324209.35,1,4,24.2999992371,1,1
2016-01-14,0.0164168343,1.18098e-05,215859512.53,1,2,25.2199993134,3,1
2016-01-15,-0.0214661349,2.05745e-05,382232779.02,5,2,23.9500007629,4,1
2016-01-19,0.0013311325,4.3615e-06,79289074.85,1,1,27.0200004578,1,1
2016-01-20,-0.0128150787,6.0355e-05,1098665434.27,4,4,26.0499992371,2,1
2016-01-22,0.0205153023,8.94584e-05,1616582779.76,4,5,26.6900005341,4,1
2016-01-25,-0.0151165485,1.7544e-05,323537995.39,2,2,22.3400001526,0,1
2016-01-26,0.0136431335,2.3937e-06,43475261.52,1,1,24.1499996185,1,1
2016-01-27,-0.0108832392,2.22632e-05,409878083.09,1,3,22.5,2,1
2016-02-01,-0.0003613841,1.51331e-05,283765225.99,3,2,20.2000007629,0,2
2016-02-02,-0.0180221551,2.74854e-05,515198940.46,3,3,19.9799995422,1,2
2016-02-08,-0.0134610206,4.37135e-05,795268300.75,3,3,23.3799991608,0,2
2016-02-09,5.3902e-05,1.1981e-06,21502849.19,2,1,26.0,1,2
2016-02-11,-0.0130080618,0.0001047175,1877933759.3,1,5,26.2900009155,3,2
2016-02-12,0.0206168887,9.461e-06,167460521.02,2,2,28.1399993896,4,2
2016-02-16,0.0168782822,3.32518e-05,600693402.36,5,3,25.3999996185,1,2
2016-02-19,-0.0004685113,4.07156e-05,757043871.61,3,3,21.6399993896,4,2
2016-02-22,0.0144791603,5.91604e-05,1099482140.32,6,4,20.5300006866,0,2
2016-02-23,-0.0126295896,5.188e-05,978137411.5,4,4,19.3799991608,1,2
2016-02-26,-0.0023013039,8.27746e-05,1566710141.48,7,4,19.1100006104,4,2
2016-02-29,-0.0078425281,0.0001145674,2163475634.52,11,5,19.8099994659,0,2
2016-03-01,0.023506939,0.0001607464,3011706318.19,10,5,20.5499992371,1,3
2016-03-02,0.0044924506,2.6898e-06,51580814.14,1,1,17.7000007629,2,3
2016-03-03,0.0039195919,1.12975e-05,217615932.43,3,2,17.0900001526,3,3
2016-03-07,0.000798302,5.83771e-05,1132559944.0,6,4,16.8600006104,0,3
2016-03-08,-0.0109178049,0.0001444945,2805540564.93,6,5,17.3500003815,1,3
2016-03-10,0.0008024295,0.0001743995,3365757372.03,5,5,18.3400001526,3,3
2016-03-11,0.016137122,9.9959e-06,193067341.76,2,2,18.0499992371,4,3
2016-03-14,-0.0012822771,0.0001119757,2197666598.13,12,5,16.5,0,3
2016-03-15,-0.0016296387,8.38784e-05,1644110234.32,13,4,16.9200000763,1,3
2016-03-16,0.0057871998,4.5488e-06,89016237.71,1,1,16.8400001526,2,3
2016-03-17,0.0063440964,2.14665e-05,422512667.71,2,3,14.9899997711,3,3
2016-03-18,-0.0012217172,3.1791e-05,629694543.86,6,3,14.4399995804,4,3
2016-03-21,0.0014188926,8.21606e-05,1625391687.37,9,4,14.0200004578,0,3
2016-03-22,-0.0005374535,1.10927e-05,219759636.46,1,2,13.7899999619,1,3
2016-03-23,-0.006599486,3.86852e-05,765986851.7,3,3,14.1700000763,2,3
2016-03-28,0.0005908349,8.48584e-05,1668411547.8,8,4,14.7399997711,0,3
2016-03-29,0.0092500963,0.0002358309,4639441879.54,14,5,15.2399997711,1,3
2016-03-30,0.0043877202,3.46217e-05,687403724.31,4,3,13.8199996948,2,3
2016-03-31,-0.0024269488,6.72875e-05,1341836236.13,5,4,13.5600004196,3,3
2016-04-01,0.0068119593,4.80718e-05,956313117.83,8,4,13.9499998093,4,4
2016-04-04,-0.0032379575,9.15066e-05,1832781115.77,4,5,13.1000003815,0,4
2016-04-05,-0.009987867,5.90751e-05,1179381841.67,2,4,14.1199998856,1,4
2016-04-06,0.0109211798,1.8491e-06,36547229.82,1,1,15.4200000763,2,4
2016-04-08,0.0026967544,1.0284e-06,20302072.57,1,1,16.1599998474,4,4
2016-04-11,-0.0023471674,2.6959e-06,53365112.67,1,1,15.3599996567,0,4
2016-04-13,0.0101010191,5.3931e-06,107496042.85,2,1,14.8500003815,2,4
2016-04-14,4.80505e-05,1.07214e-05,215859512.53,1,2,13.8400001526,3,4
2016-04-15,-0.0011056956,1.96667e-05,395978082.11,5,2,13.720000267,4,4
2016-04-18,0.0070266952,9.2215e-06,185464460.25,3,2,13.6199998856,0,4
2016-04-19,0.0031542171,1.00265e-05,203071164.27,2,2,13.3500003815,1,4
2016-04-20,0.0009528929,1.19431e-05,242652822.52,2,2,13.2399997711,2,4
2016-04-22,0.0,6.311e-05,1276551251.93,4,4,13.9499998093,4,4
2016-04-25,-0.0017227382,2.23538e-05,452158427.3,4,3,13.220000267,0,4
2016-04-26,0.0014860148,1.17747e-05,237760499.16,1,2,14.0799999237,1,4
2016-04-27,0.0020582421,7.50352e-05,1517402912.61,3,4,13.9600000381,2,4
2016-05-02,0.0079484291,9.78963e-05,1955169412.08,5,5,15.6999998093,0,5
2016-05-06,0.003659072,1.28481e-05,254908869.95,3,2,15.9099998474,4,5
2016-05-09,0.000826357,1.76956e-05,352369532.1,1,2,14.720000267,0,5
2016-05-12,0.0002905451,0.0001029855,2058504313.07,1,5,14.6899995804,3,5
2016-05-13,-0.0087141899,1.40721e-05,281358853.8,3,2,14.4099998474,4,5
2016-05-16,0.0098652292,9.0343e-05,1790587686.79,12,5,15.0399999619,0,5
2016-05-17,-0.0093335559,1.53408e-05,307052433.11,2,2,14.6800003052,1,5
2016-05-20,0.0063173779,1.47671e-05,291881389.5,3,2,16.3299999237,4,5
2016-05-23,-0.0013625907,5.24982e-05,1044217342.82,8,4,15.1999998093,0,5
2016-05-24,0.0129622743,0.0001185193,2354200558.04,8,5,15.8199996948,1,5
2016-05-26,0.0002866856,2.5463e-06,51580814.14,1,1,13.8999996185,3,5
2016-05-27,0.0042992699,7.3539e-06,149013868.14,3,1,13.4300003052,4,5
2016-05-31,-0.001902631,2.5271e-05,514272796.87,1,3,13.1199998856,1,5
2016-06-01,0.0020492182,7.73137e-05,1570365320.8,4,4,14.1899995804,2,6
2016-06-02,0.0030437027,2.1257e-06,43264247.15,1,1,14.1999998093,3,6
2016-06-03,-0.0029870792,5.35316e-05,1092856189.4,6,4,13.6300001144,4,6
2016-06-06,0.0050884884,8.01436e-05,1631258608.14,5,4,13.470000267,0,6
2016-06-07,0.0015613275,0.0001396153,2856216529.78,6,5,13.6499996185,1,6
2016-06-08,0.0032596488,2.61279e-05,535353225.92,1,3,14.0500001907,2,6
2016-06-09,-0.0013655097,0.000128764,2646935677.5,1,5,14.0799999237,3,6
2016-06-10,-0.0094775297,5.47627e-05,1124191296.01,11,4,14.6400003433,4,6
2016-06-13,-0.0077117643,7.25605e-05,1475436241.05,11,4,17.0300006866,0,6
2016-06-14,-0.0019669161,0.000110535,2230271604.31,18,5,20.9699993134,1,6
2016-06-15,-0.0013939305,1.40323e-05,282573605.16,2,2,20.5,2,6
2016-06-16,0.0029843327,5.2576e-06,105725840.8,2,1,20.1399993896,3,6
2016-06-17,-0.0088783937,1.7075e-05,344391370.19,1,2,19.3700008392,4,6
2016-06-20,0.006440063,0.000104583,2090638363.24,10,5,19.4099998474,0,6
2016-06-22,-0.0016311473,3.08923e-05,623285824.01,2,3,18.4799995422,2,6
2016-06-24,-0.0359090752,2.7151e-05,554029178.98,8,3,17.25,4,6
2016-06-27,-0.0179098568,4.71298e-05,927172232.93,4,4,25.7600002289,0,6
2016-06-28,0.0180360257,5.191e-06,100292921.46,2,1,23.8500003815,1,6
2016-06-29,0.0170275924,3.73008e-05,733664803.09,3,3,18.75,2,6
2016-06-30,0.0136455628,7.19627e-05,1439527037.33,6,4,16.6399993896,3,6
2016-07-01,0.0021004509,0.0002604967,5282027895.57,20,5,15.6300001144,4,7
2016-07-05,-0.0071931904,2.3938e-05,486404540.39,3,3,14.7700004578,1,7
2016-07-07,-0.0006200748,3.51622e-05,713586924.17,1,3,14.9600000381,3,7
2016-07-08,0.0148904459,2.69625e-05,546843140.39,2,3,14.7600002289,4,7
2016-07-11,0.0035269223,2.60697e-05,536609138.89,2,3,13.1999998093,0,7
2016-07-12,0.0072633697,2.5912e-06,53524081.3,1,1,13.5399999619,1,7
2016-07-14,0.0055834588,1.13521e-05,236161585.1,2,2,13.0399999619,3,7
2016-07-15,-0.0013418161,1.89287e-05,395978082.11,5,2,12.8199996948,4,7
2016-07-18,0.0026873087,5.3826e-06,112450764.25,2,1,12.6700000763,0,7
2016-07-19,-0.0010165945,9.0573e-05,1897283271.76,4,5,12.4399995804,1,7
2016-07-20,0.0041629765,1.15956e-05,242652822.52,2,2,11.970000267,2,7
2016-07-22,0.0044851399,1.3857e-06,29007472.71,1,1,12.7399997711,4,7
2016-07-25,-0.0027159436,8.77496e-05,1845188837.22,6,4,12.0200004578,0,7
2016-07-27,-0.0010611106,7.24196e-05,1519396053.01,3,4,13.0500001907,2,7
2016-08-01,-0.0008290009,1.42543e-05,299572415.49,3,2,11.8699998856,0,8
2016-08-05,0.0081788687,2.65011e-05,555132020.92,4,3,12.4200000763,4,8
2016-08-08,-0.0005957908,1.46072e-05,308487150.26,1,2,11.3900003433,0,8
2016-08-11,0.0046406658,9.77141e-05,2058504313.07,1,5,12.0500001907,3,8
2016-08-12,-0.0008689101,4.5202e-06,95666973.08,1,1,11.6800003052,4,8
2016-08-15,0.0028837755,8.94262e-05,1891005367.78,13,5,11.5500001907,0,8
2016-08-16,-0.0051576505,1.51002e-05,320228307.02,2,2,11.8100004196,1,8
2016-08-19,-0.0014621554,1.37779e-05,291881389.5,3,2,11.4300003052,4,8
2016-08-22,-4.57331e-05,7.8252e-05,1655319982.72,10,4,11.3400001526,0,8
2016-08-23,0.0020134647,3.642e-05,770383622.65,4,3,12.2700004578,1,8
2016-08-25,-0.0006885892,1.00389e-05,211690488.55,2,2,13.4499998093,3,8
2016-08-26,-0.0018833425,8.00713e-05,1687295858.57,6,4,13.6300001144,4,8
2016-08-29,0.0049243286,7.73424e-05,1626722236.93,10,4,13.6499996185,0,8
2016-08-30,-0.0016486564,5.3777e-05,1136646080.82,4,4,12.9399995804,1,8
2016-08-31,-0.0028440143,4.3059e-06,90859904.36,1,1,13.1199998856,2,8
2016-09-01,4.59771e-05,6.91629e-05,1455286522.13,2,4,13.4200000763,3,9
2016-09-02,0.0045080074,6.53319e-05,1374741170.1,6,4,13.4799995422,4,9
2016-09-06,0.00302241,0.0001737007,3671557823.89,6,5,11.9799995422,1,9
2016-09-07,-9.13312e-05,9.6185e-06,203923380.28,1,2,12.0200004578,2,9
2016-09-08,-0.0022830008,0.0001501135,3182288903.43,2,5,11.9399995804,3,9
2016-09-09,-0.0239348124,3.96952e-05,839585515.95,5,3,12.5100002289,4,9
2016-09-12,0.0143473255,1.24823e-05,257691014.25,5,2,17.5,0,9
2016-09-13,-0.0143755231,2.29064e-05,479677866.19,2,3,15.1599998474,1,9
