"Date","    Issuance, IPO","    Issuance, SEO"
"2021-10-31"," 7.64"," 2.51"
"2021-11-30","16.20"," 7.06"
"2021-12-31"," 2.23"," 1.63"
"2022-01-31"," 0.56"," 1.39"
"2022-02-28"," 0.24"," 0.60"
"2022-03-31"," 0.10"," 2.16"
"2022-04-30"," 0.70"," 2.00"
"2022-05-31"," 0.49"," 0.92"
"2022-06-30"," 0.02"," 0.67"
"2022-07-31"," 0.02"," 2.29"
"2022-08-31"," 0.07"," 4.33"
"2022-09-30"," 0.27"," 2.97"
"2022-10-31"," 1.19"," 3.37"
"2022-11-30"," 0.13"," 4.50"
"2022-12-31"," 0.07"," 3.14"
"2023-01-31"," 0.13"," 2.03"
"2023-02-28"," 1.07"," 3.72"
"2023-03-31"," 0.33"," 3.34"
"2023-04-30"," 0.03"," 1.11"
"2023-05-31"," 5.33"," 3.89"
"2023-06-30"," 0.84"," 4.31"
"2023-07-31"," 0.54"," 2.96"
"2023-08-31"," 0.06"," 3.05"
"2023-09-30"," 1.42"," 4.02"
"2023-10-31"," 0.21"," 2.44"
"2023-11-30"," 0.47"," 4.78"
"2023-12-31"," 0.01"," 1.99"
"2024-01-31"," 1.34"," 4.79"
"2024-02-29"," 0.76"," 5.89"
"2024-03-31"," 1.44"," 8.05"
"2024-04-30"," 3.16"," 2.38"
"2024-05-31"," 0.38"," 7.58"
"2024-06-30"," 1.99"," 4.86"
"2024-07-31"," 1.82"," 2.67"
"2024-08-31"," 0.03"," 2.59"
"2024-09-30"," 1.19"," 8.23"
"2024-10-31"," 2.76","24.05"
"2024-11-30"," 0.04","13.15"
"2024-12-31"," 0.83","11.98"
"2025-01-31"," 3.25"," 4.74"
"2025-02-28"," 1.91"," 5.08"
"2025-03-31"," 1.88"," 7.60"
"2025-04-30"," 0.02"," 1.12"
"2025-05-31"," 0.51"," 5.96"
"2025-06-30"," 1.89"," 8.14"
"2025-07-31"," 2.38"," 5.52"
"2025-08-31"," 1.63"," 5.36"
"2025-09-30"," 6.05"," 5.26"
"2025-10-31"," 1.86"," 9.34"
"2025-11-30"," 1.77","25.36"
"2025-12-31"," 8.42","18.40"
"2026-01-31"," 2.02"," 6.62"
"2026-02-28"," 3.41"," 9.79"
"2026-03-31"," 0.86","15.47"
