date,FU564090005.Q,FU564022005.Q,FU563061103.Q,FU563062003.Q,FU563063003.Q,FU563064100.Q,FU563034003.Q,FU563093003.Q,FU564090005.Q,FU564091600.Q,FU564092603.Q,FU564091703.Q,FU564091403.Q,FU564091303.Q,FU564091203.Q
1969:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1993:Q1,131,0,0,0,0,131,0,0,131,ND,ND,0,ND,ND,ND
1993:Q2,144,0,0,0,0,144,0,0,144,ND,ND,0,ND,ND,ND
1993:Q3,6,0,0,0,0,6,0,0,6,ND,ND,0,ND,ND,ND
1993:Q4,169,0,0,0,0,169,0,0,169,ND,ND,0,ND,ND,ND
1994:Q1,217,0,0,0,0,217,0,0,217,ND,ND,0,ND,ND,ND
1994:Q2,-266,0,0,0,0,-266,0,0,-266,ND,ND,0,ND,ND,ND
1994:Q3,-87,0,0,0,0,-87,0,0,-87,ND,ND,0,ND,ND,ND
1994:Q4,108,0,0,0,0,108,0,0,108,ND,ND,0,ND,ND,ND
1995:Q1,-16,0,0,0,0,-16,0,0,-16,ND,ND,0,ND,ND,ND
1995:Q2,141,0,0,0,0,141,0,0,141,ND,ND,0,ND,ND,ND
1995:Q3,78,0,0,0,0,78,0,0,78,ND,ND,0,ND,ND,ND
1995:Q4,238,0,0,0,0,238,0,0,238,ND,ND,0,ND,ND,ND
1996:Q1,247,0,0,0,0,247,0,0,247,ND,ND,0,ND,ND,ND
1996:Q2,150,0,0,0,0,150,0,0,150,ND,ND,0,ND,ND,ND
1996:Q3,143,0,0,0,0,143,0,0,143,ND,ND,0,ND,ND,ND
1996:Q4,550,0,0,0,0,550,0,0,550,ND,ND,0,ND,ND,ND
1997:Q1,313,0,0,0,0,313,0,0,313,ND,ND,0,ND,ND,ND
1997:Q2,408,0,0,0,0,408,0,0,408,ND,ND,0,ND,ND,ND
1997:Q3,1037,0,0,0,0,1037,0,0,1037,ND,ND,0,ND,ND,ND
1997:Q4,1682,0,0,0,0,1682,0,0,1682,ND,ND,0,ND,ND,ND
1998:Q1,574,0,0,0,0,574,0,0,574,ND,ND,0,ND,ND,ND
1998:Q2,860,0,0,0,0,860,0,0,860,ND,ND,0,ND,ND,ND
1998:Q3,1530,0,0,0,0,1530,0,0,1530,ND,ND,0,ND,ND,ND
1998:Q4,3060,0,0,0,0,3060,0,0,3060,ND,ND,0,ND,ND,ND
1999:Q1,305,0,0,0,0,305,0,0,305,ND,ND,0,ND,ND,ND
1999:Q2,2565,0,0,0,0,2565,0,0,2565,ND,ND,0,ND,ND,ND
1999:Q3,1416,0,0,0,0,1416,0,0,1416,ND,ND,0,ND,ND,ND
1999:Q4,7876,0,0,0,0,7876,0,0,7876,ND,ND,0,ND,ND,ND
2000:Q1,522,0,0,0,0,522,0,0,522,ND,ND,0,ND,ND,ND
2000:Q2,11578,0,0,0,0,11578,0,0,11578,ND,ND,0,ND,ND,ND
2000:Q3,3519,0,0,0,0,3519,0,0,3519,ND,ND,0,ND,ND,ND
2000:Q4,26792,0,0,0,0,26792,0,0,26792,ND,ND,0,ND,ND,ND
2001:Q1,14470,0,0,0,0,14470,0,0,14470,ND,ND,0,ND,ND,ND
2001:Q2,2828,0,0,0,0,2828,0,0,2828,ND,ND,0,ND,ND,ND
2001:Q3,6983,0,0,0,0,6983,0,0,6983,ND,ND,0,ND,ND,ND
2001:Q4,6732,0,0,0,0,6732,0,0,6732,0,0,0,0,0,0
2002:Q1,6010,0,0,0,0,6010,0,0,6010,5277,733,0,0,0,0
2002:Q2,16306,0,0,0,0,16306,0,0,16306,12563,3744,0,0,0,0
2002:Q3,10799,3747,2099,0,1648,7052,0,0,10799,8584,-1531,0,0,3747,0
2002:Q4,12187,-17,-122,0,105,12204,0,0,12187,11357,847,0,0,-17,0
2003:Q1,1512,-287,-450,0,163,1799,0,0,1512,1614,185,0,0,-287,0
2003:Q2,3747,104,-260,0,364,3643,0,0,3747,2577,1066,0,0,104,0
2003:Q3,-6014,393,494,0,-101,-6407,0,0,-6014,-7740,1333,0,0,393,0
2003:Q4,16564,511,307,0,204,16053,0,0,16564,12873,3180,0,0,511,0
2004:Q1,7521,1282,899,0,383,6239,0,0,7521,1304,4935,0,0,1282,0
2004:Q2,15192,886,743,0,143,14306,0,0,15192,11546,2760,0,0,886,0
2004:Q3,6763,562,367,0,195,6201,0,0,6763,4520,1681,0,0,562,0
2004:Q4,26898,1049,804,0,245,24496,0,1353,26898,18228,6269,1353,0,1049,0
2005:Q1,10155,2926,2333,0,593,5989,0,1240,10155,1751,4238,1240,0,2926,0
2005:Q2,10176,865,524,0,341,9282,0,29,10176,6422,2860,29,0,865,0
2005:Q3,3646,1766,1128,0,638,1377,0,503,3646,-4989,6367,503,0,1766,0
2005:Q4,32754,1201,835,0,366,30466,0,1087,32754,20477,9990,1087,0,1201,0
2006:Q1,9957,752,344,0,408,6862,0,2343,9957,-2484,9346,2343,0,752,0
2006:Q2,24596,2283,1768,0,515,19908,0,2405,24596,16214,3694,2405,0,2283,0
2006:Q3,5348,708,276,0,432,3570,0,1070,5348,837,2733,1070,0,708,0
2006:Q4,34095,1987,983,0,1004,29451,0,2657,34095,16801,12650,2657,0,1987,0
2007:Q1,14342,1706,811,0,895,10622,0,2014,14342,4696,5926,2014,0,1706,0
2007:Q2,17366,3903,2176,0,1727,13161,0,302,17366,1820,11341,302,0,3903,0
2007:Q3,48118,2761,1458,0,1303,41605,0,3752,48118,32919,8686,3752,0,2761,0
2007:Q4,70782,4991,2719,0,2272,62799,0,2992,70782,39834,22887,2992,122,4947,0
2008:Q1,8844,4898,1383,503,3012,213,0,3733,8844,1542,-1351,3733,34,4383,503
2008:Q2,13687,5637,1572,438,3627,4766,0,3284,13687,2237,2508,3284,33,5187,438
2008:Q3,81494,6905,3981,249,2675,72605,0,1984,81494,64544,8064,1984,-5,6658,249
2008:Q4,73195,5534,466,491,4577,66094,0,1567,73195,50079,16018,1567,-4,5044,491
2009:Q1,-2473,12030,4605,814,6611,-29091,0,14588,-2473,-28991,-102,14588,3,11214,814
2009:Q2,38152,11476,3927,896,6653,21654,0,5022,38152,5934,15714,5022,11,10576,896
2009:Q3,27115,11003,3051,1105,6847,14273,0,1839,27115,8368,5900,1839,8,9895,1105
2009:Q4,53672,11454,3111,815,7528,35257,0,6961,53672,17175,18086,6961,-6,10642,815
2010:Q1,7008,10306,4593,654,5059,-1135,0,-2163,7008,-2849,1694,-2163,31,9640,653
2010:Q2,30931,11373,5552,721,5100,11864,0,7694,30931,2229,9604,7694,50,10633,721
2010:Q3,33351,8817,-186,561,8442,24603,0,-69,33351,10110,14463,-69,48,8238,561
2010:Q4,46695,3278,817,44,2417,44458,-3230,2189,46695,29011,15770,2693,15,-601,-193
2011:Q1,23599,7239,1723,-157,5673,15003,316,1041,23599,10208,4660,1303,12,7565,-149
2011:Q2,29232,10682,3817,254,6611,19445,127,-1022,29232,7956,11365,-1032,34,10644,265
2011:Q3,20914,13118,4471,103,8544,5334,178,2284,20914,3140,2284,2415,37,12939,99
2011:Q4,43904,14565,1238,801,12526,28883,135,321,43904,23028,5943,261,-10,13876,806
2012:Q1,53180,16124,-429,1044,15509,33553,636,2867,53180,20686,13046,3161,38,15198,1052
2012:Q2,25029,18265,5251,814,12200,7409,-81,-564,25029,9165,-1716,-876,36,17598,823
2012:Q3,51829,7508,-4495,728,11275,40092,670,3559,51829,26702,13242,4231,77,6844,734
2012:Q4,55358,9742,766,989,7987,42077,945,2594,55358,15469,27347,2374,96,9061,1010
2013:Q1,52250,7195,-658,718,7135,51756,-975,-5726,52250,32500,18556,-6162,324,6317,716
2013:Q2,15384,3926,1398,-428,2956,26718,-1950,-13310,15384,26445,105,-14774,328,3741,-461
2013:Q3,53739,4862,-30,-983,5875,51312,-554,-1881,53739,28733,22330,-1732,91,5328,-1012
2013:Q4,58597,-2478,-6734,-72,4328,67832,-45,-6712,58597,46240,21887,-7201,104,-2366,-69
2014:Q1,14572,10895,2170,361,8364,3689,20,-32,14572,418,2926,100,187,10576,365
2014:Q2,57708,12307,3816,772,7719,46446,-116,-929,57708,24158,22054,-911,348,11295,765
2014:Q3,48847,6376,1443,835,4098,42486,-189,174,48847,25487,16684,-78,647,5276,830
2014:Q4,119710,21969,5796,1204,14969,98128,-34,-353,119710,92551,5347,-534,446,20694,1206
2015:Q1,55565,19108,3024,1382,14702,32014,31,4412,55565,-10326,41663,4548,397,17886,1397
2015:Q2,41485,1949,626,547,776,40955,771,-2190,41485,-6032,47507,-2291,395,1355,551
2015:Q3,43163,21343,14589,507,6247,21849,354,-383,43163,22294,-279,-589,218,21000,518
2015:Q4,90777,12487,-4061,1493,15055,78783,-1078,585,90777,57011,20951,450,101,10778,1486
2016:Q1,34625,31495,10150,1794,19551,-7349,1230,9249,34625,-1052,-5829,9822,119,29766,1799
2016:Q2,30829,9160,-1287,1317,9130,9423,5647,6599,30829,9191,-713,7119,369,13210,1653
2016:Q3,91364,22389,699,1475,20215,62230,4779,1966,91364,56052,8883,1997,313,22542,1577
2016:Q4,127231,13022,3073,1261,8688,121743,-860,-6674,127231,103103,18070,-7259,288,11759,1270
2017:Q1,133970,33632,8898,623,24111,97207,2565,566,133970,58894,38969,699,551,34184,674
2017:Q2,112009,33046,5695,1482,25869,76291,654,2018,112009,20183,56207,2027,587,31521,1484
2017:Q3,87288,31972,9036,1245,21691,54792,35,489,87288,27543,26638,594,636,30638,1240
2017:Q4,137694,19422,2944,1784,14694,118413,1576,-1717,137694,78690,38641,-1719,726,19439,1917
2018:Q1,62872,17174,10272,799,6103,43303,-799,3194,62872,3171,39973,3304,712,14987,725
2018:Q2,55866,35592,16885,2258,16449,25080,-4643,-163,55866,34199,-9114,-273,338,28715,2003
2018:Q3,87268,20851,6746,485,13620,61354,7797,-2734,87268,62601,5262,-2957,417,21402,541
2018:Q4,105040,27949,24807,3175,-33,74488,1077,1526,105040,38675,34430,1626,230,26749,3329
2019:Q1,45742,33356,9106,1136,23114,10998,1142,246,45742,5203,5901,323,692,32482,1142
2019:Q2,65444,37121,17508,2328,17285,24122,4354,-153,65444,24633,929,-11,1614,35864,2416
2019:Q3,84838,34518,9126,2855,22537,40775,729,8816,84838,50103,-12287,9326,1879,32846,2971
2019:Q4,126533,37612,6861,3803,26948,90123,104,-1306,126533,52206,35693,-1273,1357,34638,3911
2020:Q1,72471,11058,19954,980,-9876,49334,896,11183,72471,49918,-182,11547,623,9611,955
2020:Q2,133589,78014,5898,3594,68522,26997,6196,22382,133589,38973,-14611,23735,412,81104,3976
2020:Q3,112264,54224,3624,3619,46981,46817,-1782,13005,112264,18763,22417,13967,1181,52192,3744
2020:Q4,182566,51776,2550,5517,43709,137022,-755,-5477,182566,81449,54853,-5541,2022,44295,5488
2021:Q1,247915,45027,11398,5308,28321,209418,-2338,-4192,247915,131711,77981,-4891,-177,38011,5280
2021:Q2,247947,62109,15707,5976,40426,179324,1905,4609,247947,125992,52353,5096,2279,56176,6051
2021:Q3,180369,44189,12774,4600,26815,133319,6951,-4090,180369,92370,40961,-4389,2637,43816,4975
2021:Q4,259244,51353,26642,4675,20036,209581,-1724,34,259244,169015,39495,84,1690,44377,4582
2022:Q1,196261,27488,17726,4704,5058,154605,-3128,17296,196261,113488,41010,18642,-880,19508,4493
2022:Q2,117049,53685,41119,9337,3229,71960,-5943,-2653,117049,49995,21641,-3224,-1019,40503,9152
2022:Q3,100797,53072,36474,257,16341,55361,3206,-10842,100797,55936,2195,-11753,-336,54431,324
2022:Q4,195162,71981,20234,14965,36782,134137,-5315,-5641,195162,97756,35446,-5561,-844,53538,14827
2023:Q1,84090,50009,41466,-672,9215,29269,4819,-7,84090,323,28952,216,-184,55144,-362
2023:Q2,134931,49951,16512,2558,30881,87148,-1305,-863,134931,69386,20380,-1126,487,43574,2229
2023:Q3,108856,39223,26457,4669,8097,72406,3785,-6558,108856,69264,7987,-6850,563,33306,4586
2023:Q4,269636,64340,14113,8258,41969,211351,-5362,-693,269636,180018,26015,-457,1052,54786,8221
2024:Q1,226474,50402,8448,608,41346,180517,-583,-3862,226474,151084,27103,-3692,1788,49595,596
2024:Q2,197305,67438,23043,2531,41864,125532,3857,478,197305,100897,25241,805,345,67304,2715
2024:Q3,299589,97967,27259,6696,64012,191861,5075,4686,299589,179871,12928,5444,1037,93445,6865
2024:Q4,421475,78957,13271,7265,58421,342442,-2427,2503,421475,310789,31846,2547,1447,67833,7013
2025:Q1,298511,102077,36476,5550,60051,181965,3291,11178,298511,148699,31011,12744,2225,98157,5675
2025:Q2,244143,85054,33409,8694,42951,150106,741,8242,244143,97218,51334,9054,1385,76415,8737
2025:Q3,366028,113919,34572,10267,69080,223856,11066,17187,366028,161000,64558,19453,4463,105966,10589
2025:Q4,559268,134526,35797,21025,77704,402491,5555,16696,559268,300890,101171,19029,309,116431,21439
2026:Q1,447613,176566,75553,16237,84776,268973,1572,502,447613,122453,146811,1476,2018,158698,16157
2026:Q2,543408,152230,30318,17716,104196,393132,2613,-4567,543408,319649,71924,-6745,7249,133442,17890
