date,LM564090005.Q,LM564022005.Q,LM563061103.Q,LM563062003.Q,LM563063003.Q,FL563034003.Q,LM563064100.Q,LM563093003.Q,LM564090005.Q,LM564091600.Q,LM564092603.Q,LM564091703.Q,LM564091403.Q,LM564091303.Q,LM564091203.Q
1958:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1959:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1960:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1961:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1962:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1963:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1964:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1965:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1966:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1967:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1968:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1969:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1969:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1969:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1969:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1970:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1971:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1972:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1973:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1974:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1975:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1976:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1977:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1978:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1979:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1980:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1981:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1982:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1983:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1984:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1985:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1986:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1987:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1988:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1989:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1990:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1991:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q1,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q2,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q3,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1992:Q4,0,0,0,0,0,0,0,0,0,ND,ND,0,ND,ND,ND
1993:Q1,133,0,0,0,0,0,133,0,133,ND,ND,0,ND,ND,ND
1993:Q2,277,0,0,0,0,0,277,0,277,ND,ND,0,ND,ND,ND
1993:Q3,290,0,0,0,0,0,290,0,290,ND,ND,0,ND,ND,ND
1993:Q4,464,0,0,0,0,0,464,0,464,ND,ND,0,ND,ND,ND
1994:Q1,655,0,0,0,0,0,655,0,655,ND,ND,0,ND,ND,ND
1994:Q2,392,0,0,0,0,0,392,0,392,ND,ND,0,ND,ND,ND
1994:Q3,322,0,0,0,0,0,322,0,322,ND,ND,0,ND,ND,ND
1994:Q4,424,0,0,0,0,0,424,0,424,ND,ND,0,ND,ND,ND
1995:Q1,450,0,0,0,0,0,450,0,450,ND,ND,0,ND,ND,ND
1995:Q2,643,0,0,0,0,0,643,0,643,ND,ND,0,ND,ND,ND
1995:Q3,774,0,0,0,0,0,774,0,774,ND,ND,0,ND,ND,ND
1995:Q4,1052,0,0,0,0,0,1052,0,1052,ND,ND,0,ND,ND,ND
1996:Q1,1359,0,0,0,0,0,1359,0,1359,ND,ND,0,ND,ND,ND
1996:Q2,1560,0,0,0,0,0,1560,0,1560,ND,ND,0,ND,ND,ND
1996:Q3,1739,0,0,0,0,0,1739,0,1739,ND,ND,0,ND,ND,ND
1996:Q4,2401,0,0,0,0,0,2401,0,2401,ND,ND,0,ND,ND,ND
1997:Q1,2751,0,0,0,0,0,2751,0,2751,ND,ND,0,ND,ND,ND
1997:Q2,3636,0,0,0,0,0,3636,0,3636,ND,ND,0,ND,ND,ND
1997:Q3,4941,0,0,0,0,0,4941,0,4941,ND,ND,0,ND,ND,ND
1997:Q4,6702,0,0,0,0,0,6702,0,6702,ND,ND,0,ND,ND,ND
1998:Q1,8213,0,0,0,0,0,8213,0,8213,ND,ND,0,ND,ND,ND
1998:Q2,9215,0,0,0,0,0,9215,0,9215,ND,ND,0,ND,ND,ND
1998:Q3,9799,0,0,0,0,0,9799,0,9799,ND,ND,0,ND,ND,ND
1998:Q4,15564,0,0,0,0,0,15564,0,15564,ND,ND,0,ND,ND,ND
1999:Q1,16415,0,0,0,0,0,16415,0,16415,ND,ND,0,ND,ND,ND
1999:Q2,20625,0,0,0,0,0,20625,0,20625,ND,ND,0,ND,ND,ND
1999:Q3,21063,0,0,0,0,0,21063,0,21063,ND,ND,0,ND,ND,ND
1999:Q4,33862,0,0,0,0,0,33862,0,33862,ND,ND,0,ND,ND,ND
2000:Q1,36793,0,0,0,0,0,36793,0,36793,ND,ND,0,ND,ND,ND
2000:Q2,46090,0,0,0,0,0,46090,0,46090,ND,ND,0,ND,ND,ND
2000:Q3,49702,0,0,0,0,0,49702,0,49702,ND,ND,0,ND,ND,ND
2000:Q4,65585,0,0,0,0,0,65585,0,65585,ND,ND,0,ND,ND,ND
2001:Q1,66006,0,0,0,0,0,66006,0,66006,ND,ND,0,ND,ND,ND
2001:Q2,75560,0,0,0,0,0,75560,0,75560,ND,ND,0,ND,ND,ND
2001:Q3,64345,0,0,0,0,0,64345,0,64345,ND,ND,0,ND,ND,ND
2001:Q4,82992,0,0,0,0,0,82992,0,82992,79976,3016,0,0,0,0
2002:Q1,88203,0,0,0,0,0,88203,0,88203,84344,3859,0,0,0,0
2002:Q2,88951,0,0,0,0,0,88951,0,88951,81694,7257,0,0,0,0
2002:Q3,82259,3933,2209,0,1724,0,78326,0,82259,74016,4310,0,0,3933,0
2002:Q4,102142,3914,2057,0,1857,0,98228,0,102142,92904,5324,0,0,3914,0
2003:Q1,100831,3669,1614,0,2055,0,97162,0,100831,92004,5157,0,0,3669,0
2003:Q2,121572,3868,1367,0,2501,0,117704,0,121572,109585,8119,0,0,3868,0
2003:Q3,119753,4206,1860,0,2346,0,115547,0,119753,106180,9367,0,0,4206,0
2003:Q4,150983,4667,2147,0,2520,0,146316,0,150983,132332,13984,0,0,4667,0
2004:Q1,161704,6088,3108,0,2980,0,155616,0,161704,135566,20050,0,0,6088,0
2004:Q2,178537,6709,3740,0,2969,0,171828,0,178537,149560,22268,0,0,6709,0
2004:Q3,181392,7460,4191,0,3269,0,173932,0,181392,150030,23902,0,0,7460,0
2004:Q4,227539,8515,5005,0,3510,0,217689,1335,227539,184045,33644,1335,0,8515,0
2005:Q1,231307,11316,7286,0,4030,0,217437,2554,231307,179705,37732,2554,0,11316,0
2005:Q2,245299,12421,7946,0,4475,0,230240,2638,245299,189511,40729,2638,0,12421,0
2005:Q3,262858,13955,8952,0,5003,0,245509,3394,262858,192683,52826,3394,0,13955,0
2005:Q4,300819,15003,9691,0,5312,0,281018,4798,300819,215807,65210,4798,0,15003,0
2006:Q1,329207,15478,9857,0,5621,0,305814,7915,329207,224927,80887,7915,0,15478,0
2006:Q2,345705,17565,11517,0,6048,0,317546,10594,345705,234592,82954,10594,0,17565,0
2006:Q3,361698,18703,12045,0,6658,0,331600,11395,361698,243247,88353,11395,0,18703,0
2006:Q4,422550,20515,12883,0,7632,0,387336,14699,422550,276142,111194,14699,0,20515,0
2007:Q1,444260,22407,13832,0,8575,0,404508,17345,444260,283992,120516,17345,0,22407,0
2007:Q2,485926,25901,15794,0,10107,0,442671,17354,485926,300179,142492,17354,0,25901,0
2007:Q3,551101,29200,17664,0,11536,0,498523,23378,551101,337050,161473,23378,0,29201,0
2007:Q4,608422,34692,20789,0,13903,0,544824,28906,608422,365047,179702,28906,119,34648,0
2008:Q1,571108,40445,22318,1063,17064,0,494644,36019,571108,333205,161347,36019,146,39329,1062
2008:Q2,578066,45154,23387,1497,20270,0,492137,40775,578066,330210,161818,40775,176,43591,1497
2008:Q3,579509,50696,27033,1673,21990,0,491252,37561,579509,362734,128421,37561,158,48963,1672
2008:Q4,531286,57262,27785,2183,27294,0,438296,35728,531286,324534,113683,35728,132,55026,2183
2009:Q1,482019,69103,32941,3061,33101,0,361664,51252,482019,256487,105103,51252,126,65990,3060
2009:Q2,590338,82387,36921,3972,41494,0,449471,58480,590338,300328,149055,58480,150,78354,3971
2009:Q3,693376,95771,39843,5287,50641,0,534875,62730,693376,351991,182779,62730,170,90420,5287
2009:Q4,777128,107082,43267,6009,57806,0,595518,74528,777128,386098,209315,74528,169,101010,6008
2010:Q1,805364,118006,47878,6675,63453,0,615882,71476,805364,403085,212668,71476,206,111254,6674
2010:Q2,772206,129569,52999,7463,69107,0,558690,83947,772206,361286,197261,83947,236,122015,7462
2010:Q3,882745,141070,52991,8176,79903,0,653200,88475,882745,406901,246106,88475,308,132780,8175
2010:Q4,991989,137680,52070,7573,78037,4764,752507,97038,991989,476183,276621,101081,322,130198,7583
2011:Q1,1055034,145553,54049,7410,84094,5080,801067,103334,1055034,514341,286878,107640,342,138405,7428
2011:Q2,1077345,157176,57891,7859,91426,5207,811856,103106,1077345,519467,292415,107402,379,149794,7889
2011:Q3,951457,167881,60915,8203,98763,5385,671938,106253,951457,439774,232325,110680,361,160087,8229
2011:Q4,1048141,183675,62397,9035,112243,5520,754137,104809,1048141,509250,245116,109176,377,175156,9066
2012:Q1,1193177,201949,62156,10164,129629,6156,873197,111875,1193177,587522,286070,116536,434,192411,10204
2012:Q2,1166660,221205,67485,11102,142618,6075,835004,104376,1166660,577682,257765,108725,463,210875,11150
2012:Q3,1281125,232560,63442,11981,157137,6745,921316,120504,1281125,632405,289188,125525,563,221410,12034
2012:Q4,1337122,241989,64042,12893,165054,7690,972228,115215,1337122,644705,328543,120016,656,230236,12967
2013:Q1,1446268,248340,63292,13589,171459,6715,1086464,104749,1446268,740184,346572,109114,1004,235733,13661
2013:Q2,1417649,243675,62675,12628,168372,4765,1099591,69618,1417649,778718,321020,72519,1280,231445,12667
2013:Q3,1541948,249082,62798,11485,174799,4211,1215450,73205,1541948,847442,367916,76255,1349,237490,11496
2013:Q4,1674713,245909,55716,11348,178845,4166,1363158,61480,1674713,964411,398929,64042,1469,234501,11362
2014:Q1,1710738,259018,57484,11939,189595,4186,1382876,64658,1710738,981370,401314,67352,1694,247051,11956
2014:Q2,1831962,274056,61570,12895,199591,4070,1488754,65082,1831962,1048034,440257,67794,2108,260865,12904
2014:Q3,1831035,276772,62050,13835,200887,3881,1491337,59045,1831035,1058442,432180,61505,2668,262400,13840
2014:Q4,1974551,296977,67498,15091,214388,3847,1619032,54695,1974551,1202895,415259,56974,3047,281279,15097
2015:Q1,2063204,318557,70784,16535,231238,3878,1682805,57964,2063204,1208212,473085,60379,3415,301560,16553
2015:Q2,2083140,314898,70774,16772,227352,4649,1708049,55544,2083140,1192766,514390,57858,3687,297644,16795
2015:Q3,1955834,333400,85189,17438,230773,5003,1566838,50593,1955834,1121102,445273,52701,3647,315636,17475
2015:Q4,2100680,340741,80254,19055,241432,3925,1708670,47344,2100680,1232237,475095,49317,3738,321211,19082
2016:Q1,2154998,380347,92311,21035,267001,5155,1708406,61090,2154998,1239941,467614,63635,3862,358880,21066
2016:Q2,2229526,396519,92180,22819,281520,10802,1748639,73566,2229526,1281468,465354,76631,4314,378572,23187
2016:Q3,2387532,420396,92529,24107,303760,15581,1877255,74300,2387532,1376847,501261,77396,4687,402764,24577
2016:Q4,2524541,420269,92939,24309,303021,14721,2029285,60266,2524541,1525984,503543,62777,4951,402498,24789
2017:Q1,2774752,457237,102330,25181,329726,17286,2236763,63466,2774752,1654273,583281,66110,5645,439732,25710
2017:Q2,2944343,493151,107952,26959,358240,17940,2369562,63690,2944343,1709821,660651,66344,6323,473717,27488
2017:Q3,3137550,526810,116995,28332,381483,17975,2526556,66209,3137550,1800958,725804,68968,7035,505930,28855
2017:Q4,3401019,543721,119572,30045,394104,19551,2771577,66170,3401019,1976978,793695,68927,7800,522922,30697
2018:Q1,3411600,552678,128720,30406,393552,18752,2771359,68811,3411600,1945559,825000,71678,8273,530105,30985
2018:Q2,3497885,583231,145298,32760,405173,14109,2834369,66176,3497885,2054151,779447,68933,8603,553668,33084
2018:Q3,3700859,602068,150500,32956,418612,21906,3016061,60824,3700859,2237697,783957,63358,9186,573322,33337
2018:Q4,3371154,625929,176141,36348,413440,22983,2659009,63233,3371154,1937128,726699,65868,8717,595859,36883
2019:Q1,3771298,681966,190324,38359,453283,24125,3000124,65083,3771298,2188774,806873,67795,24177,644897,38782
2019:Q2,3933355,733003,211366,41305,480332,28479,3103378,68495,3933355,2282353,817964,71349,26092,693779,41817
2019:Q3,4024327,775165,222946,44556,507663,29208,3139209,80745,4024327,2344567,788455,84109,28366,733653,45177
2019:Q4,4396207,809136,227645,48289,533202,29312,3476225,81534,4396207,2581409,885727,84931,30151,764970,49018
2020:Q1,3639718,814864,258336,48362,508166,30208,2704388,90258,3639718,2034671,665020,94019,25235,771702,49072
2020:Q2,4355705,921226,265135,52970,603121,36404,3275349,122726,4355705,2501046,765326,127840,27957,879483,54054
2020:Q3,4725232,982092,269829,56873,655390,34622,3562703,145815,4725232,2708053,838868,151891,30562,937792,58067
2020:Q4,5449361,1041768,270617,63027,708124,33867,4229440,144286,5449361,3181112,1029782,150298,34638,989338,64193
2021:Q1,5909739,1058053,274577,67780,715696,31529,4692646,127511,5909739,3542042,1131614,132824,34511,999812,68936
2021:Q2,6491253,1133976,293253,74501,766222,33434,5184637,139206,6491253,3928146,1235534,145006,38029,1068816,75721
2021:Q3,6580569,1173705,305776,78505,789424,40385,5234459,132020,6580569,3990744,1223735,137521,40050,1108421,80098
2021:Q4,7190515,1215294,332052,83255,799987,38661,5803329,133231,7190515,4519178,1262308,138782,42391,1143107,84749
2022:Q1,7014506,1179910,336120,82990,760800,35533,5633518,165545,7014506,4391368,1222862,172443,38398,1105138,84297
2022:Q2,6156505,1172834,362468,89846,720520,29590,4802233,151848,6156505,3723030,1062897,158175,33607,1087815,90981
2022:Q3,5892048,1177162,381432,86974,708756,32796,4552096,129994,5892048,3582979,957284,135410,31779,1096415,88180
2022:Q4,6476913,1258330,400514,104384,753432,27481,5059184,131918,6476913,3940618,1105561,137415,30416,1157434,105468
2023:Q1,6882604,1336562,451476,105683,779403,32300,5376461,137281,6882604,4158639,1204676,143001,30429,1238785,107074
2023:Q2,7299650,1371457,460559,107482,803416,30995,5766227,130971,7299650,4515125,1240131,136428,31244,1268177,108545
2023:Q3,7134461,1367487,469123,107995,790369,34780,5608241,123953,7134461,4406586,1196413,129118,30973,1262386,108985
2023:Q4,8085698,1493244,502261,122588,868395,29418,6433413,129623,8085698,5100452,1321125,135024,33486,1372082,123529
2024:Q1,8842771,1531379,504330,122323,904726,28835,7148856,133701,8842771,5730695,1402830,139272,36542,1410184,123247
2024:Q2,9143098,1587954,523134,124233,940587,32692,7380913,141539,9143098,5938036,1428203,147436,36698,1467379,125345
2024:Q3,9968601,1740475,568796,133162,1038517,37767,8030639,159720,9968601,6466639,1548707,166375,40263,1612194,134424
2024:Q4,10305396,1756381,555795,137896,1062690,35340,8352900,160775,10305396,6887554,1450962,167474,40463,1620030,138913
2025:Q1,10369126,1882910,604941,142227,1135742,38631,8249220,198365,10369126,6679978,1553691,206630,41708,1743744,143374
