company,date,form,accession,instrument,amount_bn,use_of_proceeds_short,url
Oracle,2026-02-04,8-K,0001193125-26-037840,"ATM equity distribution agreement (common stock), entry",20.0 USDbn authorized capacity,General corporate purposes (base prospectus boilerplate),https://www.sec.gov/Archives/edgar/data/1341439/000119312526037840/d23732d8k.htm
Oracle,2026-02-04,8-K,0001193125-26-037840,"Senior Notes, USD tranches (8)",25.0 USDbn face,"General corp. purposes incl. capex, debt repayment, investments/acquisitions, dividends/buybacks",https://www.sec.gov/Archives/edgar/data/1341439/000119312526037840/d23732d8k.htm
Oracle,2025-09-26,8-K,0001193125-25-220445,"Senior Notes, USD tranches (6)",18.0 USDbn face,"General corp. purposes incl. capex, debt repayment, investments/acquisitions, dividends/buybacks",https://www.sec.gov/Archives/edgar/data/1341439/000119312525220445/d31817d8k.htm
Oracle,2026-06-23,424B5,0001193125-26-278585,ATM common stock program - sales-agent-expansion supplement (17 banks added),20.0 USDbn authorized capacity (unchanged ceiling),"Not restated in this supplement; refers back to Feb 2, 2026 base prospectus",https://www.sec.gov/Archives/edgar/data/1341439/000119312526278585/d120346d424b5.htm
Oracle,reported in 10-Q for quarter ended 2026-08-31,10-Q,0001193125-26-389274,"ATM common stock program - actual usage, fiscal Q1 2027 (141 million shares issued, program fully exhausted)",19.9 USDbn net,"General corp. purposes incl. capex, debt repayment, investments/acquisitions, dividends/buybacks (per 10-Q Note 7)",https://www.sec.gov/Archives/edgar/data/1341439/000119312526389274/orcl-20260831.htm
Amazon,2026-03-13,8-K,0001104659-26-027729,"Senior Notes, USD tranches (11)",36.898 USDbn face / 36.813 USDbn net,"General corp. purposes: debt repayment, acquisitions, investments, working capital, capex, buybacks",https://www.sec.gov/Archives/edgar/data/1018724/000110465926027729/tm266670d8_8k.htm
Amazon,2026-03-16,8-K,0001104659-26-028556,"Senior Notes, EUR tranches (8), concurrent with the March 13 USD notes",14.473 EURbn face / 14.447 EURbn net,"Same general-corporate-purposes boilerplate, combined with concurrent USD notes proceeds",https://www.sec.gov/Archives/edgar/data/1018724/000110465926028556/tm266670d9_8k.htm
Amazon,2026-06-08,8-K,0001104659-26-072140,Delayed-draw term loan credit facility (bank debt; not an SEC-registered security),17.5 USDbn committed,"General corporate purposes (loan agreement text, not a prospectus)",https://www.sec.gov/Archives/edgar/data/1018724/000110465926072140/tm2613616d4_8k.htm
Amazon,2026-06-12,8-K,0001104659-26-073562,"Senior Notes, CAD tranches (5)",13.967 CADbn face / 13.934 CADbn net,Same general-corporate-purposes boilerplate as March notes,https://www.sec.gov/Archives/edgar/data/1018724/000110465926073562/tm2613616d5_8k.htm
Amazon,2026-07-09,8-K,0001104659-26-082293,"Senior Notes, USD tranches (8)",24.923 USDbn face / 24.867 USDbn net,Same general-corporate-purposes boilerplate as March notes,https://www.sec.gov/Archives/edgar/data/1018724/000110465926082293/tm2619352d4_8k.htm
Amazon,"priced 2026-09-09 / settles 2026-09-14 (excluded from top-3; 4th largest, smaller than the June CAD deal)",FWP / 424B5,0001104659-26-107122,"Senior Notes, GBP tranches (4)",4.25 GBPbn face,Read for completeness only; not in tranches.csv top-3 set,https://www.sec.gov/Archives/edgar/data/1018724/000110465926107122/tm2624614-3_424b5.htm
Meta,2026-05-04,8-K,0001193125-26-204128,"Senior Notes, USD tranches (6) - only 2026 public bond deal found for Meta",25.0 USDbn face,General corporate purposes (no further elaboration given anywhere in the filing),https://www.sec.gov/Archives/edgar/data/1326801/000119312526204128/d134616d8k.htm
Meta,2026-05-01 (dated 2026-04-30),424B2,0001193125-26-201738,"Senior Notes, USD tranches (6)",24.9 USDbn net,General corporate purposes (no further elaboration given anywhere in the filing),https://www.sec.gov/Archives/edgar/data/1326801/000119312526201738/d109954d424b2.htm
Oracle,2026-02-05 (priced 2026-02-02),8-K,0001193125-26-039344,"6.50% Series D Mandatory Convertible Preferred Stock (depositary shares) - not part of the $19.909bn common-stock figure; separate instrument, read for completeness","5.0 USDbn liquidation preference (100,000,000 depositary shares x $50)",Not stated in this 8-K (items 1.01/3.03/5.03); mandatory conversion window ends 2029-01-15,https://www.sec.gov/Archives/edgar/data/1341439/000119312526039344/d63638d8k.htm
