company,deal_rank_by_usd_equiv,deal_date,currency,principal_amount_bn,coupon,maturity,accession,source_form
Amazon,1,2026-03-13,USD,3.0,4.000%,2029,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,5.0,4.250%,2031,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,4.0,4.550%,2033,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,6.0,4.875%,2036,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,2.5,5.650%,2046,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,5.5,5.800%,2056,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,3.0,5.950%,2066,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,3.0,6.050%,2076,0001104659-26-027729,8-K
Amazon,1,2026-03-16,EUR,1.75,floating,2028,0001104659-26-028556,8-K
Amazon,1,2026-03-16,EUR,1.25,2.800%,2028,0001104659-26-028556,8-K
Amazon,1,2026-03-16,EUR,2.0,3.100%,2030,0001104659-26-028556,8-K
Amazon,1,2026-03-16,EUR,2.25,3.350%,2032,0001104659-26-028556,8-K
Amazon,1,2026-03-16,EUR,2.5,3.700%,2035,0001104659-26-028556,8-K
Amazon,1,2026-03-16,EUR,2.25,4.050%,2039,0001104659-26-028556,8-K
Amazon,1,2026-03-16,EUR,1.25,4.450%,2045,0001104659-26-028556,8-K
Amazon,1,2026-03-16,EUR,1.25,4.850%,2064,0001104659-26-028556,8-K
Amazon,2,2026-07-09,USD,0.75,floating,2029,0001104659-26-082293,8-K
Amazon,2,2026-07-09,USD,3.5,4.600%,2029,0001104659-26-082293,8-K
Amazon,2,2026-07-09,USD,4.25,4.800%,2031,0001104659-26-082293,8-K
Amazon,2,2026-07-09,USD,3.0,5.100%,2033,0001104659-26-082293,8-K
Amazon,2,2026-07-09,USD,4.5,5.300%,2036,0001104659-26-082293,8-K
Amazon,2,2026-07-09,USD,2.75,6.000%,2046,0001104659-26-082293,8-K
Amazon,2,2026-07-09,USD,4.0,6.100%,2056,0001104659-26-082293,8-K
Amazon,2,2026-07-09,USD,2.25,6.250%,2066,0001104659-26-082293,8-K
Amazon,3,2026-06-12,CAD,1.25,3.400%,2029,0001104659-26-073562,8-K
Amazon,3,2026-06-12,CAD,2.5,3.700%,2031,0001104659-26-073562,8-K
Amazon,3,2026-06-12,CAD,2.0,4.000%,2033,0001104659-26-073562,8-K
Amazon,3,2026-06-12,CAD,3.5,4.350%,2036,0001104659-26-073562,8-K
Amazon,3,2026-06-12,CAD,4.75,5.000%,2056,0001104659-26-073562,8-K
Oracle,1,2026-02-04,USD,0.5,floating,2029,0001193125-26-037840,8-K
Oracle,1,2026-02-04,USD,3.0,4.550%,2029,0001193125-26-037840,8-K
Oracle,1,2026-02-04,USD,3.5,4.950%,2031,0001193125-26-037840,8-K
Oracle,1,2026-02-04,USD,3.0,5.350%,2033,0001193125-26-037840,8-K
Oracle,1,2026-02-04,USD,5.0,5.700%,2036,0001193125-26-037840,8-K
Oracle,1,2026-02-04,USD,2.25,6.550%,2046,0001193125-26-037840,8-K
Oracle,1,2026-02-04,USD,5.0,6.700%,2056,0001193125-26-037840,8-K
Oracle,1,2026-02-04,USD,2.75,6.850%,2066,0001193125-26-037840,8-K
Oracle,2,2025-09-26,USD,3.0,4.450%,2030,0001193125-25-220445,8-K
Oracle,2,2025-09-26,USD,3.0,4.800%,2032,0001193125-25-220445,8-K
Oracle,2,2025-09-26,USD,4.0,5.200%,2035,0001193125-25-220445,8-K
Oracle,2,2025-09-26,USD,2.5,5.875%,2045,0001193125-25-220445,8-K
Oracle,2,2025-09-26,USD,3.5,5.950%,2055,0001193125-25-220445,8-K
Oracle,2,2025-09-26,USD,2.0,6.100%,2065,0001193125-25-220445,8-K
Meta,1,2026-05-04,USD,3.0,4.550%,2031,0001193125-26-204128,8-K
Meta,1,2026-05-04,USD,2.0,4.875%,2033,0001193125-26-204128,8-K
Meta,1,2026-05-04,USD,6.0,5.250%,2036,0001193125-26-204128,8-K
Meta,1,2026-05-04,USD,4.0,6.200%,2046,0001193125-26-204128,8-K
Meta,1,2026-05-04,USD,6.0,6.300%,2056,0001193125-26-204128,8-K
Meta,1,2026-05-04,USD,4.0,6.450%,2066,0001193125-26-204128,8-K
