series_id	channel	note
cbi_ie_mmf_usd_assets_eur_bn	b	Irish-domiciled offshore USD MMF assets (N2a offshore money-like)
bis_usd_liab_cayman_nonbank_bn	b	offshore-dollar / Cayman reconciliation (N2a)
bis_usd_liab_cayman_nbfi_bn	b	offshore-dollar / Cayman reconciliation (N2a)
bis_usd_claims_cayman_nbfi_bn	b	offshore-dollar / Cayman reconciliation (N2a)
bis_usd_liab_allctry_nonbank_bn	b	offshore-dollar / Cayman reconciliation (N2a)
bis_usd_liab_uk_nonbank_bn	b	offshore-dollar / Cayman reconciliation (N2a)
tic_mfh_cayman_ust_bn	b	offshore-dollar / Cayman reconciliation (N2a)
tic_shl_cayman_ust_total_bn	b	offshore-dollar / Cayman reconciliation (N2a)
fx_usd_leg_total_trn	b	offshore-dollar / Cayman reconciliation (N2a)
fx_usd_nonbank_obligations_trn	b	offshore-dollar / Cayman reconciliation (N2a)
fx_usd_ofi_notional_trn	b	offshore-dollar / Cayman reconciliation (N2a)
gli_usd_credit_nonbank_exus_trn	b	offshore-dollar / Cayman reconciliation (N2a)
gli_usd_loans_nonbank_exus_trn	b	offshore-dollar / Cayman reconciliation (N2a)
gli_usd_debtsec_nonbank_exus_trn	b	offshore-dollar / Cayman reconciliation (N2a)
cpis_cym_us_total_trn	b	offshore-dollar / Cayman reconciliation (N2a)
cpis_cym_us_debt_trn	b	offshore-dollar / Cayman reconciliation (N2a)
cpis_cym_us_equity_trn	b	offshore-dollar / Cayman reconciliation (N2a)
cssf_lu_mmf_usd_nav_eur_bn	b	offshore-dollar / Cayman reconciliation (N2a)
ecb_bsi_lu_mmf_total_assets_eur_bn	b	offshore-dollar / Cayman reconciliation (N2a)
tic_cayman_ust_dec2022_bn	b	offshore-dollar / Cayman reconciliation (N2a)
barth_cayman_hf_ust_trn	b	offshore-dollar / Cayman reconciliation (N2a)
shl_cayman_equity_bn	b	offshore-dollar / Cayman reconciliation (N2a)
shl_cayman_debt_total_bn	b	offshore-dollar / Cayman reconciliation (N2a)
bis_usd_claims_cayman_nbfi_loans_bn	b	offshore-dollar / Cayman reconciliation (N2a)
cima_cpis_cayman_us_total_bn	b	offshore-dollar / Cayman reconciliation (N2a)
cima_cpis_cayman_us_equity_bn	b	offshore-dollar / Cayman reconciliation (N2a)
cima_cpis_cayman_us_debt_bn	b	offshore-dollar / Cayman reconciliation (N2a)
cayman_debt_gap_matched_bn	b	offshore-dollar / Cayman reconciliation (N2a)
occ_us_bank_fx_notional_trn	b	FX-swap offshore-dollar funding leg (N2a)
zk_wholesale_share_low_pct	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
zk_wholesale_share_high_pct	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
zk_wholesale_share_incl_fed_pct	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
mmf_private_repo_bn	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
zk_W_low_bn	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
m2_h6_sa_bn	a	M2 aggregate — z_k denominator
zk_private_share_pct	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
singh_panel_bac_permitted_2017_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_citi_permitted_2017_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_jpm_permitted_2017_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_gs_permitted_2017_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_ms_permitted_2017_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_us5_permitted_2017_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_us5_permitted_2026_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_us5_ratio_2017_2026	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
singh_panel_utilization_2017_pct	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
jpm_collateral_permitted_sep2025_bn	c	dealer 10-K permitted-to-repledge/repledged collateral (N3/D10)
barclays_collateral_permitted_fy2025_gbp_bn	c	Singh panel cross-check (N3v4)
barclays_collateral_permitted_fy2024_gbp_bn	c	Singh panel cross-check (N3v4)
zk_v2_W2_M2_pct	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
zk_v2_W2_h8dep_pct	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
zk_v2_W2_bn	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
zk_v2_W2_us_scaled_pct	b	z_k nonbank wholesale-funding share (N2b) — the nexus estimator
hf_reverse_repo_formpf_bn	c	Form PF hedge-fund leverage/collateral (D3/D10/N3)
singh_implied_cashlike_share_2017	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
formpf_hf_collateral_gross_bn	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
hf_repo_to_cashlike_ratio	c	Form PF hedge-fund leverage/collateral (D3/D10/N3)
singh_hf_source_growth_2013_2017	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
formpf_hf_collateral_growth_2013_2017	c	Singh velocity/source-collateral reconciliation (N3/N3v4)
