company,date,form,instrument,principal_bn,accession,url,notes
Amazon,2026-07-07/2026-07-09,424B5 x2 + FWP,Notes (debt) — NOT reflected in any XBRL filing yet (post-dates the Q2 10-Q period end of 2026-06-30),,0001104659-26-080950,https://www.sec.gov/Archives/edgar/data/1018724/000110465926080950/tm2619352-1_424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Amazon,2026-09-09,424B5 + FWP,Notes (debt) — priced 2 days before this research; NOT reflected in any XBRL filing,,0001104659-26-106115,https://www.sec.gov/Archives/edgar/data/1018724/000110465926106115/tm2624614-1_424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Amazon,Q1 2026 (2026-01-01 to 2026-03-31),10-Q (XBRL fact),AGGREGATE — ProceedsFromIssuanceOfLongTermDebt (captures the March round only),53.441,0001018724-26-000014,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,"XBRL structured data, not read as prose."
Amazon,H1 2026 (2026-01-01 to 2026-06-30),10-Q (XBRL fact),AGGREGATE — ProceedsFromIssuanceOfLongTermDebt (March + June rounds combined; excludes July and September rounds above),66.998,0001018724-26-000026,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,"XBRL structured data, not read as prose. Understates true 2026-YTD debt."
Meta,2026-04-30/2026-05-01,S-3ASR (new shelf) + 424B2 x2 + FWP,Notes (debt) — only 2026 bond round found for Meta through 2026-09-10 (submissions data),,0001193125-26-194008,https://www.sec.gov/Archives/edgar/data/1326801/000119312526194008/d102985ds3asr.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Meta,H1 2026 (2026-01-01 to 2026-06-30),10-Q (XBRL fact),AGGREGATE — ProceedsFromIssuanceOfLongTermDebt,24.910,0001628280-26-050705,https://www.sec.gov/Archives/edgar/data/1326801/000162828026050705/,"XBRL structured data, not read as prose. No ProceedsFromIssuanceOfCommonStock reported for Meta in 2026 (tag not present/zero) — no equity-raise signal found."
Microsoft,N/A,N/A,"NO 2026 notes/equity offering filings found. Zero S-3, 424B1/B2/B3/B4/B5/B7, or FWP filings in Microsoft's 2026 filing history (submissions JSON, checked through 2026-09-10). XBRL tag ProceedsFromDebtMaturingInMoreThanThreeMonths (Microsoft's debt-issuance line item) = $0 for every quarter from FY2025 Q3 (Jan-Mar 2025) through FY2026 year-end (2026-06-30).",0,N/A,N/A,"This is an observed absence, not a 403/blocked result — data.sec.gov answered normally and shows no offerings."
Oracle,2026-02-02/2026-02-05,"424B5 x3 + 424B2 x2 + FWP x3; 8-Ks 2026-02-04 (items 1.01,8.01,9.01) and 2026-02-05 (items 1.01,3.03,5.03,9.01)",Notes (debt) — item 3.03/5.03 8-K signature consistent with a new supplemental indenture for notes,,0001193125-26-032756,https://www.sec.gov/Archives/edgar/data/1341439/000119312526032756/d77737d424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Oracle,2026-06-23,"424B5 (single filing, no accompanying FWP/8-K found)",Notes (debt) — possible re-opening/tap of an existing series; unconfirmed,,0001193125-26-278585,https://www.sec.gov/Archives/edgar/data/1341439/000119312526278585/d120346d424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Oracle,"FY2026 (2025-06-01 to 2026-05-31, Oracle fiscal year — NOT calendar 2026)",10-K (XBRL fact),"AGGREGATE — ProceedsFromIssuanceOfSeniorLongTermDebt, full Oracle fiscal year",46.093,0001193125-26-277521,https://www.sec.gov/Archives/edgar/data/1341439/000119312526277521/,XBRL structured data. Roughly $44.5bn of this was already raised by 2026-02-28 (i.e. mostly the Feb round above); only ~$1.5bn more in Mar-May 2026.
Oracle,Oracle fiscal Q1 2027 (2026-06-01 to 2026-08-31),10-Q filed 2026-09-11 (XBRL fact),"AGGREGATE — ProceedsFromIssuanceOfCommonStock. New, large, NOT previously present in any 2025 or earlier-2026 period for Oracle. No matching 424B4/424B7 registered-equity-offering filing found; could not confirm public vs. private placement.",19.909,0001193125-26-389274,https://www.sec.gov/Archives/edgar/data/1341439/000119312526389274/,"XBRL structured data, not read as prose. Filed literally the same day as this research (2026-09-11). Coincides with the credit stress Green describes for Oracle in the Aug-16 card (CDS at 18-yr high, one notch above junk)."
