quarter,sector,role,flow_bn,level_bn,reval_bn,series_code
2015:Q2,Government-sponsored enterprises,issuer_detail,0.0,107.777,2.61,FU403164105.Q
2015:Q2,Mortgage real estate investment trusts,issuer_detail,3.747,73.537,-7.083,FU643164105.Q
2015:Q2,Business development companies,issuer_detail,1.953,52.713,-0.313,FU453164105.Q
2015:Q2,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2015:Q2,Security brokers and dealers,issuer_detail,-1.418,91.555,1.251,FU663164105.Q
2015:Q2,Holding companies,issuer_detail,0.503,2199.224,136.214,FU733164105.Q
2015:Q2,Other financial business,issuer_detail,-0.992,770.148,24.589,FU503164105.Q
2015:Q2,Rest of the world,issuer,92.448,5982.657,45.797,FU263164105.Q
2015:Q2,Households and nonprofit organizations,holder,4.942,13464.209,44.309,FU153064105.Q
2015:Q2,Nonfinancial corporate business,holder,-10.731,1535.465,-3.583,FU103064103.Q
2015:Q2,Federal government,holder,-0.515,103.678,2.664,FU313064105.Q
2015:Q2,State and local governments,holder,-2.259,103.039,-0.373,FU213064103.Q
2015:Q2,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2015:Q2,U.S.-chartered depository institutions,holder,0.774,38.214,-0.326,FU763064103.Q
2015:Q2,Foreign banking offices in the U.S.,holder,0.0,0.003,0.0,FU753064103.Q
2015:Q2,Property-casualty insurance companies,holder,-0.799,333.691,-2.345,FU513064105.Q
2015:Q2,Life insurance companies,holder,-3.459,568.769,1.366,FU543064105.Q
2015:Q2,"Private pension funds, including 403(b) plans",holder,-9.582,2019.759,-7.193,FU573064105.Q
2015:Q2,Federal government pension funds,holder,-1.282,247.362,0.753,FU343064105.Q
2015:Q2,State and local government employee defined benefit pension funds,holder,7.455,1973.195,-7.624,FU223064145.Q
2015:Q2,Mutual funds,holder,57.66,9118.14,-1.109,FU653064100.Q
2015:Q2,Closed-end funds,holder,0.668,115.978,-3.349,FU553064103.Q
2015:Q2,Exchange-traded funds,holder,40.955,1708.049,-15.711,FU563064100.Q
2015:Q2,Business development companies,holder,0.314,10.088,0.133,FU453064103.Q
2015:Q2,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2015:Q2,Hedge funds (domestic),holder,-9.681,459.717,-1.664,FU623064105.Q
2015:Q2,Private debt funds,holder,-1.043,39.924,0.557,FU443064100.Q
2015:Q2,Security brokers and dealers,holder,-1.469,102.27,-0.368,FU663064105.Q
2015:Q2,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2015:Q2,Rest of the world,holder,-40.589,5766.098,-43.988,FU263064105.Q
2015:Q3,All sectors,total,-191.235,34576.68,-2939.733,FU893064105.Q
2015:Q3,Nonfinancial corporate business,issuer,-155.776,23279.205,-1748.266,FU103164105.Q
2015:Q3,Domestic financial sectors,issuer,23.529,6044.021,-521.252,FU793164105.Q
2015:Q3,U.S.-chartered depository institutions,issuer_detail,0.526,72.633,-3.693,FU763164105.Q
2015:Q3,Property-casualty insurance companies,issuer_detail,-6.431,581.705,-10.356,FU513164105.Q
2015:Q3,"Life insurance companies, general accounts",issuer_detail,-2.042,178.407,-23.226,FU543164175.Q
2015:Q3,Closed-end funds,issuer_detail,0.58,267.016,-19.247,FU554090005.Q
2015:Q3,Exchange-traded funds,issuer_detail,43.163,1955.834,-170.469,FU564090005.Q
2015:Q3,Government-sponsored enterprises,issuer_detail,0.0,110.426,2.649,FU403164105.Q
2015:Q3,Mortgage real estate investment trusts,issuer_detail,-1.696,70.698,-1.143,FU643164105.Q
2015:Q3,Business development companies,issuer_detail,1.208,52.244,-1.677,FU453164105.Q
2015:Q3,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2015:Q3,Security brokers and dealers,issuer_detail,1.129,75.897,-16.787,FU663164105.Q
2015:Q3,Holding companies,issuer_detail,-12.6,1981.784,-204.84,FU733164105.Q
2015:Q3,Other financial business,issuer_detail,-0.308,697.377,-72.463,FU503164105.Q
2015:Q3,Rest of the world,issuer,-58.988,5253.454,-670.215,FU263164105.Q
2015:Q3,Households and nonprofit organizations,holder,-227.337,12373.134,-863.738,FU153064105.Q
2015:Q3,Nonfinancial corporate business,holder,-9.987,1418.991,-106.487,FU103064103.Q
2015:Q3,Federal government,holder,-0.024,106.426,2.772,FU313064105.Q
2015:Q3,State and local governments,holder,6.777,101.854,-7.962,FU213064103.Q
2015:Q3,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2015:Q3,U.S.-chartered depository institutions,holder,0.816,35.474,-3.556,FU763064103.Q
2015:Q3,Foreign banking offices in the U.S.,holder,0.0,0.003,0.0,FU753064103.Q
2015:Q3,Property-casualty insurance companies,holder,2.623,319.433,-16.881,FU513064105.Q
2015:Q3,Life insurance companies,holder,26.533,556.672,-38.63,FU543064105.Q
2015:Q3,"Private pension funds, including 403(b) plans",holder,-20.277,1843.399,-156.083,FU573064105.Q
2015:Q3,Federal government pension funds,holder,0.115,227.651,-19.826,FU343064105.Q
2015:Q3,State and local government employee defined benefit pension funds,holder,47.558,1847.391,-173.362,FU223064145.Q
2015:Q3,Mutual funds,holder,9.407,8282.557,-844.99,FU653064100.Q
2015:Q3,Closed-end funds,holder,0.416,101.407,-14.987,FU553064103.Q
2015:Q3,Exchange-traded funds,holder,21.849,1566.838,-163.06,FU563064100.Q
2015:Q3,Business development companies,holder,0.28,9.768,-0.6,FU453064103.Q
2015:Q3,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2015:Q3,Hedge funds (domestic),holder,-7.835,416.356,-35.526,FU623064105.Q
2015:Q3,Private debt funds,holder,1.465,39.014,-2.375,FU443064100.Q
2015:Q3,Security brokers and dealers,holder,-24.367,70.0,-7.903,FU663064105.Q
2015:Q3,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2015:Q3,Rest of the world,holder,-19.247,5260.312,-486.539,FU263064105.Q
2015:Q4,All sectors,total,-67.632,36088.148,1579.1,FU893064105.Q
2015:Q4,Nonfinancial corporate business,issuer,-127.388,24346.537,1194.72,FU103164105.Q
2015:Q4,Domestic financial sectors,issuer,76.821,6275.201,154.359,FU793164105.Q
2015:Q4,U.S.-chartered depository institutions,issuer_detail,2.732,76.509,1.144,FU763164105.Q
2015:Q4,Property-casualty insurance companies,issuer_detail,-6.218,588.256,12.769,FU513164105.Q
2015:Q4,"Life insurance companies, general accounts",issuer_detail,-2.063,182.201,5.857,FU543164175.Q
2015:Q4,Closed-end funds,issuer_detail,-0.467,262.99,-3.559,FU554090005.Q
2015:Q4,Exchange-traded funds,issuer_detail,90.777,2100.68,54.069,FU564090005.Q
2015:Q4,Government-sponsored enterprises,issuer_detail,0.0,109.953,-0.473,FU403164105.Q
2015:Q4,Mortgage real estate investment trusts,issuer_detail,-2.58,67.035,-1.083,FU643164105.Q
2015:Q4,Business development companies,issuer_detail,0.944,50.553,-2.635,FU453164105.Q
2015:Q4,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2015:Q4,Security brokers and dealers,issuer_detail,0.609,77.113,0.607,FU663164105.Q
2015:Q4,Holding companies,issuer_detail,-6.599,2040.749,65.564,FU733164105.Q
2015:Q4,Other financial business,issuer_detail,-0.314,719.162,22.099,FU503164105.Q
2015:Q4,Rest of the world,issuer,-17.065,5466.41,230.021,FU263164105.Q
2015:Q4,Households and nonprofit organizations,holder,73.657,12931.673,484.882,FU153064105.Q
2015:Q4,Nonfinancial corporate business,holder,-10.631,1499.935,91.575,FU103064103.Q
2015:Q4,Federal government,holder,-0.005,106.928,0.507,FU313064105.Q
2015:Q4,State and local governments,holder,-2.903,104.777,5.826,FU213064103.Q
2015:Q4,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2015:Q4,U.S.-chartered depository institutions,holder,0.861,37.579,1.244,FU763064103.Q
2015:Q4,Foreign banking offices in the U.S.,holder,0.0,0.003,0.0,FU753064103.Q
2015:Q4,Property-casualty insurance companies,holder,-3.196,333.955,17.718,FU513064105.Q
2015:Q4,Life insurance companies,holder,10.668,578.703,11.363,FU543064105.Q
2015:Q4,"Private pension funds, including 403(b) plans",holder,8.734,1957.57,105.437,FU573064105.Q
2015:Q4,Federal government pension funds,holder,-0.119,240.348,12.816,FU343064105.Q
2015:Q4,State and local government employee defined benefit pension funds,holder,-39.077,1901.52,93.206,FU223064145.Q
2015:Q4,Mutual funds,holder,-59.832,8625.329,402.604,FU653064100.Q
2015:Q4,Closed-end funds,holder,-0.174,99.794,-1.439,FU553064103.Q
2015:Q4,Exchange-traded funds,holder,78.783,1708.67,63.049,FU563064100.Q
2015:Q4,Business development companies,holder,0.35,9.816,-0.302,FU453064103.Q
2015:Q4,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2015:Q4,Hedge funds (domestic),holder,-22.162,418.008,23.814,FU623064105.Q
2015:Q4,Private debt funds,holder,1.475,39.283,-1.206,FU443064100.Q
2015:Q4,Security brokers and dealers,holder,34.208,108.212,4.004,FU663064105.Q
2015:Q4,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2015:Q4,Rest of the world,holder,-138.269,5386.045,264.002,FU263064105.Q
2016:Q1,All sectors,total,-152.961,36229.725,294.538,FU893064105.Q
2016:Q1,Nonfinancial corporate business,issuer,-124.58,24758.34,536.383,FU103164105.Q
2016:Q1,Domestic financial sectors,issuer,12.357,6056.696,-230.862,FU793164105.Q
2016:Q1,U.S.-chartered depository institutions,issuer_detail,-8.648,74.115,6.254,FU763164105.Q
2016:Q1,Property-casualty insurance companies,issuer_detail,-5.901,591.417,9.062,FU513164105.Q
2016:Q1,"Life insurance companies, general accounts",issuer_detail,-2.138,162.023,-18.04,FU543164175.Q
2016:Q1,Closed-end funds,issuer_detail,0.316,261.904,-1.402,FU554090005.Q
2016:Q1,Exchange-traded funds,issuer_detail,34.625,2154.998,19.693,FU564090005.Q
2016:Q1,Government-sponsored enterprises,issuer_detail,0.0,110.14,0.187,FU403164105.Q
2016:Q1,Mortgage real estate investment trusts,issuer_detail,-2.08,67.205,2.25,FU643164105.Q
2016:Q1,Business development companies,issuer_detail,0.345,49.811,-1.087,FU453164105.Q
2016:Q1,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2016:Q1,Security brokers and dealers,issuer_detail,0.016,73.166,-3.963,FU663164105.Q
2016:Q1,Holding companies,issuer_detail,-3.962,1791.031,-245.756,FU733164105.Q
2016:Q1,Other financial business,issuer_detail,-0.216,720.886,1.94,FU503164105.Q
2016:Q1,Rest of the world,issuer,-40.738,5414.689,-10.983,FU263164105.Q
2016:Q1,Households and nonprofit organizations,holder,42.15,13285.851,312.028,FU153064105.Q
2016:Q1,Nonfinancial corporate business,holder,16.097,1527.627,11.595,FU103064103.Q
2016:Q1,Federal government,holder,0.0,107.504,0.576,FU313064105.Q
2016:Q1,State and local governments,holder,0.041,105.208,0.39,FU213064103.Q
2016:Q1,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2016:Q1,U.S.-chartered depository institutions,holder,-7.372,30.444,0.237,FU763064103.Q
2016:Q1,Foreign banking offices in the U.S.,holder,0.0,0.003,0.0,FU753064103.Q
2016:Q1,Property-casualty insurance companies,holder,3.304,330.612,-6.647,FU513064105.Q
2016:Q1,Life insurance companies,holder,-8.743,574.471,4.511,FU543064105.Q
2016:Q1,"Private pension funds, including 403(b) plans",holder,-19.938,1944.913,7.281,FU573064105.Q
2016:Q1,Federal government pension funds,holder,-2.687,238.051,0.39,FU343064105.Q
2016:Q1,State and local government employee defined benefit pension funds,holder,16.624,1907.131,-11.013,FU223064145.Q
2016:Q1,Mutual funds,holder,-2.702,8555.73,-66.897,FU653064100.Q
2016:Q1,Closed-end funds,holder,-0.028,97.809,-1.957,FU553064103.Q
2016:Q1,Exchange-traded funds,holder,-7.349,1708.406,7.085,FU563064100.Q
2016:Q1,Business development companies,holder,0.648,10.318,-0.146,FU453064103.Q
2016:Q1,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2016:Q1,Hedge funds (domestic),holder,-18.967,400.596,1.555,FU623064105.Q
2016:Q1,Private debt funds,holder,-0.454,38.245,-0.584,FU443064100.Q
2016:Q1,Security brokers and dealers,holder,-41.543,67.072,0.403,FU663064105.Q
2016:Q1,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2016:Q1,Rest of the world,holder,-122.042,5299.734,35.731,FU263064105.Q
2016:Q2,All sectors,total,73.001,36921.515,618.789,FU893064105.Q
2016:Q2,Nonfinancial corporate business,issuer,-125.548,25246.633,613.841,FU103164105.Q
2016:Q2,Domestic financial sectors,issuer,18.119,6195.59,120.775,FU793164105.Q
2016:Q2,U.S.-chartered depository institutions,issuer_detail,1.171,74.556,-0.73,FU763164105.Q
2016:Q2,Property-casualty insurance companies,issuer_detail,-4.715,605.035,18.333,FU513164105.Q
2016:Q2,"Life insurance companies, general accounts",issuer_detail,-1.549,159.819,-0.655,FU543164175.Q
2016:Q2,Closed-end funds,issuer_detail,0.033,268.587,6.65,FU554090005.Q
2016:Q2,Exchange-traded funds,issuer_detail,30.829,2229.526,43.699,FU564090005.Q
2016:Q2,Government-sponsored enterprises,issuer_detail,0.0,111.663,1.523,FU403164105.Q
2016:Q2,Mortgage real estate investment trusts,issuer_detail,-1.805,69.676,4.276,FU643164105.Q
2016:Q2,Business development companies,issuer_detail,1.202,51.805,0.792,FU453164105.Q
2016:Q2,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2016:Q2,Security brokers and dealers,issuer_detail,-0.252,73.925,1.011,FU663164105.Q
2016:Q2,Holding companies,issuer_detail,-6.005,1784.991,-0.035,FU733164105.Q
2016:Q2,Other financial business,issuer_detail,-0.79,766.007,45.911,FU503164105.Q
2016:Q2,Rest of the world,issuer,180.43,5479.292,-115.827,FU263164105.Q
2016:Q2,Households and nonprofit organizations,holder,165.279,13730.108,278.978,FU153064105.Q
2016:Q2,Nonfinancial corporate business,holder,16.403,1573.044,29.014,FU103064103.Q
2016:Q2,Federal government,holder,-0.015,108.063,0.574,FU313064105.Q
2016:Q2,State and local governments,holder,-1.493,105.911,2.196,FU213064103.Q
2016:Q2,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2016:Q2,U.S.-chartered depository institutions,holder,-0.47,30.816,0.842,FU763064103.Q
2016:Q2,Foreign banking offices in the U.S.,holder,0.0,0.003,0.0,FU753064103.Q
2016:Q2,Property-casualty insurance companies,holder,-3.658,329.401,2.447,FU513064105.Q
2016:Q2,Life insurance companies,holder,-6.241,579.133,10.903,FU543064105.Q
2016:Q2,"Private pension funds, including 403(b) plans",holder,-26.668,1958.839,40.594,FU573064105.Q
2016:Q2,Federal government pension funds,holder,-2.179,240.754,4.882,FU343064105.Q
2016:Q2,State and local government employee defined benefit pension funds,holder,-26.196,1894.725,13.79,FU223064145.Q
2016:Q2,Mutual funds,holder,-17.423,8649.293,110.986,FU653064100.Q
2016:Q2,Closed-end funds,holder,-0.053,101.728,3.972,FU553064103.Q
2016:Q2,Exchange-traded funds,holder,9.423,1748.639,30.81,FU563064100.Q
2016:Q2,Business development companies,holder,0.292,10.24,-0.37,FU453064103.Q
2016:Q2,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2016:Q2,Hedge funds (domestic),holder,0.369,409.326,8.361,FU623064105.Q
2016:Q2,Private debt funds,holder,1.295,38.169,-1.371,FU443064100.Q
2016:Q2,Security brokers and dealers,holder,8.373,76.845,1.4,FU663064105.Q
2016:Q2,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2016:Q2,Rest of the world,holder,-44.037,5336.478,80.781,FU263064105.Q
2016:Q3,All sectors,total,-8.099,38278.765,1365.349,FU893064105.Q
2016:Q3,Nonfinancial corporate business,issuer,-108.219,25838.959,700.545,FU103164105.Q
2016:Q3,Domestic financial sectors,issuer,103.973,6561.257,261.694,FU793164105.Q
2016:Q3,U.S.-chartered depository institutions,issuer_detail,0.787,81.889,6.546,FU763164105.Q
2016:Q3,Property-casualty insurance companies,issuer_detail,-3.442,600.346,-1.247,FU513164105.Q
2016:Q3,"Life insurance companies, general accounts",issuer_detail,-1.129,173.483,14.793,FU543164175.Q
2016:Q3,Closed-end funds,issuer_detail,1.031,272.275,2.657,FU554090005.Q
2016:Q3,Exchange-traded funds,issuer_detail,91.364,2387.532,66.642,FU564090005.Q
2016:Q3,Government-sponsored enterprises,issuer_detail,0.0,111.847,0.184,FU403164105.Q
2016:Q3,Mortgage real estate investment trusts,issuer_detail,24.936,92.285,-2.327,FU643164105.Q
2016:Q3,Business development companies,issuer_detail,1.616,53.666,0.245,FU453164105.Q
2016:Q3,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2016:Q3,Security brokers and dealers,issuer_detail,0.96,80.518,5.633,FU663164105.Q
2016:Q3,Holding companies,issuer_detail,-11.181,1918.694,144.884,FU733164105.Q
2016:Q3,Other financial business,issuer_detail,-0.969,788.722,23.684,FU503164105.Q
2016:Q3,Rest of the world,issuer,-3.853,5878.549,403.11,FU263164105.Q
2016:Q3,Households and nonprofit organizations,holder,-80.806,14112.064,462.762,FU153064105.Q
2016:Q3,Nonfinancial corporate business,holder,16.945,1642.01,52.021,FU103064103.Q
2016:Q3,Federal government,holder,-0.01,108.696,0.643,FU313064105.Q
2016:Q3,State and local governments,holder,-0.037,110.024,4.15,FU213064103.Q
2016:Q3,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2016:Q3,U.S.-chartered depository institutions,holder,0.206,31.703,0.681,FU763064103.Q
2016:Q3,Foreign banking offices in the U.S.,holder,-0.003,0.0,0.0,FU753064103.Q
2016:Q3,Property-casualty insurance companies,holder,-3.561,329.807,3.967,FU513064105.Q
2016:Q3,Life insurance companies,holder,-6.878,590.971,18.716,FU543064105.Q
2016:Q3,"Private pension funds, including 403(b) plans",holder,-25.926,2009.66,76.747,FU573064105.Q
2016:Q3,Federal government pension funds,holder,-2.292,250.524,12.062,FU343064105.Q
2016:Q3,State and local government employee defined benefit pension funds,holder,-37.012,1942.199,84.486,FU223064145.Q
2016:Q3,Mutual funds,holder,-47.461,9007.479,405.647,FU653064100.Q
2016:Q3,Closed-end funds,holder,0.105,103.561,1.728,FU553064103.Q
2016:Q3,Exchange-traded funds,holder,62.23,1877.255,66.386,FU563064100.Q
2016:Q3,Business development companies,holder,-0.274,9.598,-0.368,FU453064103.Q
2016:Q3,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2016:Q3,Hedge funds (domestic),holder,3.987,429.35,16.037,FU623064105.Q
2016:Q3,Private debt funds,holder,3.066,39.863,-1.372,FU443064100.Q
2016:Q3,Security brokers and dealers,holder,11.89,91.746,3.011,FU663064105.Q
2016:Q3,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2016:Q3,Rest of the world,holder,97.732,5592.255,158.045,FU263064105.Q
2016:Q4,All sectors,total,-19.711,39068.244,809.19,FU893064105.Q
2016:Q4,Nonfinancial corporate business,issuer,-83.364,25851.542,95.947,FU103164105.Q
2016:Q4,Domestic financial sectors,issuer,107.566,7336.62,667.797,FU793164105.Q
2016:Q4,U.S.-chartered depository institutions,issuer_detail,1.728,102.199,18.582,FU763164105.Q
2016:Q4,Property-casualty insurance companies,issuer_detail,-4.392,644.761,48.807,FU513164105.Q
2016:Q4,"Life insurance companies, general accounts",issuer_detail,-1.711,211.947,40.175,FU543164175.Q
2016:Q4,Closed-end funds,issuer_detail,-0.55,264.802,-6.923,FU554090005.Q
2016:Q4,Exchange-traded funds,issuer_detail,127.231,2524.541,9.778,FU564090005.Q
2016:Q4,Government-sponsored enterprises,issuer_detail,0.0,110.738,-1.109,FU403164105.Q
2016:Q4,Mortgage real estate investment trusts,issuer_detail,-1.172,93.401,2.288,FU643164105.Q
2016:Q4,Business development companies,issuer_detail,-2.565,50.824,-0.277,FU453164105.Q
2016:Q4,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2016:Q4,Security brokers and dealers,issuer_detail,-2.028,83.632,5.142,FU663164105.Q
2016:Q4,Holding companies,issuer_detail,-12.37,2419.012,512.688,FU733164105.Q
2016:Q4,Other financial business,issuer_detail,3.395,830.763,38.646,FU503164105.Q
2016:Q4,Rest of the world,issuer,-43.913,5880.082,45.446,FU263164105.Q
2016:Q4,Households and nonprofit organizations,holder,23.869,14409.232,273.299,FU153064105.Q
2016:Q4,Nonfinancial corporate business,holder,17.497,1712.941,53.434,FU103064103.Q
2016:Q4,Federal government,holder,-0.005,103.623,-5.068,FU313064105.Q
2016:Q4,State and local governments,holder,-5.005,108.976,3.957,FU213064103.Q
2016:Q4,Central bank,holder,0.0,0.0,0.0,FU713064103.Q
2016:Q4,U.S.-chartered depository institutions,holder,0.694,33.388,0.991,FU763064103.Q
2016:Q4,Foreign banking offices in the U.S.,holder,0.0,0.0,0.0,FU753064103.Q
2016:Q4,Property-casualty insurance companies,holder,6.796,354.315,17.712,FU513064105.Q
2016:Q4,Life insurance companies,holder,-5.192,586.93,1.151,FU543064105.Q
2016:Q4,"Private pension funds, including 403(b) plans",holder,-20.108,2061.835,72.283,FU573064105.Q
2016:Q4,Federal government pension funds,holder,1.525,260.768,8.719,FU343064105.Q
2016:Q4,State and local government employee defined benefit pension funds,holder,-20.161,1964.762,42.724,FU223064145.Q
2016:Q4,Mutual funds,holder,-43.949,9069.933,106.403,FU653064100.Q
2016:Q4,Closed-end funds,holder,0.034,101.804,-1.791,FU553064103.Q
2016:Q4,Exchange-traded funds,holder,121.743,2029.285,30.287,FU563064100.Q
2016:Q4,Business development companies,holder,0.278,9.615,-0.261,FU453064103.Q
2016:Q4,Interval funds and tender offer funds,holder,0.0,0.0,0.0,FU463064105.Q
2016:Q4,Hedge funds (domestic),holder,-10.073,434.72,15.443,FU623064105.Q
2016:Q4,Private debt funds,holder,3.76,42.539,-1.084,FU443064100.Q
2016:Q4,Security brokers and dealers,holder,29.113,124.159,3.3,FU663064105.Q
2016:Q4,Other financial business,holder,0.0,0.0,0.0,FU503064105.Q
2016:Q4,Rest of the world,holder,-120.527,5659.419,187.691,FU263064105.Q
2017:Q1,All sectors,total,58.937,41356.627,2229.446,FU893064105.Q
2017:Q1,Nonfinancial corporate business,issuer,-80.027,27256.145,1484.63,FU103164105.Q
2017:Q1,Domestic financial sectors,issuer,104.769,7687.465,246.076,FU793164105.Q
2017:Q1,U.S.-chartered depository institutions,issuer_detail,-1.964,102.311,2.076,FU763164105.Q
2017:Q1,Property-casualty insurance companies,issuer_detail,-5.306,668.602,29.147,FU513164105.Q
2017:Q1,"Life insurance companies, general accounts",issuer_detail,-4.293,208.896,1.242,FU543164175.Q
2017:Q1,Closed-end funds,issuer_detail,0.717,271.252,5.733,FU554090005.Q
2017:Q1,Exchange-traded funds,issuer_detail,133.97,2774.752,116.241,FU564090005.Q
2017:Q1,Government-sponsored enterprises,issuer_detail,0.0,104.165,-6.573,FU403164105.Q
2017:Q1,Mortgage real estate investment trusts,issuer_detail,-3.588,96.972,7.159,FU643164105.Q
2017:Q1,Business development companies,issuer_detail,3.573,53.987,-0.41,FU453164105.Q
2017:Q1,Interval funds and tender offer funds,issuer_detail,0.0,0.0,0.0,FU463164105.Q
2017:Q1,Security brokers and dealers,issuer_detail,0.757,81.98,-2.409,FU663164105.Q
2017:Q1,Holding companies,issuer_detail,-16.281,2412.427,9.696,FU733164105.Q
2017:Q1,Other financial business,issuer_detail,-2.816,912.121,84.174,FU503164105.Q
2017:Q1,Rest of the world,issuer,34.195,6413.017,498.74,FU263164105.Q
2017:Q1,Households and nonprofit organizations,holder,-5.57,15219.766,816.104,FU153064105.Q
