money_variable,sample_period,n_quarters,quarter_range,pearson_r,r_squared,slope_hh_equity_bn_per_bn_of_x,intercept_bn,approx_p_value_normal_approx,units,interpretation,notes
deposits_qchange_usd_bn,2020on_2020Q1-2026Q2,26,2020:Q1..2026:Q2,0.2126,0.0452,0.0888,215.29,0.2864,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),8.9 cents of household equity net-buying per $1 of deposits quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
bank_credit_qchange_usd_bn,2020on_2020Q1-2026Q2,26,2020:Q1..2026:Q2,0.1953,0.0381,0.1572,201.26,0.3294,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),15.7 cents of household equity net-buying per $1 of bank credit quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_ust_qchange_usd_bn,2020on_2020Q1-2026Q2,26,2020:Q1..2026:Q2,0.0719,0.0052,0.036,233.44,0.7241,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),3.6 cents of household equity net-buying per $1 of soma ust quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_mbs_qchange_usd_bn,2020on_2020Q1-2026Q2,26,2020:Q1..2026:Q2,0.1349,0.0182,0.1567,233.16,0.5049,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),15.7 cents of household equity net-buying per $1 of soma mbs quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_total_qchange_usd_bn,2020on_2020Q1-2026Q2,26,2020:Q1..2026:Q2,0.0941,0.0089,0.0341,232.88,0.6432,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),3.4 cents of household equity net-buying per $1 of soma total quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
deposits_qchange_usd_bn,excl_2020_2021_pre+post,37,2015:Q2..2026:Q2,0.2861,0.0818,0.3322,79.23,0.0773,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),33.2 cents of household equity net-buying per $1 of deposits quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
bank_credit_qchange_usd_bn,excl_2020_2021_pre+post,37,2015:Q2..2026:Q2,0.2668,0.0712,0.4038,47.08,0.1015,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),40.4 cents of household equity net-buying per $1 of bank credit quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_ust_qchange_usd_bn,excl_2020_2021_pre+post,37,2015:Q2..2026:Q2,0.0736,0.0054,0.1382,120.06,0.6626,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),13.8 cents of household equity net-buying per $1 of soma ust quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_mbs_qchange_usd_bn,excl_2020_2021_pre+post,37,2015:Q2..2026:Q2,-0.1616,0.0261,-0.8425,93.23,0.3326,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),-84.2 cents of household equity net-buying per $1 of soma mbs quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_total_qchange_usd_bn,excl_2020_2021_pre+post,37,2015:Q2..2026:Q2,0.0128,0.0002,0.0202,116.46,0.9395,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),2.0 cents of household equity net-buying per $1 of soma total quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
deposits_qchange_usd_bn,pandemic_only_2020Q1-2021Q4,8,2020:Q1..2021:Q4,-0.2643,0.0698,-0.0969,311.1,0.5021,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),-9.7 cents of household equity net-buying per $1 of deposits quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
bank_credit_qchange_usd_bn,pandemic_only_2020Q1-2021Q4,8,2020:Q1..2021:Q4,-0.1952,0.0381,-0.1268,295.68,0.6259,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),-12.7 cents of household equity net-buying per $1 of bank credit quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_ust_qchange_usd_bn,pandemic_only_2020Q1-2021Q4,8,2020:Q1..2021:Q4,-0.2695,0.0726,-0.1177,303.08,0.493,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),-11.8 cents of household equity net-buying per $1 of soma ust quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_mbs_qchange_usd_bn,pandemic_only_2020Q1-2021Q4,8,2020:Q1..2021:Q4,0.1658,0.0275,0.1435,232.72,0.6805,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),14.4 cents of household equity net-buying per $1 of soma mbs quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_total_qchange_usd_bn,pandemic_only_2020Q1-2021Q4,8,2020:Q1..2021:Q4,-0.1317,0.0173,-0.0408,277.2,0.7449,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),-4.1 cents of household equity net-buying per $1 of soma total quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
