company,fiscal_year,period_end,accession_number,life_years_used,baseline_life_years_fy2019,life_ratio_vs_2019,reported_net_income_usd,reported_depreciation_usd,reported_ppe_gross_usd,reported_ppe_net_usd,reported_capex_usd,disclosed_first_year_dep_effect_usd,disclosed_first_year_ni_effect_usd,effective_tax_rate_used,etr_is_21pct_fallback,cumulative_dep_delta_vs_2019_flat_usd,restated_depreciation_flat_usd,restated_net_income_flat_usd,net_income_inflation_flat_usd,cumulative_dep_delta_vs_2019_scaled_usd,restated_depreciation_scaled_usd,restated_net_income_scaled_usd,net_income_inflation_scaled_usd
Amazon,FY2022,2022-12-31,0001018724-23-000004,5.0,3.0,1.6667,-2722000000,24924000000,283730000000,186715000000,63645000000,-3600000000.0,2800000000.0,0.21,True,-6300000000.0,31224000000.0,-7699000000.0,4977000000.0,-7744023647.0,32668023647.0,-8839778681.0,6117778681.0
Amazon,FY2023,2023-12-31,0001018724-24-000008,5.0,3.0,1.6667,30425000000,30225000000,324288000000,204177000000,52729000000,,,0.1896,False,-6300000000.0,36525000000.0,25319344596.0,5105655404.0,-9391073452.0,39616073452.0,22814272235.0,7610727765.0
Amazon,FY2024,2024-12-31,0001018724-25-000004,6.0,3.0,2.0,59248000000,32067000000,394055000000,252665000000,82999000000,-3200000000.0,2500000000.0,0.135,False,-9500000000.0,41567000000.0,51030792142.0,8217207858.0,-13163392966.0,45230392966.0,47862069882.0,11385930118.0
Amazon,FY2025,2025-12-31,0001018724-26-000004,5.0,3.0,1.6667,77670000000,41860000000,534098000000,357025000000,131819000000,1400000000.0,-1000000000.0,0.1961,False,-8100000000.0,49960000000.0,71158768998.0,6511231002.0,-15783385710.0,57643385710.0,64982435760.0,12687564240.0
Meta,FY2019,2019-12-31,0001326801-20-000013,3.0,3.0,1.0,18485000000,5180000000,45986000000,35323000000,15102000000,,,0.255,False,0.0,5180000000.0,18485000000.0,0.0,0.0,5180000000.0,18485000000.0,0.0
Meta,FY2020,2020-12-31,0001326801-21-000014,3.0,3.0,1.0,29146000000,6390000000,61051000000,45633000000,15115000000,,,0.1216,False,0.0,6390000000.0,29146000000.0,0.0,0.0,6390000000.0,29146000000.0,0.0
Meta,FY2021,2021-12-31,0001326801-22-000018,4.0,3.0,1.3333,39370000000,7560000000,77889000000,57809000000,18567000000,-620000000.0,516000000.0,0.1674,False,-620000000.0,8180000000.0,38853770409.0,516229591.0,-620000000.0,8180000000.0,38853770409.0,516229591.0
Meta,FY2022,2022-12-31,0001326801-23-000013,4.5,3.0,1.5,23200000000,8500000000,104493000000,79518000000,31431000000,-860000000.0,693000000.0,0.195,False,-1480000000.0,9980000000.0,22008563795.0,1191436205.0,-1557089947.0,10057089947.0,21946504501.0,1253495499.0
Meta,FY2023,2023-12-31,0001326801-24-000012,4.5,3.0,1.5,39098000000,11020000000,129721000000,96587000000,27266000000,,,0.1756,False,-1480000000.0,12500000000.0,37877939276.0,1220060724.0,-2018721320.0,13038721320.0,37433836085.0,1664163915.0
Meta,FY2024,2024-12-31,0001326801-25-000017,4.5,3.0,1.5,62360000000,15290000000,164663000000,121346000000,37256000000,,,0.1175,False,-1480000000.0,16770000000.0,61053902042.0,1306097958.0,-2800930034.0,18090930034.0,59888183109.0,2471816891.0
Meta,FY2025,2025-12-31,0001628280-26-003942,5.25,3.0,1.75,60458000000,18000000000,233726000000,176400000000,69691000000,-2920000000.0,2590000000.0,0.2964,False,-4400000000.0,22400000000.0,57362352279.0,3095647721.0,-6217366947.0,24217366947.0,56083732313.0,4374267687.0
Microsoft,FY2019,2019-06-30,0001564590-19-027952,3.0,3.0,1.0,39240000000,9700000000,71807000000,36477000000,13925000000,,,0.1018,False,0.0,9700000000.0,39240000000.0,0.0,0.0,9700000000.0,39240000000.0,0.0
Microsoft,FY2020,2020-06-30,0001564590-20-034944,3.0,3.0,1.0,44281000000,10700000000,87348000000,44151000000,15441000000,,,0.1651,False,0.0,10700000000.0,44281000000.0,0.0,0.0,10700000000.0,44281000000.0,0.0
Microsoft,FY2021,2021-06-30,0001564590-21-039151,4.0,3.0,1.3333,61271000000,9300000000,111066000000,59715000000,20622000000,-2700000000.0,2300000000.0,0.1383,False,-2700000000.0,12000000000.0,58944318613.0,2326681387.0,-2700000000.0,12000000000.0,58944318613.0,2326681387.0
Microsoft,FY2022,2022-06-30,0001564590-22-026876,4.0,3.0,1.3333,72738000000,12600000000,134058000000,74398000000,23886000000,,,0.1311,False,-2700000000.0,15300000000.0,70392061350.0,2345938650.0,-3658064516.0,16258064516.0,69559631507.0,3178368493.0
Microsoft,FY2023,2023-06-30,0000950170-23-035122,6.0,3.0,2.0,72361000000,11000000000,163892000000,95641000000,28107000000,-3700000000.0,3000000000.0,0.1898,False,-6400000000.0,17400000000.0,67175632016.0,5185367984.0,-6893548387.0,17893548387.0,66775752328.0,5585247672.0
Microsoft,FY2024,2024-06-30,0000950170-24-087843,6.0,3.0,2.0,88136000000,15200000000,212012000000,135591000000,44477000000,,,0.1823,False,-6400000000.0,21600000000.0,82902804902.0,5233195098.0,-9525630499.0,24725630499.0,80347018308.0,7788981692.0
Microsoft,FY2025,2025-06-30,0000950170-25-100235,6.0,3.0,2.0,101832000000,22000000000,298619000000,204966000000,64551000000,,,0.1763,False,-6400000000.0,28400000000.0,96560297217.0,5271702783.0,-13787096774.0,35787096774.0,90475519306.0,11356480694.0
Microsoft,FY2026,2026-06-30,0001193125-26-323660,6.0,3.0,2.0,133749000000,34300000000,431767000000,313076000000,115948000000,,,0.194,False,-6400000000.0,40700000000.0,128590361023.0,5158638977.0,-21495337243.0,55795337243.0,116422955543.0,17326044457.0
Oracle,FY2019,2019-05-31,0001564590-19-023119,5.0,5.0,1.0,11083000000,1230000000,13075000000,6252000000,1660000000,,,0.0966,False,0.0,1230000000.0,11083000000.0,0.0,0.0,1230000000.0,11083000000.0,0.0
Oracle,FY2020,2020-05-31,0001564590-20-030125,5.0,5.0,1.0,10135000000,1382000000,13825000000,6244000000,1564000000,,,0.1598,False,-0.0,1382000000.0,10135000000.0,0.0,-0.0,1382000000.0,10135000000.0,0.0
Oracle,FY2021,2021-05-31,0001564590-21-033616,5.0,5.0,1.0,13746000000,1537000000,15800000000,7049000000,2135000000,,,0.21,True,-0.0,1537000000.0,13746000000.0,0.0,-0.0,1537000000.0,13746000000.0,0.0
Oracle,FY2022,2022-05-31,0001564590-22-023675,5.0,5.0,1.0,6717000000,1972000000,19674000000,9716000000,4511000000,,,0.1218,False,-0.0,1972000000.0,6717000000.0,0.0,-0.0,1972000000.0,6717000000.0,0.0
Oracle,FY2023,2023-05-31,0000950170-23-028914,5.0,5.0,1.0,8503000000,2526000000,28674000000,17069000000,8695000000,,,0.0683,False,-0.0,2526000000.0,8503000000.0,0.0,-0.0,2526000000.0,8503000000.0,0.0
Oracle,FY2024,2024-05-31,0000950170-24-075605,5.0,5.0,1.0,10467000000,3129000000,34818000000,21536000000,6866000000,,,0.1085,False,-0.0,3129000000.0,10467000000.0,0.0,-0.0,3129000000.0,10467000000.0,0.0
Oracle,FY2025,2025-05-31,0000950170-25-087926,6.0,5.0,1.2,12443000000,3867000000,59554000000,43522000000,21215000000,,,0.1213,False,-394076351.0,4261076351.0,12096708190.0,346291810.0,-394076351.0,4261076351.0,12096708190.0,346291810.0
Oracle,FY2026,2026-05-31,0001193125-26-277521,6.0,5.0,1.2,17087000000,7623000000,122651000000,99957000000,55663000000,,,0.1262,False,-741273992.0,8364273992.0,16439247688.0,647752312.0,-741273992.0,8364273992.0,16439247688.0,647752312.0
NVIDIA,FY2019,2019-01-27,0001045810-19-000023,3.0,3.0,1.0,4141000000,233000000,2171000000,1404000000,600000000.0,,,0.21,True,0.0,233000000.0,4141000000.0,0.0,0.0,233000000.0,4141000000.0,0.0
NVIDIA,FY2020,2020-01-26,0001045810-20-000010,3.0,3.0,1.0,2796000000,355000000,2685000000,1674000000,489000000.0,,,0.0586,False,0.0,355000000.0,2796000000.0,0.0,0.0,355000000.0,2796000000.0,0.0
NVIDIA,FY2021,2021-01-31,0001045810-21-000010,3.0,3.0,1.0,4332000000,486000000,3557000000,2149000000,1128000000.0,,,0.0175,False,0.0,486000000.0,4332000000.0,0.0,0.0,486000000.0,4332000000.0,0.0
NVIDIA,FY2022,2022-01-30,0001045810-22-000036,3.0,3.0,1.0,9752000000,611000000,4681000000,2778000000,976000000,,,0.019,False,0.0,611000000.0,9752000000.0,0.0,0.0,611000000.0,9752000000.0,0.0
NVIDIA,FY2023,2023-01-29,0001045810-23-000017,3.0,3.0,1.0,4368000000,844000000,6501000000,3807000000,1833000000,,,0.21,True,0.0,844000000.0,4368000000.0,0.0,0.0,844000000.0,4368000000.0,0.0
NVIDIA,FY2024,2024-01-28,0001045810-24-000029,4.5,3.0,1.5,29760000000,894000000,7423000000,3914000000,1069000000,-135000000.0,114000000.0,0.12,False,-135000000.0,1029000000.0,29641199361.0,118800639.0,-135000000.0,1029000000.0,29641199361.0,118800639.0
NVIDIA,FY2025,2025-01-26,0001045810-25-000023,4.5,3.0,1.5,72880000000,1300000000,10684000000,6283000000,3236000000,,,0.1326,False,-135000000.0,1435000000.0,72762907671.0,117092329.0,-196308725.0,1496308725.0,72709731513.0,170268487.0
NVIDIA,FY2026,2026-01-25,0001045810-26-000021,4.5,3.0,1.5,120067000000,2400000000,16970000000,10383000000,6042000000,,,0.1512,False,-135000000.0,2535000000.0,119952407953.0,114592047.0,-362416107.0,2762416107.0,119759370345.0,307629655.0
,,,,,,,,,,,,,,,,,,,,,,,
"AGGREGATE (six companies), basis A: latest available FY per company (FY2025 for Alphabet/Amazon/Meta, FY2026 for Microsoft/Oracle/NVIDIA)",,,,,,,,,,,,,,,,,,,,,,,
"AGGREGATE basis A -- sum(reported NI, FY2019)",,,,,,,118880000000.0,,,,,,,,,,,,,,,,
"AGGREGATE basis A -- sum(reported NI, latest FY)",,,,,,,541201000000.0,,,,,,,,,,,,,,,,
AGGREGATE basis A -- reported NI growth (latest - 2019),,,,,,,422321000000.0,,,,,,,,,,,,,,,,
AGGREGATE basis A -- restated NI growth [flat/conservative],,,,,,,401384042453.0,,,,,,,,,,,,,,,,
AGGREGATE basis A -- restated NI growth [scaled/upper bound],,,,,,,376784031080.0,,,,,,,,,,,,,,,,
AGGREGATE basis A -- HEADLINE SHARE of reported NI growth attributable to useful-life changes [flat/conservative],,,,,,,0.0496,,,,,,,,,,,,,,,,
AGGREGATE basis A -- HEADLINE SHARE of reported NI growth attributable to useful-life changes [scaled/upper bound],,,,,,,0.1078,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"AGGREGATE (six companies), reported NI growth basis B (aligned 7-year window, FY2019 -> FY2025 for ALL SIX -- drops Microsoft/Oracle/NVIDIA FY2026)",,,,,,,,,,,,,,,,,,,,,,,
"AGGREGATE basis B -- sum(reported NI, FY2019)",,,,,,,118880000000.0,,,,,,,,,,,,,,,,
"AGGREGATE basis B -- sum(reported NI, FY2025)",,,,,,,457453000000.0,,,,,,,,,,,,,,,,
AGGREGATE basis B -- reported NI growth (FY2025 - FY2019),,,,,,,338573000000.0,,,,,,,,,,,,,,,,
AGGREGATE basis B -- restated NI growth [flat/conservative],,,,,,,317821938867.0,,,,,,,,,,,,,,,,
AGGREGATE basis B -- restated NI growth [scaled/upper bound],,,,,,,299444416514.0,,,,,,,,,,,,,,,,
AGGREGATE basis B -- HEADLINE SHARE of reported NI growth attributable to useful-life changes [flat/conservative],,,,,,,0.0613,,,,,,,,,,,,,,,,
AGGREGATE basis B -- HEADLINE SHARE of reported NI growth attributable to useful-life changes [scaled/upper bound],,,,,,,0.1156,,,,,,,,,,,,,,,,
