date,portfolio_value_nok_bn,portfolio_value_usd_bn,fund_value_net_nok_bn,frequency,source_url,notes
2008-12-31,2275,325,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2009-12-31,2640,457,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2010-12-31,3077,529,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2011-12-31,3312,555,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2012-12-31,3816,686,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2013-12-31,5038,830,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2014-12-31,6431,858,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2015-12-31,7475,845,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2016-12-31,7510,873,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2017-12-31,8488,1038,8484,annual,https://www.nbim.no/en/investments/the-funds-value/,
2018-12-31,8256,953,8251,annual,https://www.nbim.no/en/investments/the-funds-value/,
2019-12-31,10088,1148,10084,annual,https://www.nbim.no/en/investments/the-funds-value/,
2020-12-31,10914,1275,10908,annual,https://www.nbim.no/en/investments/the-funds-value/,
2021-12-31,12340,1339,12340,annual,https://www.nbim.no/en/investments/the-funds-value/,WARNING: USD total for 2021 is internally inconsistent with the sum of USD asset-class values on the same NBIM chart (see nbim_equity_share.csv note); treat with caution.
2022-12-31,12429,1428,12429,annual,https://www.nbim.no/en/investments/the-funds-value/,
2023-12-31,15765,1552,15757,annual,https://www.nbim.no/en/investments/the-funds-value/,
2024-12-31,19755,1739,19742,annual,https://www.nbim.no/en/investments/the-funds-value/,
2025-12-31,21286,2110,21268,annual,https://www.nbim.no/en/investments/the-funds-value/,
2026-06-30,22695,2292,22683,half-year(interim),https://www.nbim.no/en/investments/the-funds-value/,Chart places this at year-end 2026 but values match the Half-year Report 2026 (30 June 2026) exactly; date corrected here.
2022-03-31,11657,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2022/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2022-09-30,12216,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2022/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2023-03-31,14294,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2023/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2023-09-30,14801,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2023/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2024-03-31,17719,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2024/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2024-09-30,18870,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2024/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2025-03-31,18524,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2025/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2025-09-30,20455,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2025/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
2026-03-31,20004,,,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2026/,USD not published in this quarterly press release; NOK figure is market value of investment portfolio (gross).
