broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
"Raymond James Financial, Inc.",2015-Q4,Financial assets under management,67.9,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
"Raymond James Financial, Inc.",2015-Q4,Private Client Group assets in fee-based accounts,190.0,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
"Raymond James Financial, Inc.",2015-Q4,Private Client Group assets under administration,473.1,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000516000093/rjf2016_1231q116earnings.htm,0000720005-16-000093,2016-01-20
"Raymond James Financial, Inc.",2016-Q3,Client assets under administration,604.4,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2016-Q3,Financial assets under management,77.0,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2016-Q3,Private Client Group assets in fee-based accounts,231.0,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2016-Q3,Private Client Group assets under administration,574.1,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2016-Q4,Client assets under administration,616.9,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2016-Q4,Financial assets under management,79.7,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2016-Q4,Private Client Group assets in fee-based accounts,240.2,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2016-Q4,Private Client Group assets under administration,585.6,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000517000012/rjf2017_1231q117earnings.htm,0000720005-17-000012,2017-01-25
"Raymond James Financial, Inc.",2017-Q3,Client assets under administration,692.9,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2017-Q3,Financial assets under management,96.4,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2017-Q3,Private Client Group assets in fee-based accounts,294.5,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2017-Q3,Private Client Group assets under administration,659.5,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2017-Q4,Client assets under administration,727.2,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2017-Q4,Financial assets under management,130.3,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2017-Q4,Private Client Group assets in fee-based accounts,316.7,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2017-Q4,Private Client Group assets under administration,692.1,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000518000013/rjf2018_1231q118earnings.htm,0000720005-18-000013,2018-01-24
"Raymond James Financial, Inc.",2018-Q3,Client assets under administration,790.4,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2018-Q3,Financial assets under management,140.9,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2018-Q3,Private Client Group assets in fee-based accounts,366.3,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2018-Q3,Private Client Group assets under administration,755.7,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2018-Q4,Client assets under administration,725.4,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2018-Q4,Financial assets under management,126.5,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2018-Q4,Private Client Group assets in fee-based accounts,338.8,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2018-Q4,Private Client Group assets under administration,690.7,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000519000008/rjf2018_1231q119earnings.htm,0000720005-19-000008,2019-01-23
"Raymond James Financial, Inc.",2019-Q1,Client assets under administration,796.0,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q1,Financial assets under management,138.5,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q1,Private Client Group assets in fee-based accounts,378.4,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q1,Private Client Group assets under administration,760.0,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q2,Client assets under administration,824.2,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q2,Financial assets under management,143.1,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q2,Private Client Group assets in fee-based accounts,398.0,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q2,Private Client Group assets under administration,787.4,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q3,Client assets under administration,838.3,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q3,Financial assets under management,143.1,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q3,Private Client Group assets in fee-based accounts,409.1,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q3,Private Client Group assets under administration,798.4,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q4,Client assets under administration,896.0,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q4,Financial assets under management,151.7,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q4,Private Client Group assets in fee-based accounts,444.2,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2019-Q4,Private Client Group assets under administration,855.2,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000520000007/rjf2019_1231q120supplement.htm,0000720005-20-000007,2020-01-22
"Raymond James Financial, Inc.",2020-Q1,Client assets under administration,773.9,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q1,Financial assets under management,128.2,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q1,Private Client Group assets in fee-based accounts,383.5,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q1,Private Client Group assets under administration,734.0,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q2,Client assets under administration,876.9,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q2,Financial assets under management,145.4,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q2,Private Client Group assets in fee-based accounts,443.0,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q2,Private Client Group assets under administration,833.1,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q3,Client assets under administration,930.1,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q3,Financial assets under management,153.1,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q3,Private Client Group assets in fee-based accounts,475.3,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q3,Private Client Group assets under administration,883.3,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q4,Client assets under administration,1024.8,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q4,Financial assets under management,169.6,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q4,Private Client Group assets in fee-based accounts,532.7,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2020-Q4,Private Client Group assets under administration,974.2,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000521000009/rjf1231q121supplement.htm,0000720005-21-000009,2021-01-27
"Raymond James Financial, Inc.",2021-Q1,Client assets under administration,1085.4,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q1,Financial assets under management,178.2,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q1,Private Client Group assets in fee-based accounts,567.6,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q1,Private Client Group assets under administration,1028.1,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q2,Client assets under administration,1165.0,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q2,Financial assets under management,191.0,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q2,Private Client Group assets in fee-based accounts,616.7,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q2,Private Client Group assets under administration,1102.9,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q3,Client assets under administration,1178.7,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q3,Financial assets under management,191.9,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q3,Private Client Group assets in fee-based accounts,627.1,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q3,Private Client Group assets under administration,1115.4,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q4,Client assets under administration,1257.8,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q4,Domestic Private Client Group net new assets,36.101,USD billions,FLOW,Domestic Private Client Group net new assets (flow; PCG segment only),https://www.sec.gov/Archives/edgar/data/720005/000072000523000019/rjf1231q123supplement.htm,0000720005-23-000019,2023-01-25
"Raymond James Financial, Inc.",2021-Q4,Financial assets under management,203.2,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q4,Private Client Group assets in fee-based accounts,677.8,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2021-Q4,Private Client Group assets under administration,1199.8,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000522000007/rjf1231q122supplement.htm,0000720005-22-000007,2022-01-26
"Raymond James Financial, Inc.",2022-Q1,Client assets under administration,1256.1,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000523000019/rjf1231q123supplement.htm,0000720005-23-000019,2023-01-25
"Raymond James Financial, Inc.",2022-Q1,Domestic Private Client Group net new assets,24.093,USD billions,FLOW,Domestic Private Client Group net new assets (flow; PCG segment only),https://www.sec.gov/Archives/edgar/data/720005/000072000523000019/rjf1231q123supplement.htm,0000720005-23-000019,2023-01-25
"Raymond James Financial, Inc.",2022-Q1,Financial assets under management,193.7,USD billions,STOCK,Financial assets under management (RJ asset-management subsidiaries),https://www.sec.gov/Archives/edgar/data/720005/000072000523000019/rjf1231q123supplement.htm,0000720005-23-000019,2023-01-25
"Raymond James Financial, Inc.",2022-Q1,Private Client Group assets in fee-based accounts,678.0,USD billions,STOCK,Private Client Group assets in fee-based accounts (equity-heavy advisory proxy),https://www.sec.gov/Archives/edgar/data/720005/000072000523000019/rjf1231q123supplement.htm,0000720005-23-000019,2023-01-25
"Raymond James Financial, Inc.",2022-Q1,Private Client Group assets under administration,1198.3,USD billions,STOCK,Private Client Group assets under administration (subset of total),https://www.sec.gov/Archives/edgar/data/720005/000072000523000019/rjf1231q123supplement.htm,0000720005-23-000019,2023-01-25
"Raymond James Financial, Inc.",2022-Q2,Client assets under administration,1125.3,USD billions,STOCK,Client assets under administration,https://www.sec.gov/Archives/edgar/data/720005/000072000523000019/rjf1231q123supplement.htm,0000720005-23-000019,2023-01-25
