year,form_type,n_filings,source_query
2016,DEFM14A,230,"https://www.sec.gov/Archives/edgar/full-index/2016/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2016; full calendar year)"
2017,SC 13E3,39,"https://www.sec.gov/Archives/edgar/full-index/2017/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2017; full calendar year)"
2017,SC 13E3/A,155,"https://www.sec.gov/Archives/edgar/full-index/2017/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2017; full calendar year)"
2017,25,100,"https://www.sec.gov/Archives/edgar/full-index/2017/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2017; full calendar year)"
2017,25/A,2,"https://www.sec.gov/Archives/edgar/full-index/2017/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2017; full calendar year)"
2017,25-NSE,1504,"https://www.sec.gov/Archives/edgar/full-index/2017/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2017; full calendar year)"
2017,25-NSE/A,18,"https://www.sec.gov/Archives/edgar/full-index/2017/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2017; full calendar year)"
2017,DEFM14A,224,"https://www.sec.gov/Archives/edgar/full-index/2017/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2017; full calendar year)"
2018,SC 13E3,44,"https://www.sec.gov/Archives/edgar/full-index/2018/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2018; full calendar year)"
2018,SC 13E3/A,160,"https://www.sec.gov/Archives/edgar/full-index/2018/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2018; full calendar year)"
2018,25,105,"https://www.sec.gov/Archives/edgar/full-index/2018/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2018; full calendar year)"
2018,25/A,0,"https://www.sec.gov/Archives/edgar/full-index/2018/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2018; full calendar year)"
2018,25-NSE,1650,"https://www.sec.gov/Archives/edgar/full-index/2018/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2018; full calendar year)"
2018,25-NSE/A,8,"https://www.sec.gov/Archives/edgar/full-index/2018/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2018; full calendar year)"
2018,DEFM14A,246,"https://www.sec.gov/Archives/edgar/full-index/2018/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2018; full calendar year)"
2019,SC 13E3,29,"https://www.sec.gov/Archives/edgar/full-index/2019/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2019; full calendar year)"
2019,SC 13E3/A,122,"https://www.sec.gov/Archives/edgar/full-index/2019/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2019; full calendar year)"
2019,25,107,"https://www.sec.gov/Archives/edgar/full-index/2019/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2019; full calendar year)"
2019,25/A,4,"https://www.sec.gov/Archives/edgar/full-index/2019/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2019; full calendar year)"
2019,25-NSE,1614,"https://www.sec.gov/Archives/edgar/full-index/2019/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2019; full calendar year)"
2019,25-NSE/A,44,"https://www.sec.gov/Archives/edgar/full-index/2019/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2019; full calendar year)"
2019,DEFM14A,221,"https://www.sec.gov/Archives/edgar/full-index/2019/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2019; full calendar year)"
2020,SC 13E3,56,"https://www.sec.gov/Archives/edgar/full-index/2020/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2020; full calendar year)"
2020,SC 13E3/A,165,"https://www.sec.gov/Archives/edgar/full-index/2020/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2020; full calendar year)"
2020,25,137,"https://www.sec.gov/Archives/edgar/full-index/2020/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2020; full calendar year)"
2020,25/A,4,"https://www.sec.gov/Archives/edgar/full-index/2020/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2020; full calendar year)"
2020,25-NSE,1790,"https://www.sec.gov/Archives/edgar/full-index/2020/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2020; full calendar year)"
2020,25-NSE/A,14,"https://www.sec.gov/Archives/edgar/full-index/2020/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2020; full calendar year)"
2020,DEFM14A,179,"https://www.sec.gov/Archives/edgar/full-index/2020/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2020; full calendar year)"
2021,SC 13E3,39,"https://www.sec.gov/Archives/edgar/full-index/2021/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2021; full calendar year)"
2021,SC 13E3/A,169,"https://www.sec.gov/Archives/edgar/full-index/2021/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2021; full calendar year)"
2021,25,100,"https://www.sec.gov/Archives/edgar/full-index/2021/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2021; full calendar year)"
2021,25/A,0,"https://www.sec.gov/Archives/edgar/full-index/2021/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2021; full calendar year)"
2021,25-NSE,2024,"https://www.sec.gov/Archives/edgar/full-index/2021/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2021; full calendar year)"
2021,25-NSE/A,26,"https://www.sec.gov/Archives/edgar/full-index/2021/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2021; full calendar year)"
2021,DEFM14A,311,"https://www.sec.gov/Archives/edgar/full-index/2021/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2021; full calendar year)"
2022,SC 13E3,49,"https://www.sec.gov/Archives/edgar/full-index/2022/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2022; full calendar year)"
2022,SC 13E3/A,139,"https://www.sec.gov/Archives/edgar/full-index/2022/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2022; full calendar year)"
2022,25,117,"https://www.sec.gov/Archives/edgar/full-index/2022/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2022; full calendar year)"
2022,25/A,1,"https://www.sec.gov/Archives/edgar/full-index/2022/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2022; full calendar year)"
2022,25-NSE,1970,"https://www.sec.gov/Archives/edgar/full-index/2022/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2022; full calendar year)"
2022,25-NSE/A,18,"https://www.sec.gov/Archives/edgar/full-index/2022/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2022; full calendar year)"
2022,DEFM14A,246,"https://www.sec.gov/Archives/edgar/full-index/2022/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2022; full calendar year)"
2023,SC 13E3,55,"https://www.sec.gov/Archives/edgar/full-index/2023/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2023; full calendar year)"
2023,SC 13E3/A,187,"https://www.sec.gov/Archives/edgar/full-index/2023/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2023; full calendar year)"
2023,25,128,"https://www.sec.gov/Archives/edgar/full-index/2023/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2023; full calendar year)"
2023,25/A,1,"https://www.sec.gov/Archives/edgar/full-index/2023/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2023; full calendar year)"
2023,25-NSE,2282,"https://www.sec.gov/Archives/edgar/full-index/2023/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2023; full calendar year)"
2023,25-NSE/A,26,"https://www.sec.gov/Archives/edgar/full-index/2023/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2023; full calendar year)"
2023,DEFM14A,215,"https://www.sec.gov/Archives/edgar/full-index/2023/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2023; full calendar year)"
2024,SC 13E3,54,"https://www.sec.gov/Archives/edgar/full-index/2024/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2024; full calendar year)"
2024,SC 13E3/A,210,"https://www.sec.gov/Archives/edgar/full-index/2024/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2024; full calendar year)"
2024,25,123,"https://www.sec.gov/Archives/edgar/full-index/2024/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2024; full calendar year)"
2024,25/A,0,"https://www.sec.gov/Archives/edgar/full-index/2024/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2024; full calendar year)"
2024,25-NSE,1694,"https://www.sec.gov/Archives/edgar/full-index/2024/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2024; full calendar year)"
2024,25-NSE/A,10,"https://www.sec.gov/Archives/edgar/full-index/2024/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2024; full calendar year)"
2024,DEFM14A,257,"https://www.sec.gov/Archives/edgar/full-index/2024/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2024; full calendar year)"
2025,SC 13E3,37,"https://www.sec.gov/Archives/edgar/full-index/2025/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2025; full calendar year)"
2025,SC 13E3/A,134,"https://www.sec.gov/Archives/edgar/full-index/2025/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2025; full calendar year)"
2025,25,132,"https://www.sec.gov/Archives/edgar/full-index/2025/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2025; full calendar year)"
2025,25/A,0,"https://www.sec.gov/Archives/edgar/full-index/2025/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2025; full calendar year)"
2025,25-NSE,1768,"https://www.sec.gov/Archives/edgar/full-index/2025/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2025; full calendar year)"
2025,25-NSE/A,28,"https://www.sec.gov/Archives/edgar/full-index/2025/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2025; full calendar year)"
2025,DEFM14A,235,"https://www.sec.gov/Archives/edgar/full-index/2025/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2025; full calendar year)"
2026,SC 13E3,21,"https://www.sec.gov/Archives/edgar/full-index/2026/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3', bucketed by that row's 'Date Filed' field into calendar year 2026; PARTIAL YEAR: filings through 2026-09-12 (QTR1-QTR3 published; QTR4 index not yet populated as of pull date 2026-09-13))"
2026,SC 13E3/A,75,"https://www.sec.gov/Archives/edgar/full-index/2026/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'SC 13E3/A', bucketed by that row's 'Date Filed' field into calendar year 2026; PARTIAL YEAR: filings through 2026-09-12 (QTR1-QTR3 published; QTR4 index not yet populated as of pull date 2026-09-13))"
2026,25,77,"https://www.sec.gov/Archives/edgar/full-index/2026/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25', bucketed by that row's 'Date Filed' field into calendar year 2026; PARTIAL YEAR: filings through 2026-09-12 (QTR1-QTR3 published; QTR4 index not yet populated as of pull date 2026-09-13))"
2026,25/A,2,"https://www.sec.gov/Archives/edgar/full-index/2026/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25/A', bucketed by that row's 'Date Filed' field into calendar year 2026; PARTIAL YEAR: filings through 2026-09-12 (QTR1-QTR3 published; QTR4 index not yet populated as of pull date 2026-09-13))"
2026,25-NSE,1262,"https://www.sec.gov/Archives/edgar/full-index/2026/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE', bucketed by that row's 'Date Filed' field into calendar year 2026; PARTIAL YEAR: filings through 2026-09-12 (QTR1-QTR3 published; QTR4 index not yet populated as of pull date 2026-09-13))"
2026,25-NSE/A,20,"https://www.sec.gov/Archives/edgar/full-index/2026/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == '25-NSE/A', bucketed by that row's 'Date Filed' field into calendar year 2026; PARTIAL YEAR: filings through 2026-09-12 (QTR1-QTR3 published; QTR4 index not yet populated as of pull date 2026-09-13))"
2026,DEFM14A,181,"https://www.sec.gov/Archives/edgar/full-index/2026/QTR1..4/form.idx (SEC EDGAR full-index dissemination feed; row counted where fixed-width 'Form Type' field == 'DEFM14A', bucketed by that row's 'Date Filed' field into calendar year 2026; PARTIAL YEAR: filings through 2026-09-12 (QTR1-QTR3 published; QTR4 index not yet populated as of pull date 2026-09-13))"
