ticker,quarter_label,report_date,timing,top10_snapshot,source
GOOGL,Q3CY24,2024-10-29,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1652044), form 8-K Item 2.02, reportDate=2024-10-29, accession 0001652044-24-000115; document https://www.sec.gov/Archives/edgar/data/1652044/000165204424000115/goog-20241029.htm"
AMZN,Q4CY23,2024-02-01,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1018724), form 8-K Item 2.02, reportDate=2024-02-01, accession 0001018724-24-000006; document https://www.sec.gov/Archives/edgar/data/1018724/000101872424000006/amzn-20240201.htm"
AMZN,Q1CY24,2024-04-30,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1018724), form 8-K Item 2.02, reportDate=2024-04-30, accession 0001018724-24-000081; document https://www.sec.gov/Archives/edgar/data/1018724/000101872424000081/amzn-20240430.htm"
AMZN,Q2CY24,2024-08-01,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1018724), form 8-K Item 2.02, reportDate=2024-08-01, accession 0001018724-24-000128; document https://www.sec.gov/Archives/edgar/data/1018724/000101872424000128/amzn-20240801.htm"
AMZN,Q3CY24,2024-10-31,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1018724), form 8-K Item 2.02, reportDate=2024-10-31, accession 0001018724-24-000158; document https://www.sec.gov/Archives/edgar/data/1018724/000101872424000158/amzn-20241031.htm"
NVDA,Q4FY24,2024-02-21,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1045810), form 8-K Item 2.02, reportDate=2024-02-21, accession 0001045810-24-000028; document https://www.sec.gov/Archives/edgar/data/1045810/000104581024000028/nvda-20240221.htm"
NVDA,Q1FY25,2024-05-22,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1045810), form 8-K Item 2.02, reportDate=2024-05-22, accession 0001045810-24-000113; document https://www.sec.gov/Archives/edgar/data/1045810/000104581024000113/nvda-20240522.htm"
NVDA,Q2FY25,2024-08-28,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1045810), form 8-K Item 2.02, reportDate=2024-08-28, accession 0001045810-24-000262; document https://www.sec.gov/Archives/edgar/data/1045810/000104581024000262/nvda-20240828.htm"
NVDA,Q3FY25,2024-11-20,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1045810), form 8-K Item 2.02, reportDate=2024-11-20, accession 0001045810-24-000315; document https://www.sec.gov/Archives/edgar/data/1045810/000104581024000315/nvda-20241120.htm"
TSLA,Q4FY23,2024-01-24,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1318605), form 8-K Item 2.02, reportDate=2024-01-24, accession 0000950170-24-007073; document https://www.sec.gov/Archives/edgar/data/1318605/000095017024007073/tsla-20240124.htm"
TSLA,Q1FY24,2024-04-23,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1318605), form 8-K Item 2.02, reportDate=2024-04-23, accession 0000950170-24-046895; document https://www.sec.gov/Archives/edgar/data/1318605/000095017024046895/tsla-20240423.htm"
TSLA,Q2FY24,2024-07-23,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1318605), form 8-K Item 2.02, reportDate=2024-07-23, accession 0001628280-24-032603; document https://www.sec.gov/Archives/edgar/data/1318605/000162828024032603/tsla-20240723.htm"
TSLA,Q3FY24,2024-10-23,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1318605), form 8-K Item 2.02, reportDate=2024-10-23, accession 0001628280-24-043432; document https://www.sec.gov/Archives/edgar/data/1318605/000162828024043432/tsla-20241023.htm"
META,Q4CY23,2024-02-01,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1326801), form 8-K Item 2.02, reportDate=2024-02-01, accession 0001326801-24-000010; document https://www.sec.gov/Archives/edgar/data/1326801/000132680124000010/meta-20240201.htm"
META,Q1CY24,2024-04-24,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1326801), form 8-K Item 2.02, reportDate=2024-04-24, accession 0001326801-24-000044; document https://www.sec.gov/Archives/edgar/data/1326801/000132680124000044/meta-20240424.htm"
META,Q2CY24,2024-07-31,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1326801), form 8-K Item 2.02, reportDate=2024-07-31, accession 0001326801-24-000065; document https://www.sec.gov/Archives/edgar/data/1326801/000132680124000065/meta-20240731.htm"
META,Q3CY24,2024-10-30,AMC,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1326801), form 8-K Item 2.02, reportDate=2024-10-30, accession 0001326801-24-000077; document https://www.sec.gov/Archives/edgar/data/1326801/000132680124000077/meta-20241030.htm"
BRK.B,Q4CY23,2024-02-24,WEEKEND,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1067983), form 8-K Item 2.02, reportDate=2024-02-24, accession 0001193125-24-045977; document https://www.sec.gov/Archives/edgar/data/1067983/000119312524045977/d795719d8k.htm"
BRK.B,Q1CY24,2024-05-04,WEEKEND,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1067983), form 8-K Item 2.02, reportDate=2024-05-04, accession 0001193125-24-133049; document https://www.sec.gov/Archives/edgar/data/1067983/000119312524133049/d759664d8k.htm"
BRK.B,Q2CY24,2024-08-03,WEEKEND,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1067983), form 8-K Item 2.02, reportDate=2024-08-03, accession 0001193125-24-193776; document https://www.sec.gov/Archives/edgar/data/1067983/000119312524193776/d876927d8k.htm"
BRK.B,Q3CY24,2024-11-02,WEEKEND,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK1067983), form 8-K Item 2.02, reportDate=2024-11-02, accession 0001193125-24-250195; document https://www.sec.gov/Archives/edgar/data/1067983/000119312524250195/d900981d8k.htm"
UNH,Q4CY23,2024-01-12,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK731766), form 8-K Item 2.02, reportDate=2024-01-12, accession 0000731766-24-000023; document https://www.sec.gov/Archives/edgar/data/731766/000073176624000023/unh-20240112.htm"
UNH,Q1CY24,2024-04-16,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK731766), form 8-K Item 2.02, reportDate=2024-04-16, accession 0000731766-24-000146; document https://www.sec.gov/Archives/edgar/data/731766/000073176624000146/unh-20240416.htm"
UNH,Q2CY24,2024-07-16,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK731766), form 8-K Item 2.02, reportDate=2024-07-16, accession 0000731766-24-000242; document https://www.sec.gov/Archives/edgar/data/731766/000073176624000242/unh-20240716.htm"
UNH,Q3CY24,2024-10-15,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK731766), form 8-K Item 2.02, reportDate=2024-10-15, accession 0000731766-24-000320; document https://www.sec.gov/Archives/edgar/data/731766/000073176624000320/unh-20241015.htm"
JNJ,Q4CY23,2024-01-23,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK200406), form 8-K Item 2.02, reportDate=2024-01-23, accession 0000200406-24-000004; document https://www.sec.gov/Archives/edgar/data/200406/000020040624000004/jnj-20240123.htm"
JNJ,Q1CY24,2024-04-16,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK200406), form 8-K Item 2.02, reportDate=2024-04-16, accession 0000200406-24-000031; document https://www.sec.gov/Archives/edgar/data/200406/000020040624000031/jnj-20240416.htm"
JNJ,Q2CY24,2024-07-17,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK200406), form 8-K Item 2.02, reportDate=2024-07-17, accession 0000200406-24-000071; document https://www.sec.gov/Archives/edgar/data/200406/000020040624000071/jnj-20240717.htm"
JNJ,Q3CY24,2024-10-15,BMO,"top10_2023 (2023-06-30 snapshot, vetted P5iii, used there as the start-of-window-2/2024 proxy)","data.sec.gov submissions JSON (CIK200406), form 8-K Item 2.02, reportDate=2024-10-15, accession 0000200406-24-000088; document https://www.sec.gov/Archives/edgar/data/200406/000020040624000088/jnj-20241015.htm"
