as_of,mnemonic,value
2015-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,429000000000.0
2016-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,453000000000.0
2016-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,460000000000.0
2016-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,504000000000.0
2016-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,562000000000.0
2017-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,655000000000.0
2017-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,690000000000.0
2017-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,709000000000.0
2017-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,676000000000.0
2018-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,765000000000.0
2018-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,732000000000.0
2018-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,754000000000.0
2018-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,766000000000.0
2019-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,810000000000.0
2019-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,721000000000.0
2019-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,666000000000.0
2019-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,693000000000.0
2020-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,735000000000.0
2020-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,691000000000.0
2020-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,788000000000.0
2020-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,734000000000.0
2021-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,852000000000.0
2021-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,963000000000.0
2021-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1063000000000.0
2021-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1078000000000.0
2022-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1078000000000.0
2022-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1050000000000.0
2022-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,986000000000.0
2022-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,986000000000.0
2023-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1014000000000.0
2023-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1005000000000.0
2023-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1060000000000.0
2023-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1040000000000.0
2024-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1129000000000.0
2024-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1085000000000.0
2024-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1150000000000.0
2024-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1105000000000.0
2025-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1147000000000.0
2025-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1263000000000.0
2025-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1322000000000.0
2025-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1335000000000.0
2026-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,1399000000000.0
